Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
CO-BRANDING AND ADVERTISING AGREEMENT,Document Name,CO-BRANDING AND ADVERTISING AGREEMENT
"I-ESCROW, INC., ""i-Escrow"", 2THEMART.COM, INC., ""2TheMart"", 2THEMART.COM, INC., ""i-Escrow"", I-ESCROW, INC.",Parties,"I-ESCROW, INC.  (""i-Escrow"" ); 2THEMART.COM, INC. (""2TheMart"")"
"June 21, 1999",Agreement Date,06/21/1999,Effective Date,06/21/1999
"The term of this Agreement shall continue for one (1) year following the Launch Date, unless earlier terminated as provided herein.",Expiration Date,06/21/2000
"This Agreement may be renewed for any number of successive one (1) year terms by mutual written agreement of the parties prior to the conclusion of the term of this Agreement., A party wishing to renew this Agreement shall give the other party notice thereof no less than thirty (30) days before the expiration of the term then in effect., In the event that either party does not give such notice, the term of this Agreement shall be automatically renewed for another one (1) year., A party wishing to renew this Agreement shall give the other party notice thereof no less than thirty (30) days before the expiration of the term then in effect., This Agreement may be renewed for any number of successive one (1) year terms by mutual written agreement of the parties prior to the conclusion of the term of this Agreement.",Renewal Term,Successive 1 year
"A party wishing to renew this Agreement shall give the other party notice thereof no less than thirty (30) days before the expiration of the term then in effect., In the event that either party does not give such notice, the term of this Agreement shall be automatically renewed for another one (1) year., A party wishing to renew this Agreement shall give the other party notice thereof no less than thirty (30) days before the expiration of the term then in effect.",Notice Period To Terminate Renewal,30 days
This Agreement will be governed and construed in accordance with the laws of the State of California without giving effect to conflict of laws principles.,Governing Law,California
i-Escrow shall not run banner advertisements on the Co-Branded Site for any of 2TheMart's competitors.,Non-Compete,Yes
"If a majority of the equity securities of either 2TheMart or i-Escrow, Inc. (except that i-Escrow may sell all or a majority of its equity securities or voting interests to i-Escrow.com, and i-Escrow.com may sell all or a majority of its equity securities or voting interests to i-Escrow's existing shareholders, without triggering the foregoing) are acquired by another company during the term of this Agreement either company may terminate this Agreement, without liability, by giving a thirty (30) days written notice to the other party.",Change of Control,Yes
"All rights (under any applicable intellectual property right) granted herein are not sublicenseable, transferable or assignable.",Anti-assignment,Yes
"All rights (under any applicable intellectual property right) granted herein are not sublicenseable, Source: 2THEMART COM INC, 10-12G, 8/26/1999transferable or assignable.",Anti-assignment,Yes
"After the Launch Date, i-Escrow shall pay 2TheMart advertising fees based on the number of Transaction Inquiries.",Revenue/Profit Sharing,Yes
This advertising fees shall consist of a per Transaction Inquiry amount calculated by multiplying 0.025% by the amount of the average Transaction from all Customers in the preceding quarter.,Revenue/Profit Sharing,Yes
"Notwithstanding the foregoing, to the extent that the Domain Name is deemed a combination mark, neither party shall use the Domain Name for any purpose except as expressly provided herein or attempt to register the Domain Name, and the parties will jointly cooperate on any enforcement action of infringement of the Domain Name.",Joint IP Ownership,Yes
"2TheMart hereby grants to i-Escrow a worldwide, non-exclusive right to use, reproduce, distribute, publicly perform, publicly display and digitally perform the 2TheMart Content soley with respect to  and in conjunction with the Co-Branded Site all with the prior written consent of 2TheMart, for the term of this Agreement.",License Grant,Yes
"i-Escrow hereby grants to 2TheMart a worldwide, non-exclusive right to use, reproduce, distribute, publicly perform, publicly display and digitally perform the i-Escrow Content on or in conjunction with 2TheMart auctions.",License Grant,Yes
"Subject to the terms and conditions of this Agreement: (a) i-Escrow hereby grants to 2TheMart a non-exclusive, nontransferable right to use the i-Escrow Marks (including without limitation the Domain Name) in links to and advertisements and promotions for the Co-Branded Pages or the Services; and (b) 2TheMart hereby grants to i-Escrow a non-exclusive, nontransferable right to use 2TheMart Marks (including without limitation the Domain Name) on the Co-Branded Pages, and for the performance of  Services.",License Grant,Yes
"Subject to the terms and conditions of this Agreement: (a) i-Escrow hereby grants to 2TheMart a non-exclusive, nontransferable right to use the i-Escrow Marks (including without limitation the Domain Name) in links to and advertisements and promotions for the Co-Branded Pages or the Services_ and (b) 2TheMart hereby grants to i-Escrow a non-exclusive, nontransferable right to use 2TheMart Marks (including without limitation the Domain Name) on the Co-Branded Pages, and for the performance of  Services.",Non-Transferable License,Yes
"Notwithstanding the foregoing, unless this Agreement was terminated for a material breach, all provisions of this Agreement shall survive to the extent necessary for i-Escrow to complete any Customer transactions which are pending at the time of expiration or termination.",Post-termination Services,Yes
"Once every twelve (12) months, 2TheMart through a CPA may inspect and audit such records to verify reports.",Audit Rights,Yes
Any such inspection will be conducted in a manner that does not unreasonably interfere with i-Escrow's business activities and with no less than fifteen (15) days notice.,Audit Rights,Yes
"EXCEPT IN THE EVENT OF A BREACH OF SECTION 11, NEITHER PARTY SHALL BE LIABLE FOR SPECIAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES OR LOST PROFITS (HOWEVER ARISING, INCLUDING NEGLIGENCE) ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT, EVEN IF THE PARTIES ARE AWARE OF THE POSSIBILITY OF SUCH DAMAGES.",Uncapped Liability,Yes,Cap on Liability,Yes
