Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
ODM SUPPLY AGREEMENT,Document Name,ODM SUPPLY AGREEMENT
"ORGANIC PREPARATIONS INC., Ôthe ManufacturerÕ, AGAPE ATP INTERNATIONAL HOLDING LIMITED, Ôthe CustomerÕ, AGAPE ATP INTERNATIONAL HOLDING LIMITED, Ôthe ManufacturerÕ, ORGANIC PREPARATIONS INC.",Parties,"ORGANIC PREPARATIONS INC. (""the Manufacturer""); AGAPE ATP INTERNATIONAL HOLDING LIMITED (""the Customer"")"
15t h day of January 2018,Agreement Date,01/15/2018
This agreement commences upon execution of this document.,Effective Date,01/15/2018
This agreement is for a term of ten (10) years.,Expiration Date,01/15/2028
"This agreement will be automatically renewed at the end of every ten (10) year term, with each subsequent term of renewal being for a ten (10) year term.",Renewal Term,successive 10 years
A six (6) months notice must be given by either party of their intention to terminate relations due to any reason other than breach of this agreement.,Notice Period To Terminate Renewal,6 months,Termination For Convenience,Yes
This agreement shall be governed by the Laws of England (English common and statutory Law).,Governing Law,England
"The Manufacturer agrees that the Customer has the right under this agreement to consider, source, promote, market and sell other product outside of the products listed in Schedule A of this agreement in line with the following assumptions: That they are non-competing products to the range of products or those products listed in schedule A of this agreement.",Non-Compete,Yes
"The Manufacturer covenants not to sell any product listed in this agreement, or product name (as listed in schedule A of this agreement) to any other party without prior written consent of the Customer.",Exclusivity,Yes
"The Manufacturer hereby appoints the Customer to be the sole and exclusive agent for the promotion, sales, marketing, distribution and administration of the products listed in schedule A of this agreement based on minimum annual product purchase requirements as listed in Schedule B of this agreement.",Exclusivity,Yes,Minimum Commitment,Yes
The Manufacturer grants exclusive rights to the Customer for the term of ten (10) years from the date of the signing of this agreement and for an indefinite period upon the customer fulfilling the minimum annual purchase requirement as listed in Schedule B. of this agreement.,Exclusivity,Yes,Irrevocable or Perpetual License,Yes
"The Manufacturer agrees to give the Customer exclusive rights to the marketing, promotion and sales of the new products should the Customer decide to take on the new products.",Exclusivity,Yes
The Manufacturer agrees to offer the Customer the first right of refusal to purchase the intellectual property for the products listed in Schedule A of this agreement based upon agreed terms.,ROFR/ROFO/ROFN,Yes
If control of either party shall pass from the present shareholders or owners or controllers to other persons whom the other party shall in their absolute discretion regard as unsuitable.,Change of Control,Yes
Either parties voting stock is transferred to any third party to such extent as to result in a change in effective control of the company or its ownership or active management is changed in any other manner.,Change of Control,Yes
On either party assigning or attempting to assign this agreement without the prior written consent of the other party.,Anti-assignment,Yes
The Manufacturer may not transfer or assign any of its rights or obligations under this agreement without the prior written consent of the Customer.,Anti-assignment,Yes
The Customer may not freely transfer or assign its rights or obligations under this agreement without the prior written consent of the Manufacturer.,Anti-assignment,Yes
The Manufacturer agrees to maintain its focus on the design and formulation of new products and agrees to provide the Customer with one new product each quarter for a minimum of four (4) new products per year.,Minimum Commitment,Yes
"Minimum Annual Product Performance Requirements are listed below: Product Name: Agreed Quantity of Units to be purchased per Annum: ATP 1 S Survivor Select 150gm packaged 15,000 ATP 2 Energized Mineral Concentrate 29.5mL packaged 20,000 ATP 3 Ionized Cal-Mag 114gm packaged 15,000 ATP 4 Omega Blend 250mL packaged 15,000 ATP 5 BetaMaxx 150gm packaged 15,000 AGP 1 Iron 29.5mL packaged 1000 YFA Young Formula 450gm packaged 3000 ORYC Organic Soap 150gm packaged 2500",Minimum Commitment,Yes
"The Manufacturer has appointed the Customer the copyright holder of both the English and the Chinese version of the book How to achieve Super Health beyond 2000 Ð Advanced Edition, authored by Frank D.P. Ellis and Dr. Michael Tait M.D.",IP Ownership Assignment,Yes
"The Customer shall inspect all Products promptly upon receipt thereof and may reject any defective Product, provided that the Customer shall within seven (7) days after receipt of such alleged defective Product, notify the Manufacturer of its rejection and either: (i) request to destroy in field for credit of the value of the defective product and the associated shipping costs (with approval), or (ii) request a Return Material Authorization (""RMA"") number and within seven (7) days of receipt of the RMA number from the Manufacturer return such rejected Product to the Manufacturer.",Warranty Duration,Yes
"The Manufacturing Companies utilised by the Agent to manufacture the products listed in Schedule A of this agreement shall maintain throughout the term of this agreement product liability insurance issued by a reputable insurance company under standard terms and conditions in the industry to cover the liability of the Customer and to indemnity the Customer from any costs, expenses, loss or damages resulting from any act, neglect or default of the company.",Insurance,Yes
"The Customer shall at all times during the term of this agreement maintain product liability insurance, covering all products sold by the Manufacturer to the Customer and which policy shall name the Manufacturer as Additional Insured.",Insurance,Yes
