Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
"LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT",Document Name,"LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT"
"Xencor, Inc., ""Xencor"", Aimmune Therapeutics, Inc., ""Aimmune"", Xencor and Aimmune are sometimes referred to herein individually as a ""Party"" and collectively as the ""Parties""., ""Aimmune"", Aimmune Therapeutics, Inc., ""Xencor"", Xencor, Inc.",Parties,"Xencor, Inc. (""Xencor""); Aimmune Therapeutics, Inc. (""Aimmune"")(""Party"" and collectively as the ""Parties"")"
"FEBRUARY 4, 2020",Agreement Date,02/04/2020
"February 4, 2020",Effective Date,02/04/2020
"This Agreement shall become effective on the Effective Date and, unless earlier terminated pursuant to this ARTICLE 13, shall remain in effect on a Product-by-Product and country-by-country basis until the expiration of the Royalty Term applicable to such Product and country (the ""Term"").",Expiration Date,perpetual
"This Agreement shall be governed by and construed in accordance with the internal laws of the State of California applicable to agreements made and to be performed entirely within such state, without regard to the conflicts of law principles of such state; provided that any matters relating to the construction or effect of any Patent will be governed by the patent laws of the relevant jurisdiction in which such Patent is granted.",Governing Law,California
"Aimmune covenants that it will not research or develop (including Develop) the Antibody itself, including not developing any modification, variant, fragment, progeny or derivatives of such Antibody, in each case, in a way that would produce a molecule that is neither the Antibody nor a molecule that falls within the definition of a Product.",Non-Compete,Yes,License Grant,Yes
"Aimmune hereby covenants and agrees that it shall not (and shall cause the other Aimmune Agreement Entities not to), either directly or indirectly, 14 Source: AIMMUNE THERAPEUTICS, INC., 8-K, 2/5/2020Develop, Manufacture, or Commercialize the Product for use outside the Licensed Field.",Non-Compete,Yes,License Grant,Yes
". Furthermore, Xencor hereby covenants and agrees that it shall not (and shall cause its Affiliates not to), either directly or through granting a license or other right to, or otherwise facilitating, a Third Party to (a) Develop, Manufacture or Commercialize the Antibody or the Product during the Term, (b) commence any [***] of any [***] that is not the Antibody or a Product and that [***] for use in the Licensed Field, prior to the [***] ([***]t h) anniversary of the Effective Date, or (c) Develop, Manufacture or Commercialize any [***] that is not the Antibody or a Product and that [***] for use in the Aimmune Field during the Term.",Non-Compete,Yes
"Subject to the terms and conditions of this Agreement, Xencor hereby grants to Aimmune during the Term an exclusive, worldwide, payment-bearing license under and with respect to Xencor Patents and XencorÕs interest in Joint Collaboration Patents, and a non-exclusive, payment bearing license under and with respect to Xencor Know-How, in each case, with the right to sublicense solely in accordance with Section 2.3.2, solely to Develop, Manufacture and Commercialize the Product in and for the Licensed Field_ provided that notwithstanding the foregoing, Xencor shall retain the right under and with respect to Xencor Patents and XencorÕs interest in Joint Collaboration Patents to the extent necessary to perform its obligations under this Agreement.",Exclusivity,Yes,Non-Transferable License,Yes
"Aimmune hereby grants to Xencor an exclusive license under and with respect to Aimmune Patents, and a non-exclusive license under and with respect to Aimmune Know-How, in each case, where such license is an irrevocable, perpetual, royalty-bearing license, with the right to sublicense, to Develop, Manufacture and Commercialize the Product(s), as the Product(s) exist as of the effective date of such termination, or optimized",Exclusivity,Yes
Aimmune may terminate this Agreement in its entirety at any time for its convenience upon sixty (60) daysÕ prior written notice to Xencor.,Termination For Convenience,Yes
"Without limitation of its rights under this ARTICLE 13, Xencor may also terminate this Agreement in its entirety as applicable, pursuant to the provisions of Section 9.7.",Termination For Convenience,Yes
