Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
EVENT SPONSORSHIP AGREEMENT,Document Name,EVENT SPONSORSHIP AGREEMENT
"Newegg Inc., ""Newegg"", Allied Esports International, Inc., ""Allied"", Newegg and Allied are hereinafter referred to jointly as the ""Parties"" and each as a ""Party."", ""Allied"", Allied Esports International, Inc., ""Newegg"", Newegg Inc.",Parties,"Newegg Inc. (""Newegg""); Allied Esports International, Inc. (""Allied"")(""Parties"" and each as a ""Party"")"
"February 1, 2019",Agreement Date,02/01/2019,Effective Date,02/01/2019
"This Agreement shall be valid for five (5) years from February 1, 2019 through January 31, 2024 unless this Agreement is terminated earlier pursuant to Section 14 (the ""Term"").",Expiration Date,1/31/2024
"Without reference to choice or conflict of law principles, this Agreement shall be governed by and construed in accordance with the laws of the State of California, USA.",Governing Law,California
"In all of AlliedÕs actions and publications (in all media and formats) in connection with the marketing and conducting of the Events, where possible and appropriate, Allied shall where reasonably practicable communicate that Newegg is the exclusive sponsor of the Arena for the technology e-commerce and online retailer categories.",Exclusivity,Yes
"Allied shall not endorse, or permit the marketing of any other company whose principal business is as an e-commerce provider at or in connection with the Arena.",Exclusivity,Yes
"Without limitation of the preceding sentence or any other provision of this Agreement, Allied shall identify and name Newegg as a Founding Partner, and as the exclusive Technology E-Commerce (or E-tail) Partner, of the Arena and in all of AlliedÕs marketing materials in connection with the Arena where reasonably practicable.",Exclusivity,Yes
"Without limiting the preceding sentence, Allied agrees not to use the Newegg Marks in any advertising materials or conduct any activities in a manner that may be seen to unreasonably modify, alter, detract from or impair the integrity, character, or dignity of the Newegg Marks or reflect unfavorably upon Newegg or Newegg Products.",Non-Disparagement,Yes
"Each Party covenants that it shall not make, publish or communicate to any person or entity in any online or other public forum any defamatory, misleading or disparaging remarks, comments or statements concerning (a) the other Party or any of its affiliates, or any of such PartyÕs or its affiliatesÕ respective employees, officers, directors, agents, officials, equity holders, investors or sponsors, or (b) any software, products or services of the other Party or any affiliate.",Non-Disparagement,Yes
"Notwithstanding the expiry or termination of this Agreement, both Parties shall not, and shall ensure that its Representatives shall not, do any of the following: (a) make any form of representation (whether express or implied) that Allied remains under the sponsorship of or in public association with Newegg; or (b) commit any act that would reasonably be seen as disparaging (whether expressly or implicitly) the Newegg and Allied brand names, reputations or any of their respective products or offerings.",Non-Disparagement,Yes
Each Party may also terminate the Agreement for convenience after Contract Year 2 by providing written notice to the other Party at least sixty (60) calendar days prior to the effective date of such termination,Termination For Convenience,Yes
Neither Newegg nor Allied shall have the right or power to assign or transfer any part of its rights or obligations under this Agreement without the prior consent in writing of the other Party,Anti-assignment,Yes
"Allied grants Newegg a non-exclusive, royalty-free, non-assignable, non-transferable, and non- sublicensable worldwide license to use, publicly display, transmit, broadcast, stream, distribute and reproduce the Allied Marks in all approved forms and in manners for the purposes of this Agreement during the Term.",License Grant,Yes
"Newegg grants Allied a revocable, non-transferrable, non-assignable (whether voluntarily, or as a result of a change of control, or by operation of law), non-sublicensable, non-exclusive and limited license to use, during the Term, the Newegg Marks solely in connection with AlliedÕs marketing and conduct of the Arena.",License Grant,Yes,Non-Transferable License,Yes
"Allied grants Newegg a non-exclusive, royalty-free, non-assignable, non-transferable, and non- sublicensable worldwide license to use, publicly display, transmit, broadcast, stream, distribute and reproduce the Allied Marks in all approved forms and in manners for the purposes of this Agreement during the Term",Non-Transferable License,Yes
"EXCEPTING ONLY CLAIMS MADE PURSUANT TO SECTION 12.1, IN NO EVENT WILL EITHER PARTY BE LIABLE FOR ANY INDIRECT, SPECIAL, INCIDENTAL, EXEMPLARY, PUNITIVE OR CONSEQUENTIAL DAMAGES OF ANY KIND, INCLUDING ANY LOST PROFITS, LOST REVENUES OR LOST SAVINGS, ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT AND/OR THE PRODUCTS, WHETHER IN CONTRACT, TORT, STRICT LIABILITY OR OTHERWISE, EVEN IF THE PARTY HAS BEEN ADVISED, KNOWS OR SHOULD KNOW, OR IS OTHERWISE AWARE OF THE POSSIBILITY OF SUCH DAMAGES.",Uncapped Liability,Yes,Cap on Liability,Yes
