Clause,Label 1,Label 1-Answer
FORM OF TRADEMARK LICENSE AGREEMENT,Document Name,FORM OF TRADEMARK LICENSE AGREEMENT
"ARCONIC INC., ""Licensee"", ARCONIC ROLLED PRODUCTS CORP., ""Licensor"", ARCONIC ROLLED PRODUCTS CORP., ""Licensee"", ARCONIC INC.",Parties,"ARCONIC INC. (""Licensee""); ARCONIC ROLLED PRODUCTS CORP. (""Licensor"")"
"[ ] day of [ ], 2020 (",Agreement Date,[]/[]/2020
"[ ] day of [ ], 2020",Effective Date,[]/[]/2020
The Term of this Agreement will commence on the Effective Date and shall continue for the time periods set forth in Schedules 1 and 2 unless sooner terminated in accordance with the terms of this Agreement.,Expiration Date,(None entered)
This Agreement shall be governed by and interpreted in accordance with the laws of the State of Delaware without regard to its conflicts of law principles.,Governing Law,Delaware
"Notwithstanding the foregoing, no such consent of Licensor is required under this Agreement in the event of a Change of Control of Licensee so long as: (a) the resulting, surviving or transferee Person assumes all the obligations of the Licensee by operation of Law or pursuant to an agreement in form and substance reasonably satisfactory to the Licensor; and (b) the licenses granted herein shall not be transferrable or sublicensable to Affiliates of such Person unless such Affiliates were Affiliates of Licensee prior to such Change of Control.",Change of Control,Yes
This Agreement may not be assigned by Licensee without the consent of Licensor which consent shall not be unreasonably withheld.,Anti-assignment,Yes
"Licensor on behalf of itself and its Affliates hereby grants to Licensee the limited licenses to use and have used the Licensed Mark: (i) for the Licensed Products as set forth on Schedule 2_ and (ii) as set forth on Schedule 1, concerning agreements entered into by Licensee prior to the Effective Date (""Existing Agreements"").",License Grant,Yes
"For the avoidance of doubt, Licensor also grants to Licensee and its subsidiaries and affiliates a non-exclusive, worldwide royalty-free license for continued use of the Licensed Mark for the production and sale of inventory containing the Licensed Mark applied to such products during the Transition Period as set forth in section 8.2 of the Separation and Distribution Agreement and in Schedule 2 of this Agreement.",License Grant,Yes
"Licensee will not, however, use the Licensed Mark except for the production and sale of inventory as provided in this Section 1.1 and in Section 8.2 of the Separation and Distribution Agreement and Schedule 2 of this Agreement.",License Grant,Yes
"Licensor on behalf of itself and its Affliates hereby grants to Licensee the limited licenses to use and have used the Licensed Mark: (i) for the Licensed Products as set forth on Schedule 2_ and (ii) as set forth on Schedule 1, concerning agreements entered into by Licensee prior to the Effective Date (""Existing Agreements""). For the avoidance of doubt, Licensor also grants to Licensee and its subsidiaries and affiliates a non-exclusive, worldwide royalty-free license for continued use of the Licensed Mark for the production and sale of inventory containing the Licensed Mark applied to such products during the Transition Period as set forth in section 8.2 of the Separation and Distribution Agreement and in Schedule 2 of this Agreement.",Affiliate License-Licensor,Yes
"For avoidance of doubt, to the extent that any of the licenses granted by the terms of this Agreement include any right to sublicense, such right to sublicense shall extend to LicenseeÕs subsidiaries and joint venturers.",Affiliate License-Licensee,Yes
"Licensor, as owner of the Licensed Mark, shall have the right at all times to control and approve the nature and quality of the Licensed Products (and the Licensed Mark thereon), and to inspect LicenseeÕs business operations upon reasonable prior notice for the purpose of ensuring that a high level of quality of the Licensed Products is being maintained by Licensee.",Audit Rights,Yes
"No more frequently than once per year, a third party auditor chosen by Licensor and approved by Licensee, such approval not to be unreasonably withheld, shall be entitled at any time on reasonable notice to the Licensee to enter, during regular business hours, any premises used by the Licensee or its manufacturers for the manufacture, packaging or storage of the Licensed Products, to inspect such premises, all plant, workforce and machinery used for manufacture, packaging or storage of Licensed Products and all other aspects of the manufacture, packaging and storage of Licensed Products (""Access Rights"")",Audit Rights,Yes
"Licensee agrees and covenants that it shall not challenge, contest, or take any actions inconsistent with LicensorÕs exclusive rights of ownership of the Licensed Mark.",Covenant Not To Sue,Yes
