Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
SPONSORED RESEARCH AND LICENSE AGREEMENT,Document Name,SPONSORED RESEARCH AND LICENSE AGREEMENT
"ArTara, Inc., ""ArTara"", The University of Iowa, ""University"", The University of Iowa, ""ArTara"", ArTara, Inc.",Parties,"Artara Therapeutics, Inc. (""ArTara"",""ArTara, Inc.""); The University of Iowa (""University"")"
"November 28, 2018",Agreement Date,11/28/2018,Effective Date,11/28/2018
This Agreement shall be governed by the laws of the State of Iowa.,Governing Law,Iowa
University hereby grants to ArTara an exclusive license to use the Program Data solely for the Project and in Regulatory Filings in the Field in the Territory.,Exclusivity,Yes,License Grant,Yes
University hereby grants to ArTara an exclusive Right of Reference to all Program Regulatory Filings by University in support of the Product.,Exclusivity,Yes
This Agreement may be terminated by ArTara upon thirty (30) days prior written notice to University.,Termination For Convenience,Yes
"Either Party may terminate the Project and all commitments and obligations with respect thereto, subject to Section 8.3 herein, upon thirty (30) days written notice to the other Party.",Termination For Convenience,Yes
"Richard Smith, MD will be given first consideration as a principal investigator for all new Product or Product- related clinical studies, in addition to other sites provided final site selection will be based on the best interest of the Project.",ROFR/ROFO/ROFN,Yes
No Party may assign any rights under this Agreement or delegate any duties hereunder without the prior written consent of the other Party.,Anti-assignment,Yes
"Royalties will be payable by ArTara on Net Sales of Product in the Indication. ArTara will, no later than [...***...] following the closeof each calendar quarter, pay tiered Royalties based on annual Net Sales of Product in the Indication as set forth below:Annual Net Sales of Product for theIndicationAnnual Royalty Rate Percent NetSales$0 - $25,000,0001.75%>$25,000,000 - $50,000,0002.25%>$50,000,0002.50%",Revenue/Profit Sharing,Yes
"In the event the Regulatory Authorities determine that the Program Data is not sufficient for Regulatory Approvals on itsown and additional pediatric efficacy and safety clinical studies are required, Royalties set forth above will be reduced by [...***...] percent ([...***...]%).",Revenue/Profit Sharing,Yes
"Upon written request of ArTara, University will assign the IND to ArTara.",IP Ownership Assignment,Yes
All intellectual property or patentable inventions arising out of or in connection with the Project that are discovered or invented jointly by Principal Investigator and ArTara shall be considered Joint Intellectual Property and shall be jointly owned by the University and ArTara.,Joint IP Ownership,Yes
"In the event of any termination of the Project by University, (a) University agrees to complete Phase I and II of the Project, and (b) ArTara will continue to provide annual funding until the completion of Phase II.",Post-termination Services,Yes
Upon termination of the Project by ArTara this Agreement will terminate subject to Section 8.3 and ArTara will reassign to University the IND if assignment thereof previously occurred pursuant to Section 4.3.,Post-termination Services,Yes
University will provide ArTara and CRO the opportunity to examine the originals of medical records and supporting records for the Program Data at the University during normal business hours and at mutually agreeable times.,Audit Rights,Yes
"IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER PARTY UNDER THIS AGREEMENT IN A DIRECT ACTION BETWEEN THE PARTIES FOR SPECIAL, INDIRECT, INCIDENTAL OR CONSEQUENTIAL DAMAGES (INCLUDING, WITHOUT LIMITATION, LOSS OF PROFITS) SUFFERED BY THE OTHER PARTY.",Cap on Liability,Yes
"ArTara, Affiliates, and sublicensees will obtain and maintain commercial general liability insurance with a reputable and financially secure insurance carrier prior to clinical testing, making, using, importing, offering to sell, or selling any licensed Product or engaging in any other act involving any licensed Product or the patent rights, if such act could possibly create risk of a claim against University Indemnitees for personal injury or property damage.",Insurance,Yes
"The insurance will identify University Indemnitees as additional insureds and will provide that the carrier will notify University inwriting at least [...***...] prior to cancellation, non-renewal, or material change in coverage. Should ArTara fail to obtain replacementinsurance providing comparable coverage within such [...***...] period, University will have the right to termination this Agreementeffective as of the end of the [...***...] period without notice or any additional cure period.",Insurance,Yes
"The insurance will include coverage for product liability with a minimum of [...***...] dollars ($[...***...]) per occurrence and [...***...] dollars ($[...***...]) annual aggregate, coverage for contractual liability, clinical trials liability if any such trial is performed,bodily injury and property damage, including completed operations, personal injury, coverage for contractual employees, blanketcontractual and products, and all other coverages standard for such policies.",Insurance,Yes
. Such insurance will additionally include errors andomissions insurance with a minimum of [...***...] dollars ($[...***...]) per occurrence.,Insurance,Yes
Insurance policies purchased to comply with this Article Seven will be kept in force for at least [...***...] after the last sale of licensedProduct.,Insurance,Yes
"At UniversityÕs request, such request to be made no more than annually, ArTara will provide University with a certificate of insurance and notices of subsequent renewals for its insurance and that of Affiliates extended rights under this Agreement and of sublicensees.",Insurance,Yes
