Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
"CO-BRANDING, MARKETING AND DISTRIBUTION AGREEMENT",Document Name,"CO-BRANDING, MARKETING AND DISTRIBUTION AGREEMENT"
"Amazon.com Commerce Services, Inc., ""ACSI"", Audible Inc., ""Company"", ACSI and Company are sometimes referred to collectively herein as the ""Parties"" and individually as a ""Party."", ""Company"", Audible Inc., ""ACSI"", Amazon.com Commerce Services, Inc.",Parties,"Amazon.com Commerce Services, Inc. (""ACSI""); Audible Inc. (""Company"")(""Parties"" and individually as a ""Party"")"
"January 30, 2000",Agreement Date,01/30/2000,Effective Date,01/30/2000
"The term of this Agreement will commence on the Effective Date, and unless earlier terminated as provided elsewhere in this Agreement, will end automatically upon the end of Year 3.",Expiration Date,01/30/2003
"This Agreement will be interpreted, construed and enforced in accordance with the Laws of the State of Washington, without reference to its choice of Laws rules.",Governing Law,Washington
"""ACSI Competitor"" means, collectively, such persons and entities as the Parties may agree upon from time to time.  ACSI may update any agreed-upon list of ACSI Competitors no more frequently than once per quarter by written notice, provided that: (a) the number of entities specified on such list shall at no time [***]_ (b) any entities added to such list must be [***]_ and (c) no addition of any ACSI Competitor to such list shall require Company to breach any contractual or legal obligation to such ACSI Competitor by which Company is bound as of the date of such addition.",Non-Compete,Yes
"The Parties will issue a joint press release promptly upon concluding Advertising. this Agreement, which press release shall be subject to the Party's mutual approval, which shall in any event state that Company is the exclusive provider on the ACSI Site of premium spoken-word audio product for download or streaming over the world wide web.",Exclusivity,Yes
"During the Term, [***], ACSI will not offer or sell through the ACSI Site, or authorize any third party to sell through the ACSI Site, any Exclusive Spoken-Word Audio Products_ [***].",Exclusivity,Yes
"Neither Company nor ACSI will use the other Party's Trademarks in a manner that disparages the other Party or its products or services, and/or portrays the other Party or its products or services in a false, competitively adverse or poor light.",Non-Disparagement,Yes
"Company may not assign or delegate this Agreement or any of its rights or obligations hereunder, whether voluntarily, involuntarily, by operation of Law or otherwise, without ACSI's prior written consent, which consent shall not be unreasonably withheld or delayed, except that Company may assign this Agreement to any direct or indirect wholly owned subsidiary in connection with any corporate reorganization undertaken for the purpose of minimizing the tax liability of Company and its Affiliates or other bona fide corporate purpose or in connection with any Change of Control [***]",Anti-assignment,Yes
"ACSI may assign this Agreement to (a) any corporation or other entity resulting from any merger, consolidation, or other reorganization involving ACSI, (b) any of its Affiliates, or (c) any person or entity to which it transfers all or substantially all of its assets relating to the Spoken-Word Audio Sub-Section; provided that the assignee agrees in writing to be bound by all the terms and conditions of this Agreement.",Anti-assignment,Yes
"ACSI may assign this Agreement to (a) any corporation or other entity resulting from any merger, consolidation, or other reorganization involving ACSI, (b) any of its Affiliates, or (c) any person or entity to which it transfers all or --------------- ***Confidential Information has been omitted and has been filed separately with the Securities and Exchange Commission.                                      -22- substantially all of its assets relating to the Spoken-Word Audio Sub-Section; provided that the assignee agrees in writing to be bound by all the terms and conditions of this Agreement.  Subject to the foregoing, this Agreement will be binding on and enforceable by the Parties and their respective successors and permitted assigns.",Anti-assignment,Yes
"In consideration for the intangible rights granted hereunder, for each Year in which the Spoken-Word Audio Sub-Section (including the Mirror Company Site) generates revenue of at [***] (the ""Revenue Threshold""), Company will pay ACSI a royalty equal to [***] of all revenues generated from the Spoken-Word Audio Sub-Section (including, for the avoidance of doubt, any revenue received by Company from any Company customer who first links to the Mirror Company Site from the Spoken-Word Audio Sub-Section and who later accesses the Company Site directly) in excess of Revenue Threshold (the ""Royalties"") for each Year of the Term.",Revenue/Profit Sharing,Yes
"Allocation of Payments.  The Parties acknowledge and agree that the Annual Fees shall be allocated as consideration for advertising services and intangible rights granted by ACSI to Company hereunder, including the rights granted under Section 2.1  [Spoken-Word Audio Sub-Section] and Section 4.2  [ACSI Site Links] and the licenses granted to Company under Section 6, as follows:              Year                    Advertising Services             Intangible Rights ----------------------------------------------------------------------------------------------                                                                               1                             [***]                           [***] ----------------------------------------------------------------------------------------------               2                             [***]                           [***] ----------------------------------------------------------------------------------------------               3                             [***]                           [***] ----------------------------------------------------------------------------------------------",Revenue/Profit Sharing,Yes
"During each Year of the Term following the Launch Date, ACSI (or one of its Affiliates) will deliver Amazon.com-branded e-mails and Amazon.com-branded in-product advertising materials related to the Spoken-Word Audio Sub-Section to selected members of the Amazon.com customer base in at least the following quantities: ---------------------------------------------------------------------------------------------             Year                           Email                      Product Shipment -----------------------------    --------------------------    ------------------------------ ---------------------------------------------------------------------------------------------                                                                        1                            [***]                            [***] ---------------------------------------------------------------------------------------------              2                            [***]                            [***] ---------------------------------------------------------------------------------------------              3                            [***]                            [***] ---------------------------------------------------------------------------------------------",Minimum Commitment,Yes
"Subject to the foregoing, Company shall have the right to limit the number of promotional incentives (e.g. free give-aways, low-cost promotional offers and the like) that are offered through the Spoken-Word Audio Sub-Section based upon the volume of traffic if such volume were to place Company in commercially untenable position as solely determined by Company.",Volume Restriction,Yes
"To the maximum extent permitted by applicable Laws, any ACSI Derivative Works or Company Derivative Works, to the extent created by or for the other Party, shall be deemed ""works made for hire"", and all right, title and interest therein shall vest in ACSI (in the case of ACSI Derivative Works) or Company (in the case of Company Derivative Works) immediately upon creation thereof.",IP Ownership Assignment,Yes
"To the extent that any such ACSI Derivative Works or Company Derivative Works are not ""works made for hire"", Company hereby assigns and agrees to assign to ACSI (or such of its Affiliates as it may designate) all right, title and interest to all ACSI Derivative Works and all associated Intellectual Property Rights, and ACSI hereby assigns and agrees to assign to Company (or such of its Affiliates as it may designate) all right, title and interest in and to all Company Derivative Works and all associated Intellectual Property Rights. Each Party shall take, at the other Party's expense, any actions (including, without limitation, execution and delivery of affidavits and other documents) reasonably requested by such other Party to effect, perfect or confirm its or its designee's ownership rights as set forth in this Section 6.1.3  [Ownership].",IP Ownership Assignment,Yes
"""Joint Work"" means any content, data, URLs, domain names, technology, software, code, user interfaces, ""look and feel"" or other items which are invented, created, developed or first reduced to practice jointly by the Parties after the Effective Date, are protected or protectable by any Intellectual Property Rights and either: (a) include or incorporate both ACSI Existing Intellectual Property, ACSI Future Intellectual Property and/or ACSI Derivative Works, on the one hand, and/or Company Existing Intellectual Property, Company Future Intellectual Property and/or Company Derivative Works, on the other hand; or (b) include or incorporate no ACSI Existing Intellectual Property or ACSI Source: AUDIBLE INC, 10-Q, 11/13/2000Derivative Works, on the one hand, or Company Existing Intellectual Property or Company Derivative Works, on the other hand; provided, however, that notwithstanding any other provision of this Agreement, to the extent that any such items incorporate in whole or in part any ACSI --------------- ***Confidential Information has been omitted and has been filed separately with the Securities and Exchange Commission.                                       -4- Site Functionality or technology, software, code, user interfaces or ""look and feel"" related thereto or incorporated therein, such items shall be deemed ACSI Derivative Works in their entirety and not Joint Works or Company Intellectual Property.",Joint IP Ownership,Yes
