Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
GLOBAL MAINTENANCE AGREEMENT (,Document Name,GLOBAL MAINTENANCE AGREEMENT (
"AZUL LINHAS AREAS BRASILEIRAS S/A, ""Company"" or ""AZUL"",, AVIONS DE TRANSPORT REGIONAL, the ""Repairer""or ""ATR"",, AVIONS DE TRANSPORT REGIONAL, ""Company"" or ""AZUL"",, AZUL LINHAS AREAS BRASILEIRAS S/A",Parties,"AZUL LINHAS AREAS BRASILEIRAS S/A (""Company"" or ""AZUL""); AVIONS DE TRANSPORT REGIONAL, G.I.E. (""Repairer"" or ""ATR"");"
March 9th 2015,Agreement Date,03/09/2015
"""End Date""   means the date on which this Agreement is terminated or expires, and shall be the earlier to occur of the following, as appropriate:   (i) the end of the Initial Term as defined in Clause 3.1of this Agreement_ or,   (ii) the end of the term of each annual renewal of this Agreement as per Clause 3.2 of this Agreement_ or,   (iii) the date on which all or part of this Agreement is terminated as per Clause 16 (""Termination"")_, The Agreement enters into force on the Signing Date; it will have a duration of [*****] as from the Start Date (the ""Initial Term"")., The Agreement shall end on the End Date without any further action, unless otherwise provided under this Agreement., The Agreement enters into force on the Signing Date; it will have a duration of [*****] as from the Start Date (the ""Initial Term"")., ""End Date""   means the date on which this Agreement is terminated or expires, and shall be the earlier to occur of the following, as appropriate:   (i) the end of the Initial Term as defined in Clause 3.1of this Agreement_ or,   (ii) the end of the term of each annual renewal of this Agreement as per Clause 3.2 of this Agreement_ or,   (iii) the date on which all or part of this Agreement is terminated as per Clause 16 (""Termination"")_",Expiration Date,(None entered)
"Upon expiry of the Initial Term, this Agreement [*****] unless a Notice of non-renewal is given by either Party to the other Party [*****] prior to the expiry of the Initial Term or the end of a renewal period, if any.",Renewal Term,(None entered),Notice Period To Terminate Renewal,(None entered)
"Pursuant to and in accordance with Section 5-1401 of the New York General Obligations Law, the Parties hereto agree that this Agreement in all respects, and any claim or cause of action based upon or arising out of this Agreement, or any dealing between the Parties   AZULÐATR   Global Maintenance Master Agreement DS/CS-3957/14/Issue 7   Page 37/110 Source: AZUL SA, F-1/A, 3/3/2017Execution version   CONFIDENTIAL TREATMENT REQUESTED   relating to the subject matter of this Agreement or the transactions contemplated hereby or the Company/Repairer relationship being established, shall be governed by, and construed in accordance with, the laws of the State of New York, U.S.A. as applied to contracts to be performed wholly within the State of New York (Exclusive of Section 7-101 of the New York General Obligations Law which is inapplicable to this Agreement)., Pursuant to and in accordance with Section 5-1401 of the New York General Obligations Law, the Parties hereto agree that this Agreement in all respects, and any claim or cause of action based upon or arising out of this Agreement, or any dealing between the Parties  relating to the subject matter of this Agreement or the transactions contemplated hereby or the Company/Repairer relationship being established, shall be governed by, and construed in accordance with, the laws of the State of New York, U.S.A. as applied to contracts to be performed wholly within the State of New York (Exclusive of Section 7-101 of the New York General Obligations Law which is inapplicable to this Agreement)., Pursuant to and in accordance with Section 5-1401 of the New York General Obligations Law, the Parties hereto agree that this Agreement in all respects, and any claim or cause of action based upon or arising out of this Agreement, or any dealing between the Parties   AZULÐATR   Global Maintenance Master Agreement DS/CS-3957/14/Issue 7   Page 37/110 Source: AZUL SA, F-1/A, 3/3/2017Execution version   CONFIDENTIAL TREATMENT REQUESTED   relating to the subject matter of this Agreement or the transactions contemplated hereby or the Company/Repairer relationship being established, shall be governed by, and construed in accordance with, the laws of the State of New York, U.S.A. as applied to contracts to be performed wholly within the State of New York (Exclusive of Section 7-101 of the New York General Obligations Law which is inapplicable to this Agreement).",Governing Law,New York
"Each Item listed in Exhibit 3 (""Main Elements covered under this Agreement"") and Exhibit 6 (""LRUs covered by repair and standardexchange Services"") withdrawn from the Stock and used by the Company shall be exclusively repaired by the Repairer.",Exclusivity,Yes
"The Repairer is entitled to use the CompanyÕs name and associated logos as a business reference for its marketing activities in relation with the Services, provided such use (i) has no adverse impact on, such as but not limited to, CompanyÕs reputation and image and (ii) complies with graphic design policy of the Company.",Non-Disparagement,Yes
"Early termination fee: subject to not being in breach of any of its obligation under the Agreement, the Company may terminate this Agreement for convenience by way of Notice of termination; the Agreement shall be then terminated following a [*****] period as from   [*****] Confidential material redacted and filed separately with the Securities and Exchange Commission.   AZULÐATR   Global Maintenance Master Agreement DS/CS-3957/14/Issue 7   Page 29/110 Source: AZUL SA, F-1/A, 3/3/2017Execution version   CONFIDENTIAL TREATMENT REQUESTED   the receipt of such Notice by the Repairer or any other lesser period to be granted by the Repairer.",Termination For Convenience,Yes
"Early termination fee: subject to not being in breach of any of its obligation under the Agreement, the Company may terminate this Agreement for convenience by way of Notice of termination; the Agreement shall be then terminated following a [*****] period as from the receipt of such Notice by the Repairer or any other lesser period to be granted by the Repairer.",Termination For Convenience,Yes
"Consequently either this Agreement or any of the respective rights or obligations of the Parties hereunder may be assigned or otherwise transferred, in whole or in part, in any form whatsoever (including by way of change of Control), by either Party subject to the prior written consent of the other Party, which consent shall not be unreasonably withheld or delayed, and any attempt to do so without such consent shall be null and void.",Change of Control,Yes,Anti-assignment,Yes
