Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
CELEBRITY ENDORSEMENT AGREEMENT,Document Name,CELEBRITY ENDORSEMENT AGREEMENT
"Bizzingo, Inc., ""Bizzingo"", Joseph Theismann, ""Theismann"", Joseph Theismann, ""Bizzingo"", Bizzingo, Inc.",Parties,"Bizzingo, Inc (""Bizzingo""); Joseph Theismann (""Theismann"")"
"March 14, 2012",Agreement Date,03/14/2012
"March 1, 2012",Effective Date,03/01/2012
"Unless sooner terminated under the provisions hereof, this Agreement shall commence on the Effective Date and continue for a period  of one (1) year (""Term""). provided however, that the Parties may extend the Term for an additional year period by entering into an written  addendum of the Agreement extending such term.",Expiration Date,03/01/2013,Renewal Term,1 year
"Notwithstanding the foregoing, during the term and for a period of one (1) year thereafter, Theismann shall not use,  permit the use of, or license to others the Property in connection with the advertisement, promotion, and sale of any network or Internet service,  including but limited to all computer/video games, CD-ROMs, and/or interactive video of any form, except for a pre-existing license by Theismann.",Exclusivity,Yes
"Theismann represents and warrants that, except as otherwise disclosed herein, he has not granted nor will he grant during the Term  and for a period of one (1) year thereafter to any other party any right, permission, or license to use the Property in connection with  the advertisement, sale, or promotion of the Network or in connection with networks that are identical or substantially similar to the  Network.",Exclusivity,Yes
"Concurrent with the execution of this agreement, the parties will execute a  mutually acceptable Confidentiality and Non-Disparagement Agreement.",Non-Disparagement,Yes
"Theismann shall have the right to terminate this Agreement at any time upon thirty (30) days' written notice to Bizzingo, such  termination to become effective at the conclusion of such 30-day period.",Termination For Convenience,Yes
Neither party may assign this Agreement or the rights and obligations thereunder to any third party without the prior  express written approval of the other party which shall not be unreasonably withheld.,Anti-assignment,Yes
The Royalty payable under the Agreement shall be in the form of one (1) common stock purchase warrant of Bizzingo (as further  described herein) for each Activated User (as defined above) that occurs during a Royalty Period determined on the last day of each Royalty  Period during the Term.,Revenue/Profit Sharing,Yes
"Make himself available for four (4) sessions for production of photographs, or radio, television, video or other multi-media  programming for use in Bizzingo's advertising or promotional materials, with each such session not exceeding eight (8) hours.",Volume Restriction,Yes
"Make four (4) public appearance for the purpose of promoting the Network, which may include autograph sessions, dinner  appearances, and/or other appearances not described in 4(a) above, with each such session not exceeding two (2) hours.",Volume Restriction,Yes
"Subject to the terms and conditions set forth herein, Theismann hereby grants to Bizzingo and its affiliates the unlimited  right and privilege during the Term (as defined herein) and within the Territory to use the Property (as defined herein) in connection with the  advertisement, promotion, and sale of the Network in the Territory whether through film, television, radio, print and Internet media, including the right to use  the Property in or on the Network. I",License Grant,Yes
"It being understood and agreed that Bizzingo shall have the right to exhibit commercials, infomercials, advertisements and  otherwise make use of all Property on a worldwide basis and that Bizzingo and its affiliates shall be the sole owner of all commercials, promotional materials and  other items produced or created hereunder and all related rights worldwide, including, without limitation, copyright, trademark and intellectual property rights,  subject however to the terms and conditions herein.",License Grant,Yes
"Subject to the terms and conditions set forth herein, Theismann hereby grants to Bizzingo and its affiliates the unlimited  right and privilege during the Term (as defined herein) and within the Territory to use the Property (as defined herein) in connection with the  advertisement, promotion, and sale of the Network in the Territory whether through film, television, radio, print and Internet media, including the right to use  the Property in or on the Network",Affiliate License-Licensee,Yes
"Subject to the terms and conditions set forth herein, Theismann hereby grants to Bizzingo and its affiliates the unlimited  right and privilege during the Term (as defined herein) and within the Territory to use the Property (as defined herein) in connection with the  advertisement, promotion, and sale of the Network in the Territory whether through film, television, radio, print and Internet media, including the right to use  the Property in or on the Network.",Unlimited/All-You-Can-Eat-License,Yes
All books and records relative to Bizzingo's obligations hereunder shall be maintained and made accessible to Theismann for inspection at a  location in the United States for at least one year after termination of this Agreement.,Post-termination Services,Yes
"Theismann or his representatives, at his cost and expense, shall have the right, upon reasonable notice and during  normal business hours, to inspect Bizzingo's books and records and all other documents and material in Bizzingo's possession or control with  respect to the determination of Royalties payable hereunder.",Audit Rights,Yes
"In this regarding, within thirty (30) days from the  execution of this Agreement, Bizzingo will secure an insurance policy with limits of $5,000,000 per event and $ 5,000,000 umbrella,  naming Theismann as an additional insured, covering the losses and claims stated in this sub-paragraph d.",Insurance,Yes
