Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
MASTER OPERATION AND MAINTENANCE AGREEMENT,Document Name,MASTER OPERATION AND MAINTENANCE AGREEMENT
"BLOOM ENERGY CORPORATION, ""BE"", ""Operator"", DIAMOND STATE GENERATION PARTNERS, LLC, ""Owner"", DIAMOND STATE GENERATION PARTNERS, LLC, ""Operator"", ""BE"", BLOOM ENERGY CORPORATION",Parties,"BLOOM ENERGY CORPORATION (""BE"" or, in its capacity as operator hereunder, ""Operator""); DIAMOND STATE GENERATION PARTNERS, LLC (""Owner"")"
"April 13, 2012",Agreement Date,04/13/2012
"The term of this Agreement (the ""Term"") (a) shall commence on the first day of the Warranty Period for the first Bloom System to achieve Commencement of Operation and (b) shall, unless terminated earlier under Section 4.1 of this Agreement or unless extended by mutual agreement of the Parties, terminate on the date that is the last day of the Warranty Period for the last Bloom System to achieve Commencement of Operation.",Effective Date,(None entered),Expiration Date,(None entered)
THIS AGREEMENT SHALL BE GOVERNED BY AND INTERPRETED IN ACCORDANCE WITH THE LAWS OF THE STATE OF NEW YORK WITHOUT REGARD TO CONFLICTS OF LAW PRINCIPLES (OTHER THAN SECTION 5-1401 OF THE NEW YORK GENERAL OBLIGATIONS LAW).,Governing Law,New York
"This Agreement and all of the provisions hereof shall be binding upon and inure to the benefit of the Parties and their respective successors and permitted assigns (including by operation of law), but neither this Agreement nor any of the rights, interests or obligations hereunder shall be assigned by any Party, whether by operation of law or otherwise, without the prior written consent of the other Party; provided that either Party may collaterally assign its rights under this Agreement to any party providing debt or equity financing to such Party without the consent of the other Party.",Anti-assignment,Yes
"Operator grants to Owner the limited right to use any Training Materials which are provided under this Agreement, and Owner agrees that upon termination of this Agreement for any reason, Owner shall return all Training Materials, including any copies, to Operator.",License Grant,Yes
"Notwithstanding anything to the contrary in this Agreement and in furtherance of continuing qualification under the QFCP-RC Tariff, in the event of the early termination of this Agreement pursuant to Article 4 hereof, BE and Operator agree to use commercially reasonable efforts to cooperate with Owner to facilitate Owner 20 Source: BLOOM ENERGY CORP, DRS/A (on S-1), 3/21/2018entering into a new agreement with a third party operator governing operation and maintenance services to be provided to Owner on terms substantially similar to the terms of this Agreement, so that such replacement Operator shall be deemed a QFCP.",Post-termination Services,Yes
"Notwithstanding anything to the contrary in this Agreement and in furtherance of continuing qualification under the QFCP-RC Tariff, in the event of the early termination of this Agreement pursuant to Article 4 hereof, BE and Operator agree to use commercially reasonable efforts to cooperate with Owner to facilitate Owner entering into a new agreement with a third party operator governing operation and maintenance services to be provided to Owner on terms substantially similar to the terms of this Agreement, so that such replacement Operator shall be deemed a QFCP.",Post-termination Services,Yes
"Throughout the Term, and thereafter to the extent relevant to calculations necessary for periods prior to the end of the Term and subject to any confidentiality obligation owed to any third party and/or any restrictions on the disclosure of information which may be subject to intellectual property rights restricting disclosure: (a) Owner shall grant Operator access to all data relating to the electricity production of each Bloom System, it being understood that it is OperatorÕs responsibility to determine the performance of the Bloom System, and any other calculations as required under this Agreement, and that it is OwnerÕs responsibility to handle all accounting and invoicing activities; and (b) Owner shall allow Operator access to all data from all Facility Meters.",Post-termination Services,Yes
All such records required to be created and maintained pursuant to Section 2.12(a) shall be kept available at the OperatorÕs office and made available for the OwnerÕs inspection upon request at all reasonable times.,Audit Rights,Yes
"provided that such limitation of liability shall not apply to any liability that is the result of (i) gross negligence, fraud or willful misconduct of a Party, (ii) a Third Party Claim, (iii) the failure to pay the Service Fees (which amount shall not be included in calculating OwnerÕs Maximum Liability), (iv) a claim of Owner against BE or Operator in the event of any breach, default or misrepresentation of any representation and warranty or covenant set forth in Section 8.2(e) or (v) a claim of Owner against BE or Operator under Section 2.8.",Uncapped Liability,Yes
