Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer,Label 4,Label 4-Answer,Label 5,Label 5-Answer,Label 6,Label 6-Answer,Label 7,Label 7-Answer
"INTELLECTUAL PROPERTY AGREEMENT, d",Document Name,"INTELLECTUAL PROPERTY AGREEMENT, d"
"NUANCE COMMUNICATIONS, INC., ""Nuance"", CERENCE INC., ""SpinCo"", CERENCE INC., ""Nuance"", NUANCE COMMUNICATIONS, INC.",Parties,"NUANCE COMMUNICATIONS, INC (""Nuance""); CERENCE INC. (""SpinCo"")"
"September 30, 2019",Agreement Date,09/30/2019
"This Agreement may be executed in one or more counterparts, all of which counterparts shall be considered one and the same agreement, and shall become effective when one or more counterparts have been signed by each Party and delivered to the other Party.",Effective Date,(None entered)
"Any disputes relating to, arising out of or resulting from this Agreement, including to its execution, performance, or enforcement, shall be governed by, and construed in accordance with, the Laws of the State of Delaware, regardless of the Laws that might otherwise govern under applicable principles of conflicts of Laws thereof.",Governing Law,Delaware
"This Agreement may be terminated by Nuance at any time, in its sole discretion, prior to the Distribution_ provided, however, that this Agreement shall automatically terminate upon the termination of the Separation Agreement in accordance with its terms.",Termination For Convenience,Yes
"Notwithstanding the foregoing, if any Party to this Agreement (or any of its successors or permitted assigns) (a) shall enter into a consolidation or merger transaction in which such Party is not the surviving entity and the surviving entity acquires or assumes all or substantially all of such PartyÕs assets, (b) shall transfer all or substantially all of such PartyÕs assets to any Person or (c) shall assign this Agreement to such PartyÕs Affiliates, then, in each such case, the assigning Party (or its successors or permitted assigns, as applicable) shall ensure that the assignee or successor-in-interest expressly assumes in writing all of the obligations of the assigning Party under this Agreement, and the assigning Party shall not be required to seek consent, but shall provide written notice and evidence of such assignment, assumption or succession to the non-assigning Party.",Change of Control,Yes
"Except as expressly set forth in this Agreement, neither this Agreement nor any of the rights, interests or obligations under this Agreement, including the licenses granted pursuant to this Agreement, shall be assigned, in whole or in part, by operation of Law or otherwise by either Party without the prior written consent of the other Party.",Anti-assignment,Yes
Any purported assignment without such consent shall be void.,Anti-assignment,Yes
"In order to carry out the intent of the Parties with respect to the recordation of the transfers of any registrations or applications of Nuance IP or SpinCo IP, as applicable, to the extent the ownership thereof has transferred from a member of the Nuance Group to a member of the SpinCo Group, or vice versa, pursuant to the Separation Agreement or any other Ancillary Agreement, the Parties shall execute intellectual property assignments in a form substantially similar to that attached as Exhibit A1 (the ""Patent Assignment Agreement""), Exhibit A2 (the ""Trademark Assignment Agreement""), Exhibit A3 (the ""Domain Name Assignment Agreement"") and Exhibit A4 (the ""Invention Disclosure Assignment Agreement"") as well as such additional case specific assignments as deemed appropriate or necessary under applicable Laws (collectively, the ""Intellectual Property Assignment Agreements"") for recordation with the appropriate Governmental Authority.",IP Ownership Assignment,Yes
"Subject to the terms and conditions of this Agreement, as of the Distribution Date, Nuance hereby grants to SpinCo and the members of the SpinCo Group a worldwide, non-exclusive, fully paid-up, perpetual and irrevocable, transferable (subject to ARTICLE VIII), sublicensable (subject to Section 3.01(g)) license under the Nuance Patents, solely to the extent that claims of the Nuance Patents cover products or services of the SpinCo Business in the SpinCo Field of Use, together with natural extensions and evolutions thereof, in each case to make, have made, use, sell, offer for sale, import and otherwise exploit such products and services, together with natural extensions and evolutions thereof.",License Grant,Yes,Irrevocable or Perpetual License,Yes
"Subject to the terms and conditions of this Agreement, as of the Distribution Date, Nuance hereby grants to SpinCo and the members of the SpinCo Group a worldwide, non-exclusive, fully paid-up, perpetual and irrevocable, transferable (subject to ARTICLE VIII), sublicensable (subject to Section 3.01(g)) license to install, access, use, reproduce, perform, display, modify (including the right to create improvements and derivative works), further develop, sell, manufacture, distribute and market products and services based on, using or incorporating the Nuance Shared Technology Assets within the SpinCo Field of Use, together with natural extensions and evolutions thereof.",License Grant,Yes,Irrevocable or Perpetual License,Yes
