Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
DEVELOPMENT AGREEMENT,Document Name,DEVELOPMENT AGREEMENT
"Howmedica Osteonics Corp., also known as Stryker Orthopaedics   (""Stryker""), Conformis, Inc., ""Conformis"", Stryker and Conformis are collectively referred to herein as the ""Parties"" and   individually as a ""Party."", ""Conformis"", Conformis, Inc., also known as Stryker Orthopaedics   (""Stryker""), Howmedica Osteonics Corp.",Parties,"Howmedica Ostenonics Corp. (""Stryker""); Conformis, Inc. (""Conformis""); Stryker and Conformis (""Parties"" and   individually as a ""Party."")"
"September 30, 2019",Agreement Date,09/30/2019,Effective Date,09/30/2019
"The term of this Agreement shall begin as of the Effective Date and continue until Acceptance of all Deliverables   for Milestones #1 and #2 pursuant to Section 3.4 and completion of Milestone #3, unless earlier terminated under Section 8.2, as   provided for under the Other Agreements, or as mutually agreed by the Parties.",Expiration Date,(None entered)
This Agreement shall be governed and construed in accordance with the laws of New York State   (without regard to the conflict of laws provisions thereof).,Governing Law,New York
"Notwithstanding the foregoing, in the event that the applicable Party decides not to file at all or not to file a continuing or other   application to maintain the viability of the U.S part of a family of patents to which an application belongs, or decides to abandon or   discontinue the prosecution or maintenance of any of the Joint IP Rights, such Party shall notify the other Party thereof, and such   other Party may elect to continue the prosecution (including non-provisional application and PCT entry) or maintenance of such   Joint IP Rights at its sole expense and in the name(s) of both Stryker and Conformis",ROFR/ROFO/ROFN,Yes
"Except as otherwise provided herein, a Party shall not have the right to   assign any of its rights or obligations under this Agreement (whether through a merger, sale of stock, or otherwise) without the   prior written consent of the other Party_ except that, either Party shall be permitted, without any need for the other PartyÕs   consent, to assign this Agreement (a) in whole or in part to an Affiliate (provided, however, that once such Person is no longer an   Affiliate of the assigning Party, such former Affiliate shall assign this Agreement back to the assigning Party), provided that the   assigning Party provides the other Party notice of any such assignment provided further that failure to provide such notice of such   assignment shall not render such assignment void_ or (b) to a Third Party in connection with sale or transfer of all or substantially all   of the assigning PartyÕs business or assets relating to the subject matter of this Agreement, whether by Change of Control, merger,   sale of assets or otherwise_ provided, however, that, with respect to clause (b), (i) any assignment of this Agreement shall be void   and have no effect unless and until the assignee assumes the   25   Source: CONFORMIS INC, 10-Q, 11/1/2019  obligations of the assigning Party in a written instrument, a copy of which is provided to the other Party_ and (ii) any assignment of   this Agreement must be accompanied by a simultaneous assignment of the Other Agreements to the same assignee, and the   assigning PartyÕs interest in the Purchased Assets to the same assignee unless otherwise agreed by Conformis in advance, which   agreement shall not be unreasonably withheld.",Change of Control,Yes,Anti-assignment,Yes
"Except as otherwise provided herein, a Party shall not have the right to   assign any of its rights or obligations under this Agreement (whether through a merger, sale of stock, or otherwise) without the   prior written consent of the other Party_ except that, either Party shall be permitted, without any need for the other PartyÕs   consent, to assign this Agreement (a) in whole or in part to an Affiliate (provided, however, that once such Person is no longer an   Affiliate of the assigning Party, such former Affiliate shall assign this Agreement back to the assigning Party), provided that the   assigning Party provides the other Party notice of any such assignment provided further that failure to provide such notice of such   assignment shall not render such assignment void_ or (b) to a Third Party in connection with sale or transfer of all or substantially all   of the assigning PartyÕs business or assets relating to the subject matter of this Agreement, whether by Change of Control, merger,   sale of assets or otherwise_ provided, however, that, with respect to clause (b), (i) any assignment of this Agreement shall be void   and have no effect unless and until the assignee assumes the obligations of the assigning Party in a written instrument, a copy of which is provided to the other Party_ and (ii) any assignment of   this Agreement must be accompanied by a simultaneous assignment of the Other Agreements to the same assignee, and the   assigning PartyÕs interest in the Purchased Assets to the same assignee unless otherwise agreed by Conformis in advance, which   agreement shall not be unreasonably withheld.",Change of Control,Yes,Anti-assignment,Yes
"To the extent working with Agents or other Third Parties is permitted under the R&D Work   Plan, should a Party wish to engage an Agent or any other Third Party in connection with the R&D Work Plan or any other work   under this Agreement, such Party must obtain in advance a written agreement by such Agent or other Third Party (i) to assign to   the Party all Inventions conceived, created or generated by the Agent or other Third Party, and (ii) to maintain all Confidential   Information in confidence as set forth in Section 5.2.",Anti-assignment,Yes
Any   assignment not in accordance with this Section 10.2 shall be void.,Anti-assignment,Yes
"Conformis agrees   to assign and hereby assigns to Stryker all right, title and interest in and to all Improved Stryker Background IP in which ownership   in same has vested in   11   Source: CONFORMIS INC, 10-Q, 11/1/2019  Conformis by operation of law or by assignment by its employees or consultants; and to facilitate such assignment to Stryker,   Conformis agrees (i) to regularly ensure that its employees and consultants timely make any appropriate assignments to it of that   which constitutes Improved Stryker Background IP, and (ii) at StrykerÕs reasonable request, to execute and have its employees   and consultants execute, as necessary, all assignments and any other documentation necessary to perfect title in Stryker of such   Improved Stryker Background IP.",IP Ownership Assignment,Yes
"Conformis agrees   to assign and hereby assigns to Stryker all right, title and interest in and to all Improved Stryker Background IP in which ownership   in same has vested in Conformis by operation of law or by assignment by its employees or consultants; and to facilitate such assignment to Stryker,   Conformis agrees (i) to regularly ensure that its employees and consultants timely make any appropriate assignments to it of that   which constitutes Improved Stryker Background IP, and (ii) at StrykerÕs reasonable request, to execute and have its employees   and consultants execute, as necessary, all assignments and any other documentation necessary to perfect title in Stryker of such   Improved Stryker Background IP.",IP Ownership Assignment,Yes
"Each Party to whom ownership is to vest in Joint IP by operation of law or by assignment by its employees or Agents agrees   to assign and hereby assigns to the other Party an undivided one-half right, title and interest in and to all Joint IP; and to facilitate   such assignment, the Party possessing such ownership agrees (i) to regularly ensure that its employees and consultants timely make   any appropriate assignments to it; and (ii) at the other PartyÕs reasonable request, to execute and have its employees and   consultants execute, as necessary, all assignments and any other documentation to perfect the undivided one-half right, title and   interest in and to the other Party of such Joint IP.",IP Ownership Assignment,Yes,Joint IP Ownership,Yes
"All right, title and interest in and to the Improved Conformis Background IP and KIB Product IP (""Joint IP"") shall be   owned jointly by the Parties.",Joint IP Ownership,Yes
"Subject to the limitations set forth in this Agreement, the Joint IP may be used freely by either Party or   its Affiliates and licensed to Third Parties by Conformis and its Affiliates, on the one hand, outside of the Buyer Field or by Stryker   and its Affiliates, on the other hand, within the Buyer Field, in each case, without the consent of, or duty to account to or notify, the   other Party, but, except with respect to external licenses of the Improved Conformis Background IP by Conformis or its Affiliates   to Third Parties, any external Third Party license shall be governed in accordance with the last sentence of Section 4.3(c) of the   APA.",Joint IP Ownership,Yes
"To the extent required and for the avoidance of doubt, Stryker hereby grants Conformis, and Conformis hereby   accepts, a non-exclusive license to the Stryker Background IP and Improved Stryker Background IP solely for purposes of   performing any obligations under this Agreement and the Distribution Agreement.",License Grant,Yes
