Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
CHASE AFFILIATE AGREEMENT,Document Name,CHASE AFFILIATE AGREEMENT
"Chase Bank USA, N.A. (?Chase?), you as an ""Affiliate"", Chase Bank USA, N.A. (?Chase?)",Parties,"Chase Bank USA, N.A., (""Chase""); You (""Affiliate"")"
"April 6, 2007",Agreement Date,04/06/2007
The term of this Agreement will commence on the date that the Affiliate Registration Form is approved by Chase and will end when terminated by either party.,Effective Date,(None entered),Expiration Date,perpetual
"This Agreement will be governed in all respects by the laws of the State of Delaware, including its conflict with law provisions.",Governing Law,Delaware
Affiliate agrees not to use the Licensed Materials in any manner that is disparaging or that otherwise portrays Chase in a negative light,Non-Disparagement,Yes
Chase Brand Add Chase as a negative Keyword to your Search strategy.,Non-Disparagement,Yes
"Either Affiliate or Chase may terminate this Agreement at any time, with or without cause, by giving the other party written or e-mail notice of termination.",Termination For Convenience,Yes
Chase may revoke AffiliateÕs license at any time.,Termination For Convenience,Yes
"Chase grants Affiliate a non-exclusive, nontransferable, revocable right to (a) access the Chase site through the links solely in accordance with the terms of this Agreement and (b) solely in connection with such links, to use ChaseÕs logos, trade names, trademarks, and similar identifying material relating to Chase (collectively, the ""Licensed Materials""), for the sole purpose of booking Chase products.",License Grant,Yes,Non-Transferable License,Yes
"Chase shall have no liability for any indirect, incidental, special or consequential damages or any loss of revenue or profits arising under or with respect to this Agreement or the Affiliate Program, regardless of whether Chase has been advised of the possibility of such damages.",Cap on Liability,Yes
"Further, ChaseÕs aggregate liability arising under or with respect to this Agreement or the Affiliate Program shall in no event exceed the total Commissions paid or payable by Chase to Affiliate under this   Agreement.",Cap on Liability,Yes
