Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
MARKETING AFFILIATE AGREEMENT,Document Name,MARKETING AFFILIATE AGREEMENT
"BIRCH FIRST GLOBAL INVESTMENTS INC., ""Company"", MOUNTÊKNOWLEDGEÊHOLDINGS INC., ""Marketing Affiliate"", ""MA"", ""Marketing Affiliate"", MOUNTÊKNOWLEDGEÊHOLDINGS INC., ""Company"", BIRCH FIRST GLOBAL INVESTMENTS INC.",Parties,"Birch First Global Investments Inc. (""Company""); Mount Kowledge Holdings Inc. (""Marketing Affiliate"", ""MA"")"
"May 8, 2014, 8th day of May 2014, May 8, 2014",Agreement Date,05/08/2014
This agreement shall begin upon the date of its execution by MA and acceptance in writing by Company,Effective Date,05/08/2014
This agreement shall begin upon the date of its execution by MA and acceptance in writing by Company and shall remain in effect until the end of the current calendar year and shall be automatically renewed for successive one (1) year periods unless otherwise terminated according to the cancellation or termination provisions contained in paragraph 18 of this Agreement.,Expiration Date,12/31/2014,Renewal Term,successive 1 year
This Agreement may be terminated by either party at the expiration of its term or any renewal term upon thirty (30) days written notice to the other party.,Notice Period To Terminate Renewal,30 days,Termination For Convenience,Yes
"This Agreement is accepted by Company in the State of Nevada and shall be governed by and construed in accordance with the laws thereof, which laws shall prevail in the event of any conflict.",Governing Law,Nevada
"Company shall not specify the business practices of MA, nor regulate the manner in which MA shall operate its business, provided that MA (a) conducts business in a manner that reflects favorably at all times on the Technology sold and the good name, goodwill and reputation of Company and its affiliates; (b) avoid deceptive, misleading or unethical practices that are or might be detrimental to Company and/or its Affiliates, the Technology or the public, including but not limited to disparagement of Company or the Technology",Non-Disparagement,Yes
"MA may not assign, sell, lease or otherwise transfer in whole or in party any of the rights granted pursuant to this Agreement without prior written approval of Company.",Anti-assignment,Yes
"In the event of a price and/or fee change for Technology, Company shall notify MA in writing ninety (90) days prior to the effective date of any such change.",Price Restrictions,Yes
INITIAL ORDER COMMITMENTÊÐÊMAÊcommitsÊtoÊpurchaseÊaÊminimumÊofÊ100 Units in aggregate within the Territory within the first six months of term of this Agreement.,Minimum Commitment,Yes
"Subject to the terms and conditions of this Agreement, Company hereby grants to MA the right to advertise, market and sell to corporate users, government agenciesÊandÊeducationalÊfacilitiesÊ(""Clients"")ÊforÊtheirÊownÊinternalÊlanguageÊlearning,Êsoft skills and communication purposes only, and not for remarketing or redistribution, and not for use in a data center environment for multiple users Clients, unless otherwise agreed to by Company prior in writing, the Technology listed in Schedule A of this Agreement, and to sell and/or bundle Technology Maintenance for the Technology and to provide first line technical support and implementation services for the Technology in the territories listed in Schedule A of this Agreement, providing MA meets the criteria required for delivering services according to Schedule A.",License Grant,Yes
"Company hereby grants MA, during the term of this Agreement, the right to use Company and/or Company trade names, trademarks or service marks on Technology or in advertising or promotion relating directly to these products.",License Grant,Yes
MA is authorized to resell Technology within the following territory according to the terms of the Agreement: Worldwide,License Grant,Yes
"MA shall keep accurate records of the sales of the Technology and Maintenance, including Client Registration Cards and shall make these records available for review by a representative of Company within ten (10) business days following the end of each month.",Audit Rights,Yes
"Company is not liable for incidental, special or consequential damages for any reason (including loss of data or other business or property damage), even if foreseeable or if MA or Customer has advised of such a claim.",Cap on Liability,Yes
Company's liability shall not exceed the fees that MA has paid under this Agreement.,Cap on Liability,Yes
"COMPANYÕSÊSOLEÊANDÊEXCLUSIVEÊLIABILITYÊFORÊTHE WARRANTY PROVIDED IN SUBPARAGRAH (A) HEREOF SHALL BE TO CORRECT THE TECHNOLOGY TO OPERATE IN SUBSTANTIAL ACCORDANCE WITH ITS THEN CURRENT SPECIFICATIONS OR REPLACE, AT ITS OPTION, THE TECHNOLOGY NOT IN COMPLIANCE WITHÊCOMPANYÕSÊANDÊCOMPANYÕÊPUBLISHEDÊSPECIFICATIONS REGARDING THE TECHNOLOGY; PROVIDED, ANY CLAIM FOR BREACH OF WARRANTY UNDER SUBPARAGRAPH (A) HEREOF MUST BE MADE IN WRITING WITHIN (90) DAYS FROM DATE OF SHIPMENT",Cap on Liability,Yes
"INÊNOÊEVENTÊSHALLÊCOMPANYÊBEÊLIABLEÊTOÊ""MA"",ÊITS CLIENTS, OR ANY THIRD PARTY FOR ANY TORT OR CONTRACT DAMAGES OR INDIRECT, SPECIAL, GENERAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES, INCLUDING BUT NOT LIMITED TO, LOSS OF PROFITS OR ANTICIPATED PROFITS AND LOSS OF GOODWILL, ARISING IN CONNECTION WITH THE USE (OR INABILITY TO USE) OR DISTRIBUTION OF THE TECHNOLOGY FOR ANY PURPOSE WHATSOEVER.",Cap on Liability,Yes
