Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
COMMERCIALIZATION AND LICENSE AGREEMENT,Document Name,COMMERCIALIZATION AND LICENSE AGREEMENT
"Vyera Pharmaceuticals, LLC, ""Vyera"", CytoDyn Inc., ""CytoDyn"", CytoDyn and Vyera are sometimes referred to herein individually as a ""Party"" and collectively as the ""Parties."", ""CytoDyn"", CytoDyn Inc., ""Vyera"", Vyera Pharmaceuticals, LLC",Parties,"Vyera Pharmaceuticals, LLC ('Vyera""); CytoDyn Inc. (""CytoDyn""); CytoDyn and Vyera (""Party"" and collectively as the ""Parties."")"
"December 17, 2019",Agreement Date,12/17/2019,Effective Date,12/17/2019
"The term of this Agreement (""Term"") shall commence upon the Effective Date and, unless earlier terminated pursuant to this Article 11, shall expire on the last day of the Royalty Term.",Expiration Date,(None entered)
"This Agreement and all disputes arising out of or related to this Agreement or any breach hereof shall be governed by and construed in accordance with the laws of the State of New York, without giving effect to any choice of law principles that would result in the application of the laws of any other jurisdiction.",Governing Law,New York
"Except as expressly required under this Agreement, Vyera hereby covenants not to Develop, Manufacture, Commercialize or otherwise exploit a Competitive Product in the Territory during the Royalty Term, including by means of an Affiliate.",Non-Compete,Yes
"CytoDyn hereby grants to Vyera, and Vyera hereby accepts, an exclusive royalty-bearing license (or sublicense, as the case may be), under the CytoDyn Patents, the CytoDyn Know-How and the Inventions (if any) solely to Commercialize, use, have used, offer for sale and sell Licensed Products in the Field in the Territory.",Exclusivity,Yes,License Grant,Yes
"In the event that such assignment would be unlawful, Vyera shall, and hereby does, grant to CytoDyn an exclusive, irrevocable, worldwide, sublicensable (including through multiple tiers), transferrable (without consent) royalty free license to any and all right, title and/or interest that it may have in or to an Invention.",Exclusivity,Yes,License Grant,Yes,Irrevocable or Perpetual License,Yes
"Without limiting the foregoing, Vyera shall have the exclusive right and responsibility throughout the Territory for the following: (a) receiving and accepting orders for the Licensed Product from customers_ (b) distributing the Licensed Product to customers_ (c) controlling invoicing and collection of accounts receivable for Licensed Product sales_ (d) recording Licensed Product sales in its books of account for sales (in accordance with VyeraÕs accounting standards consistently applied (currently GAAP))_ (e) subject to Section 5.5, determining pricing for the Licensed Product and all aspects of the promotion (including promotional materials) to be used in Commercializing Licensed Products_ (f) negotiating with Third Parties, including without limitation, payors, pharmacy benefit managers and distributors, with respect to sales and distribution of Licensed Product_ and (g) paying all rebates, chargebacks and other amounts due to customers in respect of Licensed Products (it being understood that all such amounts shall be deducted in calculating Net Sales).",Exclusivity,Yes
Vyera shall purchase all of its requirements for supply of Licensed Product exclusively from CytoDyn in accordance with the terms and conditions of the Supply Agreement.,Exclusivity,Yes
"Vyera shall have the right to terminate this Agreement in its entirety: (a) on or after the second (2nd) anniversary of the Effective Date, upon written notice to CytoDyn in the event the approval by the FDA of the BLA for the Licensed Product for the Manufacture and sale of the Licensed Product in the U.S. for the Initial Indication has not been received by such second (2nd) anniversary_ provided, however, that in the event of a delay that would reasonably be expected to result in the receipt of BLA approval on or after such second (2nd) anniversary, then Vyera may terminate this Agreement pursuant to this Section 11.2(a) prior to the second (2nd) anniversary upon [***] notice to CytoDyn_ Source: CYTODYN INC., 10-Q, 1/9/2020(b) following the occurrence of a Commercial Failure, upon [***] written notice to CytoDyn_ provided, however, that VyeraÕs right to terminate this Agreement pursuant to this Section 11.2(b) shall only be exercisable during the [***] period following the date when sales data with respect to a Commercial Failure becomes available to Vyera_ and (c) at any time following the second (2nd) anniversary of the First Commercial Sale of the Licensed Product, for any reason or no reason, upon one hundred eighty (180) daysÕ written notice to CytoDyn.",Termination For Convenience,Yes
"Vyera shall have the right to terminate this Agreement in its entirety: at any time following the second (2nd) anniversary of the First Commercial Sale of the Licensed Product, for any reason or no reason, upon one hundred eighty (180) daysÕ written notice to CytoDyn.",Termination For Convenience,Yes
"In the event that Vyera experiences a Change of Control with a Third Party that is actively engaged in the Development, Manufacture or Commercialization of a Competitive Product, then, Vyera shall either: (a) within ninety (90) days after the closing of such Change of Control, enter into a binding written agreement to sell, transfer, assign or divest all of VyeraÕs and/or its AffiliateÕs rights in and to such Competitive Product to a non-Affiliate Third Party and consummate such sale, transfer, assignment or divestiture of said rights not later than ninety (90) days following the date of the binding Agreement; or (b) within six (6) months after the closing of such Change of Control, terminate any and all Development, Manufacturing, Commercialization and/or other exploitation of such Competitive Product; or (c) terminate this Agreement in accordance with Section 11.2(c).",Change of Control,Yes
