Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
CONTENT LICENSING AGREEMENT,Document Name,CONTENT LICENSING AGREEMENT
"Data Call Technologies, Inc., Licensor, PLAN_B MEDIA AG, ""plan_b"", PLAN_B MEDIA AG, Licensor, Data Call Technologies, Inc.",Parties,"Data Call Technologies, Inc (""Licensor""); PLAN_B MEDIA AG (""plan_b"")"
03/24/06          ,Agreement Date,03/24/2006
Contract  start:  04-01-06,Effective Date,04/01/2006
"Unless  otherwise  stated  in  the  Appendix  the  term of this letter           Agreement  shall  continue  for  twenty-four  (24)  months  with  the           effective  date  unless  terminated sooner or extended pursuant to the           terms hereof (""Initial Term""), Contract  end:  04-01-08, Unless  otherwise  stated  in  the  Appendix  the  term of this letter           Agreement  shall  continue  for  twenty-four  (24)  months  with  the           effective  date  unless  terminated sooner or extended pursuant to the           terms hereof (""Initial Term"")",Expiration Date,04/01/2008
The Initial Term shall automatically be           extended  for  an additional period of half a year unless either party           provides  the  other party with written notification of termination of           the  letter  Agreement  at  least 60 days prior to end of such period.,Renewal Term,0.5 year,Notice Period To Terminate Renewal,60 days
This Agreement  shall  be  governed  and  construed in accordance with           the  laws  of  the  United  States of America.,Governing Law,United States
"Neither  Party  shall  assign  or  transfer  to  any  third  party,           without  the  prior written consent of the other Party, this Agreement           or  any  rights  granted  herein.",Anti-assignment,Yes
"plan_b  shall  pay  LICENSOR  a  share of its revenues as set forth in           APPENDIX  2  (""REVENUES"").",Revenue/Profit Sharing,Yes
"LICENSOR  grants  plan_b  for  the  term  of  this Agreement the right           to  produce,  market  and  distribute  Content  to  End  Users (in the           territory  specified  in appendix 2) through its own and its partner's           platform.",License Grant,Yes
"In the  alternative,  if  LICENSOR  is  not  the  sole  and  exclusive           owner  of  all  of  the  foregoing intellectual property rights to the           Content,  LICENSOR  has  been  granted  by  the  owner  or  rightful           sub-licensee  of the intellectual property of the Content the right to           grant  the rights provided by LICENSOR to plan_b under this Agreement.",License Grant,Yes
"LICENSOR  grants  to  plan_b  a  license  to produce, use, distribute,           promote  and  publicly  display  the  Content  in any possible way for           distribution and marketing purposes.",License Grant,Yes
"Additionally, Licensee shall have           the  right  to  use  the trademarks, trade names, or logos relating to           Content  (the  ""TRADEMARKS"").",License Grant,Yes
"After termination  of  this  contract,  there  shall  be  a  sell-off           period  (defined  in  APPENDIX 2) following the date of termination of           this  contract.",Post-termination Services,Yes
Sell-off  period:  3  months  after  termination,Post-termination Services,Yes
LICENSOR  shall  have  the  right  to  use  a  certified  public           accountant  to  inspect and audit all the related records and books of           plan_b to ensure plan_b's compliance with the terms of this Agreement.,Audit Rights,Yes
Such audits           shall  normally  be conducted during normal business hours at plan_b's           premises.,Audit Rights,Yes
LICENSOR  warrants  that  Content  does  not  infringe an intellectual           property  right  enforceable in the agreed country of delivery or use.           LICENSOR indemnifies and holds harmless plan_b against all claims that           Content  infringes any of the above mentioned rights of a third Party.           LICENSOR  shall  pay  all damages awarded in a trial to a third Party.,Uncapped Liability,Yes
