Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
CO-BRANDING AND SERVICES AGREEMENT,Document Name,CO-BRANDING AND SERVICES AGREEMENT
"RSL COM PrimeCall, Inc., ""PrimeCall"", deltathree.com, Inc. (formerly known as Delta Three, Inc.), ""DeltaThree"", deltathree.com, Inc. (formerly known as Delta Three, Inc.), ""PrimeCall"", RSL COM PrimeCall, Inc.",Parties,"RSL COM PrimeCall, Inc. (""PrimeCall""); deltathree.com, Inc. (formerly known as Delta Three, Inc.) (""DeltaThree"")"
"October 1, 1999",Agreement Date,10/01/1999,Effective Date,10/01/1999
"The term of this Agreement shall be effective as of the date first stated above and shall continue for a term of three (3) years, unless terminated earlier in accordance with the provisions of this Agreement (the ""Term""); provided, however, that PrimeCall may elect to terminate this Agreement, upon thirty (30) days' written notice, at any time from and after the time that collectively RSL Communications, Ltd. and/or its Affiliates holds less than fifty percent (50%) of the voting control of DeltaThree's outstanding shares.",Expiration Date,10/01/2002,Change of Control,Yes
"This Agreement shall be governed by, and construed in accordance with, the laws of the State of New York, without giving effect to the conflict of laws principles thereof.",Governing Law,New York
This Agreement may not be assigned by DeltaThree without the prior written consent of PrimeCall.,Anti-assignment,Yes
"Except as provided in the preceding sentence, this Agreement may not be assigned by PrimeCall without the prior written consent of DeltaThree.",Anti-assignment,Yes
"Throughout the Term of this Agreement, the parties hereby agree to grant to each other a limited license to use each other's proprietary marks solely in connection with the sale, distribution, marketing and promotion of each party's calling cards by the other party.",License Grant,Yes
"IN NO EVENT SHALL PRIMECALL BE LIABLE TO DELTATHREE FOR ANY SPECIAL, INCIDENTIAL OR CONSEQUENTIAL DAMAGES, INCLUDING, WITHOUT LIMITATION, LOSS OF PROFITS, REVENUES OR DATA WHETHER BASED ON BREACH OF CONTRACT, TORT OR OTHERWISE, WHETHER OR NOT DELTATHREE HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE.",Cap on Liability,Yes
"THE LIABILITY OF PRIMECALL FOR DAMAGES OR ALLEGED DAMAGES HEREUNDER, WHETHER IN CONTRACT, TORT OR ANY OTHER LEGAL THEORY, IS LIMITED TO, AND WILL NOT EXCEED, DELTATHREE'S DIRECT DAMAGES.",Cap on Liability,Yes
"IN NO EVENT SHALL DELTATHREE BE LIABLE TO PRIMECALL FOR ANY SPECIAL, INCIDENTIAL OR CONSEQUENTIAL DAMAGES, INCLUDING, WITHOUT LIMITATION, LOSS OF PROFITS, REVENUES OR DATA WHETHER BASED ON BREACH OF CONTRACT, TORT OR OTHERWISE, WHETHER OR NOT PRIMECALL HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE.",Cap on Liability,Yes
"THE LIABILITY OF DELTATHREE FOR DAMAGES OR ALLEGED DAMAGES HEREUNDER, WHETHER IN CONTRACT, TORT OR ANY OTHER LEGAL THEORY, IS LIMITED TO, AND WILL NOT EXCEED, PRIMECALL'S DIRECT DAMAGES.",Cap on Liability,Yes
