Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer,Label 4,Label 4-Answer,Label 5,Label 5-Answer,Label 6,Label 6-Answer
NETWORK AFFILIATE AGREEMENT,Document Name,NETWORK AFFILIATE AGREEMENT
"National CineMedia,  LLC, ""NCM"", Digital Cinema Destinations Corp., ""Network Affiliate""Êand with  NCM, each a ""Party""Êand collectively, the ""Parties"", Digital Cinema Destinations Corp., ""NCM"", National CineMedia,  LLC",Parties,"National CineMedia, LLC (""NCM""); Digital Cinema Destinations Corp. (""Network Affiliate"" and with NCM, ""Party"" and collectively, the ""Parties"")"
"14th day of March, 2011",Agreement Date,03/14/2011
"On the Effective Date (the date on which NCM first provides the Service to the Theatres) NCM  shall provide all aspects of the Service to Network Affiliate and Network Affiliate shall exhibit and otherwise participate in such aspects of the  Service, on the terms and conditions set forth herein., The Parties contemplate that the Effective Date will be on or about __________________________., On the Effective Date (the date on which NCM first provides the Service to the Theatres) NCM  shall provide all aspects of the Service to Network Affiliate and Network Affiliate shall exhibit and otherwise participate in such aspects of the  Service, on the terms and conditions set forth herein.",Effective Date,(None entered)
"Unless earlier terminated as provided below, the term of this Agreement shall begin on the Effective Date and shall  continue for a period of five (5) years from the Effective Date (the ""Initial Term"") after which this Agreement may be extended on mutual agreement  of the parties (a ""Renewal Term,""Êand together with the Initial Term, the ""Term"").",Expiration Date,[]/[]/2016
This Agreement shall be binding on the Parties as of the date hereof and is to be construed in accordance  with and governed by the internal laws of the State of Delaware without giving effect to any choice of law rule that would cause the application of  the laws of any jurisdiction other than the internal laws of the State of Delaware to the rights and duties of the Parties.,Governing Law,Delaware
"During the Term, except as otherwise provided in this Agreement, Network Affiliate and its affiliates agree not to engage or  participate in any business, hold equity interests, directly or indirectly, in another entity, whether currently existing or hereafter created, or  participate in any other joint venture that competes or would compete with any business that NCM is authorized to conduct in the Territory  pursuant to this Agreement, whether or not NCM is actually conducting such business in a particular portion of the Territory.",Non-Compete,Yes
"During the Term, except as expressly provided in this Agreement, including Section  3.6 (Policy Trailer; Branded Slots); those provisions of Part A of Exhibit A that permit Network Affiliate to engage in certain Lobby Promotions;  Section 3.11 (Grand Openings, Employee Uniforms), collectively, the ""Exclusivity Exceptions"", Network Affiliate shall subscribe for and NCM shall  be the exclusive provider to the theatres of the services specifically set forth in the definition of the ""Service.""",Exclusivity,Yes
"Except as permitted by the  Exclusivity Exceptions, during the Term, Network Affiliate shall neither engage nor permit a third party (excluding third party designees of NCM as  provided hereunder) to provide, or itself provide, to any of Network AffiliateÕs theatres any of the services specifically set forth in the definition of  Service.",Exclusivity,Yes
"Subject only to the Exclusivity Exceptions, NCM shall be Network AffiliateÕs exclusive representative with respect to the procurement of  Inventory (including without limitation all on-screen advertising) for the Advertising Services.",Exclusivity,Yes
"During the Term and for a period of twelve (12) months thereafter Network Affiliate will not, without NCMÕs prior written  consent, either alone or in concert with others directly or indirectly solicit, entice, induce, or encourage: (i) any employee, contractor or agent of  NCM to terminate his or her employment, contractor or agency relationship with NCM, (ii) any client of NCM to discontinue using NCMÕs services  or products, (iii) any client of NCM to refer prospective clients to one or more competitors of NCM or to discontinue referring prospective clients  to NCM, (iv) any NCM employee, client, or prospective client to breach any agreement with NCM, or (v) any existing or proposed arrangement or  other community or institutional affiliation to discontinue the affiliation or relationship with NCM.",No-Solicit of Customers,Yes
"During the Term and for a period of twelve (12) months thereafter Network Affiliate will not, without NCMÕs prior written consent, either alone or in concert with others directly or indirectly solicit, entice, induce, or encourage: (ii) any client of NCM to discontinue using NCMÕs services or products, (iii) any client of NCM to refer prospective clients to one or more competitors of NCM or to discontinue referring prospective clients to NCM, (iv) any NCM employee, client, or prospective client to breach any agreement with NCM, or (v) any existing or proposed arrangement or other community or institutional affiliation to discontinue the affiliation or relationship with NCM.",No-Solicit of Customers,Yes
"During the Term and for a period of twelve (12) months thereafter Network Affiliate will not, without NCMÕs prior written  consent, either alone or in concert with others directly or indirectly solicit, entice, induce, or encourage: (i) any employee, contractor or agent of  NCM to terminate his or her employment, contractor or agency relationship with NCM,",No-Solicit of Employees,Yes
"Network Affiliate shall not engage in any conduct which  may place NCM or any NCM Mark in a negative light or context, and shall not represent that it owns or has any interest in any NCM Mark other  than as expressly granted herein, nor shall it contest or assist others in contesting the title or any rights of NCM (or any other owner) in and to any  NCM Mark.",Non-Disparagement,Yes,Covenant Not To Sue,Yes
"NCM shall not engage in any conduct  which may place Network Affiliate or any Network Affiliate Mark in a negative light or context, and shall not represent that it owns or has any  interest in any Network Affiliate Mark other than as expressly granted herein, nor shall it contest or assist others in contesting the title or any  rights of Network Affiliate (or any other owner) in and to any Network Affiliate Mark.",Non-Disparagement,Yes,Covenant Not To Sue,Yes
"Network Affiliate may not assign or transfer, by operation of law or otherwise, any of its rights under this  Agreement or delegate any of its duties under this Agreement to any third party without NCMÕs prior written consent, which consent shall not be  unreasonably withheld, conditioned or delayed",Change of Control,Yes
"For the purposes of this Agreement, any change of control, merger, consolidation, or acquisition  of all or substantially all of the assets of Network Affiliate (collectively, a ""Change of Control"") shall be deemed an assignment.",Change of Control,Yes
"Network Affiliate may not assign or transfer, by operation of law or otherwise, any of its rights under this  Agreement or delegate any of its duties under this Agreement to any third party without NCMÕs prior written consent, which consent shall not be  unreasonably withheld, conditioned or delayed.",Anti-assignment,Yes
This Agreement  shall not be assignable by either party unless the assignee expressly assumes in writing the obligations of the assignor hereunder.,Anti-assignment,Yes
Any attempted  assignment in violation of this section shall be void.,Anti-assignment,Yes
