Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
CO-BRANDING AGREEMENT,Document Name,CO-BRANDING AGREEMENT
"About.com, Inc., ""About"", ebix.com, Inc., ""ebix"", ebix.com, Inc., ""About"", About.com, Inc.",Parties,"About.com, Inc. (""About""); ebix.com, Inc. (""ebix"")"
"19th day of January, 2001",Agreement Date,01/19/2001,Effective Date,01/19/2001
"The term of this Agreement (the ""Term"") shall commence on the date hereof       (the ""Effective Date"") and shall expire upon delivery of [**] to ebix,       but in no way shall this Agreement extend any later than thirty (30)       months from the Effective Date regardless of the number Filled       Application Forms delivered to ebix.",Expiration Date,07/19/2003
"This Agreement will be governed by the laws of the state where a suit is properly filed under the terms of this paragraph, being either Illinois or New York, and without giving effect to conflict of law principles.",Governing Law,Illinois; New York
"The Insurance Center shall be hosted solely by ebix and contained in an About Wrapper and ebix shall, during the Term, provide site maintenance services relative to the Insurance Center substantially as provided for the ebix Site from time to time, subject to the uptime requirements as set forth in Section 13.4  [TERMINATION AND SURVIVAL].",Exclusivity,Yes
"During the Term, ebix shall be the exclusive integrated online insurance provider in the Channels and Guide Sites listed in Section 3.1  [DEVELOPMENT, OPERATION AND ADMINISTRATIO...] above. [**]",Exclusivity,Yes
"eBix may terminate this Agreement, [**] upon [**] to About_ provided,       however, that the termination is no earlier than [**] of the Effective       Date of this Agreement.",Termination For Convenience,Yes
"Either party may terminate immediately upon written notice if the other       party (i) ceases to function as a going concern or to conduct operations       in the normal course of business_ (ii) has a petition filed against it       under any state or federal bankruptcy law which petition has not been       dismissed or set aside within ninety (90) days of its filing, or if (a)       About sells all or substantially all of the assets of such party or any       event or series of event whereby any entity acquires beneficial ownership       of the capital stock of such party representing fifty percent (50%) of the       voting stock of such party provided however, that the acquisition of About       by Primedia shall not be grounds for the termination of this Agreement_ or       (b) ebix becomes acquired by, merged into or is under the control of any       of the following parties, About may terminate this Agreement immediately       upon by providing ebix written notice: AOL_ Yahoo_ Lycos/Terra_ NBC_ CBS_       Looksmart_ InfoSpace_ CMGI_ AltaVista_ Disney_ Microsoft_ CNET_       Excite@Home_ AskJeeves_ GOTO_ Doubleclick_ or Lifeminders.",Change of Control,Yes
"Neither party may assign the Agreement without the written consent of the other party, which consent shall not be unreasonably withheld or delayed, except that either party may assign the Agreement without obtaining the consent of the other party to an affiliate or successor by way of purchase, merger, consolidation or similar transaction, subject to the requirement that the Agreement shall be binding and enforceable against any successor or assign.",Anti-assignment,Yes
"eBix shall own and retain all right, title and interest in and to any       About Customer data generated on the Insurance Center, and nothing in this       Agreement shall confer in About any right, title or interest in ** Confidential treatment has been requested for portions of this document.    The redacted material has been filed with the commission pursuant to an    application for confidential treatment.                                        6       the About Customer data (except to the extent that it is duplicative of       About User data and as hereinafter provided).",IP Ownership Assignment,Yes
"eBix shall own and retain all right, title and interest in and to any       About Customer data generated on the Insurance Center, and nothing in this       Agreement shall confer in About any right, title or interest in the About Customer data (except to the extent that it is duplicative of       About User data and as hereinafter provided).",IP Ownership Assignment,Yes
"About shall own and retain all right, title and interest in and to any       About User data generated within the About Network (other than the       Insurance Center), and nothing in this Agreement shall confer in eBix any       right, title or interest in or to the About User Data (other than the       Insurance Center and except to the extent that it is duplicative of About       Customer Data).",IP Ownership Assignment,Yes
"Upon request by About, ebix       shall provide About with About Customer Data in the aggregated form, which       aggregated form shall be jointly owned by ebix and About.",Joint IP Ownership,Yes
"Subject to the terms and conditions of this Agreement, ebix hereby grants       to About a limited, non-transferable, fully-paid, worldwide, non-exclusive       right and license to use, reproduce, adapt (but only to pursuant to its       rights under this Agreement), incorporate, integrate and distribute the       ebix Marks and ebix Content, during the Term, solely as necessary to       perform its obligations under this Agreement.",License Grant,Yes,Non-Transferable License,Yes
"About shall have the right to examine, or to have examined by a representative of About, ebix's books and records to verify the accuracy of payments made to About for a maximum period of last 6 months preceding a written notice of About, pursuant to this Agreement.",Audit Rights,Yes
"About shall provide ebix with at least thirty (30) days' prior notice of an audit and such audit shall be conducted at ebix's offices for a maximum period of two business days, during regular business hours, subject to ebix's cooperation.",Audit Rights,Yes
"NEITHER PARTY SHALL HAVE ANY LIABILITY FOR ANY INDIRECT, SPECIAL, PUNITIVE OR CONSEQUENTIAL DAMAGES INCLUDING, WITHOUT THE LIMITATION, LOSS OF PROFIT OR BUSINESS OPPORTUNITIES, WHETHER OR NOT THE PARTY WAS ADVISED OF THE POSSIBILTY OF SUCH.",Cap on Liability,Yes
