Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
CO-BRANDING AGREEMENT,Document Name,CO-BRANDING AGREEMENT
"WOMEN.COM NETWORKS, INC., ""Women.com"", EDIETS.COM, INC., ""eDiets"", EDIETS.COM, INC., ""Women.com"", WOMEN.COM NETWORKS, INC.",Parties,"WOMEN.COM NETWORKS, INC. (""Women.com""); EDIETS.COM, INC. (""eDiets"")"
"May 22, 2000",Agreement Date,05/22/2000,Effective Date,05/22/2000
"This Agreement will become effective as of the Effective Date and, unless sooner terminated pursuant to Sections 3.1, shall remain effective for two (2) years from and after the Effective Date (the ""Initial Term"").",Expiration Date,05/22/2002
"This agreement shall automatically renew for additional successive terms of twelve (12) months each at the end of the Initial Term (""Renewal Terms""), unless either party notifies the other in writing at least sixty (60) days prior to the end of the Initial Term.",Renewal Term,successive 1 year,Notice Period To Terminate Renewal,60 days
"This Agreement shall be interpreted and enforced in accordance with the laws of the State of California as applied to agreements made, entered into and performed entirely in California by California residents, notwithstanding the actual residence of the parties, without giving effect to any choice of laws of California that would require the application of the laws of a state other than California.",Governing Law,California
"During the Term, (a) Women.com will not buy, sell, display, distribute advertising from (including, but not limited to, banner ads, buttons, badges, text links, hyperlinks or editorial mentions) or otherwise promote a Competitive Company on any page of the Diet Center_ (b) eDiets will be the exclusive third party provider of content and interactive tools for diets and diet counseling to Women.com within the Diet Center_ (c) Women.com will not enter into a relationship with a Competitive Company that involves any of the following_ (i) custom developed mini or micro web sites_ (ii) content integration_ (iii) discounts offered only to Women.com members on the Member Central page of the Women.com Sites_ (iv) editorial endorsement (such as Source: EDIETS COM INC, 10QSB, 10/30/2000""Brought to you by...."") or fixed placement of 468x60 (top) and 125x365 (side) banners within eight (8) of the Content Features selected by eDiets_ and (v) anchor sponsorship in any multi-sponsor Women.com promotion.",Exclusivity,Yes
"During the Term, (a) Women.com will not buy, sell, display, distribute advertising from (including, but not limited to, banner ads, buttons, badges, text links, hyperlinks or editorial mentions) or otherwise promote a Competitive Company on any page of the Diet Center_ (b) eDiets will be the exclusive third party provider of content and interactive tools for diets and diet counseling to Women.com within the Diet Center_ (c) Women.com will not enter into a relationship with a Competitive Company that involves any of the following_ (i) custom developed mini or micro web sites_ (ii) content integration_ (iii) discounts offered only to Women.com members on the Member Central page of the Women.com Sites_ (iv) editorial endorsement (such as ""Brought to you by...."") or fixed placement of 468x60 (top) and 125x365 (side) banners within eight (8) of the Content Features selected by eDiets_ and (v) anchor sponsorship in any multi-sponsor Women.com promotion.",Exclusivity,Yes
"Notwithstanding the foregoing, Women.com shall be entitled to (aa) provide mini and micro web sites and Women.com promotions and sponsorships to Jenny Craig_ (bb) sell, display, or distribute advertisements, including banner advertisements, newsletter placements, internet radio, commerce placements and market research, or otherwise promote Competitive Companies on pages other than the Gateway Page of the Diet Center.",Exclusivity,Yes
"For purposes of this Agreement, ""Competitive Company"" means any company that eDiets reasonably presents as, and Women.com reasonably agrees is, a direct competitor to eDiets by distributing on-line content principally relating to diets and diet counseling, including, but not limited to, Weight Watchers, Jenny Craig, NutriSystem, Nutrio, Asimba, DietSmart and uMagic.",Exclusivity,Yes
"During the Term, eDiets will not buy, sell, display or distribute advertising from (including, but not limited to, banner ads, buttons, badges, text links, hyperlinks or editorial mentions) or otherwise promote any Women.com Compettive Company on any page of the eDiets Site that is within two clicks from the Gateway Page of the Diet Center.",Exclusivity,Yes
"For purposes of this Agreement, ""Women.com Competitive Company"" means any company that Women.com reasonably presents as, and eDiets reasonably agrees is, a direct competitor to Women.com by providing an on-line portal for women, including, but not limited to, Oxygen Media and iVillage,",Exclusivity,Yes
"Women.com hereby represents and warrants to and for the benefit of eDiets and its Affiliates that:               (e) that the Women.com Content, except to the extent of any eDiets Content incorporated therein, used in connection with this Agreement does not and will not violate or infringe the rights of any person or entity, including, without limitation, rights of privacy or publicity, contractual rights, copyright, trademark, or other intellectual property rights;               (f) that publication of the Women.com Content will not constitute defamation, product disparagement or trade libel;                                        11               (g) that the use of the Women.com Marks by eDiets as permitted by this Agreement will not infringe or violate the trademark, service mark or trade dress rights of any person or entity.",Non-Disparagement,Yes
"Women.com hereby represents and warrants to and for the benefit of eDiets and its Affiliates that:               (e) that the Women.com Content, except to the extent of any eDiets Content incorporated therein, used in connection with this Agreement does not and will not violate or infringe the rights of any person or entity, including, without limitation, rights of privacy or publicity, contractual rights, copyright, trademark, or other intellectual property rights;               (f) that publication of the Women.com Content will not constitute defamation, product disparagement or trade libel;               (g) that the use of the Women.com Marks by eDiets as permitted by this Agreement will not infringe or violate the trademark, service mark or trade dress rights of any person or entity.",Non-Disparagement,Yes
"During the Term, Women.com agrees to give eDiets the right of first refusal to participate in all diet and diet-counseling related promotion opportunities created or otherwise made available by Women.com on channels or sub-channels created after the Effective Date of this Agreement, including sponsorships, anchor placements and any other content integration opportunities (""Diet Promos"").",ROFR/ROFO/ROFN,Yes
"If Women.com proposes to create and make available Diet Promos after the Effective Date, it shall give eDiets written notice of its intention, describing the terms and conditions of participation in the Diet Promos.",ROFR/ROFO/ROFN,Yes
eDiets shall have fifteen (15) days from the giving of such notice to agree to participate in the applicable Diet Promo upon the terms and conditions specified in the notice by giving written notice of its agreement to Women.com.,ROFR/ROFO/ROFN,Yes
