Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer,Label 4,Label 4-Answer,Label 5,Label 5-Answer,Label 6,Label 6-Answer
LICENSE AND RESELLER AGREEMENT,Document Name,LICENSE AND RESELLER AGREEMENT
"EHAVE, INC., ""Ehave"", COMPANION HEALTHCARE TECHNOLOGIES CORP, ""CHT"", COMPANION HEALTHCARE TECHNOLOGIES CORP, ""Ehave"", EHAVE, INC.",Parties,"EHAVE, INC. (""Ehave""); COMPANION HEALTHCARE TECHNOLOGIES CORP (""CHT"")"
"October 30, 2018",Agreement Date,10/30/2018,Effective Date,10/30/2018
"This term of this Agreement and the rights and obligations of the Parties hereto shall commence as of the Effective Date and shall continue in perpetuity (the ""Term""), unless terminated earlier in accordance with the provisions contained herein.",Expiration Date,Perpetual
"This Agreement shall be governed by, and construed and enforced in accordance with, the laws in force in the Province of Ontario (excluding any conflict of laws rule or principle which might refer such construction to the laws of another jurisdiction).",Governing Law,"Ontario, Canada"
"For so long as the appointment set out in Section 2(a) is exclusive, CHT shall not enter into an agreement (a ""Competitive Transaction"") with any other Person related to the license, sub-license, sale, resale or provide service, solutions, goods or products, that are substantially similar to or competitive with the Ehave Companion Solution.",Non-Compete,Yes
"Subject to Section 2(e), the foregoing appointment is exclusive such that Ehave shall not appoint any other Person to, nor may Ehave itself, sell or resell the use of the Ehave Companion Solution within the Field of Use anywhere in the Territory.",Exclusivity,Yes
"Subject to Section 2(e), the grant set out in Clause 2(b)(i) is exclusive such that Ehave shall not license any other Person to, nor may Ehave itself, license, sub-license the use of, or provide services similar to, the Ehave Companion Solution within the Field of Use anywhere in the Territory.",Exclusivity,Yes,Non-Transferable License,Yes
"Notwithstanding anything to the contrary contained herein, the exclusive appointment and license set out in Sections 2(a) and 2(b) shall become non-exclusive if: (i) at any time during the Term hereof, CHT breaches Section 2(d) as determined by arbitration in accordance with Section 19(c) or by a final non-appealable judgment of a court of competent jurisdiction; or (ii) at any time after November 1, 2010 CHT fails to achieve annual revenues of $500,000.",Exclusivity,Yes,Minimum Commitment,Yes
"Notwithstanding anything to the contrary in this Agreement, neither CHT nor CHT personnel shall:",Non-Disparagement,Yes
"engage in any unfair, competitive, misleading or deceptive practices respecting Ehave, Ehave's Trade-marks or the Ehave Companion Solution, including any product disparagement or ""bait-and-switch"" practices.",Non-Disparagement,Yes
"In addition, CHT may terminate this Agreement and the rights granted hereunder, in whole or in part, and without prejudice to enforcement of any other legal right or remedy (including any express termination right set forth elsewhere in this Agreement), at any time without cause, by providing at least thirty (30) Business Days prior written notice to Ehave, but subject to payment of a termination fee equal to an amount set out in Schedule 6.",Termination For Convenience,Yes
"Subject to the terms and conditions of this Agreement commencing as of the Effective Date and for the duration of the Term and any Transition-out Period, Ehave hereby grants to CHT a non-transferable (except as permitted under Section 20(f)), right to: (i) sub-license the use of the Ehave Companion Solution within the Field of Use in the Territory to End Users and their respective Authorized Users, including in operation or by interfacing with other software, hardware, systems, networks and services, in accordance with and subject to the provisions of CHTÕs Subscription Agreement; and (ii) use the Ehave Companion Solution to support its licensed End Users.",Change of Control,Yes,License Grant,Yes,Non-Transferable License,Yes
"The parties acknowledge and agree that a ""Release Condition"" for purposes of the Escrow Agreement shall be deemed to mean any one or more of the following listed events (in addition to any other event specified as a release condition under the Escrow Agreement): (i) Ehave makes a general assignment for the benefit of creditors; (ii) Ehave voluntarily institutes any bankruptcy, insolvency, reorganization, moratorium, arrangement, readjustment or debt, dissolution, liquidation or similar proceeding relating to it under the laws of any jurisdiction, or any such proceeding is instituted against Ehave and is not dismissed within sixty (60) Business Days; or any judgment, writ, warrant or attachment or execution of similar process is issued or levied against a substantial part of EhaveÕs property and remains unsatisfied for sixty (60) Business Days; or Ehave applies for or consents to the appointment of any receiver, trustee or similar officer for it or for all or any substantial part of its property; or such receiver, trustee or similar officer is appointed without the consent of Ehave; (iii) Ehave consents to the filing of a petition of bankruptcy against it; (iv) a petition of bankruptcy is filed against Ehave which is not discharged within sixty (60) days; (v) Ehave becomes or is adjudicated by a court of competent jurisdiction as being bankrupt or insolvent or admits in writing its inability to pay its debts as they mature; Ehave ceases doing business as a going concern; (vi) Ehave undergoes a change of control or is a party to a merger or amalgamation;",Change of Control,Yes
