Clause,Label 1,Label 1-Answer
FRANCHISE DEVELOPMENT AGREEMENT (Non-exclusive/Exclusive),Document Name,FRANCHISE DEVELOPMENT AGREEMENT (Non-exclusive/Exclusive)
"EL POLLO LOCO, INC., ""El Pollo Loco"" or ""Franchisor"", an individual, ""Developer"", an individual, ""El Pollo Loco"" or ""Franchisor"", EL POLLO LOCO, INC.",Parties,"EL POLLO LOCO, INC. (""El Pollo Loco"" or ""Franchisor""); an individual (""Developer"")"
"This Agreement shall commence on the date specified in Exhibit ""B"".",Effective Date,(None entered)
"Unless terminated pursuant to Section 10 or 11 below, it shall expire upon the earlier of the date specified in Exhibit ""B"" or upon the opening of the last El Pollo Loco¨ Restaurant listed in the Development Schedule., Notwithstanding any provision to the contrary contained herein, unless earlier terminated by either party, this Agreement shall expire on ______, 20___, and all rights of Developer herein shall cease and all unapplied or unused Development Fees paid pursuant to Section 3 hereof shall be forfeited to Franchisor., Unless terminated pursuant to Section 10 or 11 below, it shall expire upon the earlier of the date specified in Exhibit ""B"" or upon the opening of the last El Pollo Loco¨ Restaurant listed in the Development Schedule.",Expiration Date,[ ]/[ ]/20[ ]
"This Agreement, after review by Developer and El Pollo Loco, was accepted in the state in which FranchisorÕs then-current headquarters (currently the State of California) is located and shall be governed by and construed in accordance with the laws of such state, except that the provisions in Section 20.1 covering competition following the expiration, termination or assignment of this Agreement shall be governed by the laws of the state in which the breach occurs.",Governing Law,California; the state in which the breach occurs
"In addition, Developer covenants that, except as otherwise approved in writing by the Franchisor, Developer shall not, for a continuous, uninterrupted period commencing upon the expiration, termination or assignment of this Agreement, regardless of the cause for termination, and continuing for two (2) years thereafter, either directly or indirectly, for itself, or through or on behalf of, or in conjunction with any person, partnership, corporation or other entity, own, operate, control or have any financial interest in any Competitive Business which is located or has outlets or restaurant units within the Territory.",Non-Compete,Yes
"(If exclusive agreement, add ""Developer expressly acknowledges that the exclusive rights granted herein apply only to the right to develop new restaurants in the Territory, and no exclusive territory or radius protection for the term of any Franchise Agreement is granted herein and any such protection shall be set forth in the particular Franchise Agreement to be signed."")",Exclusivity,Yes
This Agreement shall terminate immediately upon El Pollo Loco's receipt of Developer's notice to terminate.,Termination For Convenience,Yes
"Franchisor may terminate or modify any rights that Developer may have with respect to protected exclusive rights in the Territory, as granted under Section 1.1 above, effective ten (10) days after delivery of written notice thereof to Developer.",Termination For Convenience,Yes
"For purposes of this Section, a sale of stock, or any membership or partnership interest in Developer, or a merger or other combination of Developer shall be considered a transfer of Developer's interest prohibited hereunder.",Change of Control,Yes
"The following events shall constitute a default by Developer, which shall result in El Pollo Loco's right to declare the termination of this Agreement, if such default is not cured within thirty (30) days after written notice by Franchisor to Developer: a. Developer's default in the performance or observance of any covenant, term, or condition contained in this Agreement not otherwise specified in Section 11.1 above. b. The creation, incurrence, assumption, or sufferance to exist of any lien, encumbrance, or option whatsoever upon any of Developer's property or assets, whether now owned or hereafter acquired, the effect of which substantially impairs Developer's ability to perform or observe any covenant, term, or condition of this Agreement. c. Refusal by Developer or DeveloperÕs partners, members, or shareholders to enter individually into the then-current form of Franchise Agreements and Personal Guarantee as provided in Section 1 above. d. Any change, transfer or conveyance (""Transfer"") in the ownership of Developer, which Transfer has not been approved in advance by Franchisor.",Change of Control,Yes
"The following events shall constitute a default by Developer, which shall result in El Pollo Loco's right to declare the termination of this Agreement, if such default is not cured within thirty (30) days after written notice by Franchisor to Developer: d. Any change, transfer or conveyance (""Transfer"") in the ownership of Developer, which Transfer has not been approved in advance by Franchisor. Franchisor reserves the right to approve or disapprove any Transfer as its sole and absolute right.",Change of Control,Yes
