Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT,Document Name,EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT
"Eton Pharmaceuticals, Inc., ""ETON"", Aucta Pharmaceuticals, Inc., ""Aucta"", Aucta Pharmaceuticals, Inc., ""ETON"", Eton Pharmaceuticals, Inc.",Parties,"Eton Pharmaceuticals, Inc. (""ETON""); Aucta Pharmaceuticals, Inc.(""Aucta"")"
"June 12, 2019",Agreement Date,06/12/2019
"The term of this Agreement shall automatically become effective upon the occurrence of (i) ETON executing a commercial supply agreement with a contract manufacturing organization within forty-five (45) days of the Execution Date, provided that ETON has exercised best efforts to execute such agreement and the failure to execute is solely caused by the refusal or inability of the proposed manufacturing organization to sign a reasonable agreement; and (ii) acceptance for review of the Dossier or marketing application for [ * * * ] by the FDA no later than September 2, 2019 (such date, the ""Effective Date"") and shall end upon the termination or expiration of the Agreement as set forth in Section 11 (the ""Term"")., September 2, 2019, The term of this Agreement shall automatically become effective upon the occurrence of (i) ETON executing a commercial supply agreement with a contract manufacturing organization within forty-five (45) days of the Execution Date, provided that ETON has exercised best efforts to execute such agreement and the failure to execute is solely caused by the refusal or inability of the proposed manufacturing organization to sign a reasonable agreement; and (ii) acceptance for review of the Dossier or marketing application for [ * * * ] by the FDA no later than September 2, 2019 (such date, the ""Effective Date"") and shall end upon the termination or expiration of the Agreement as set forth in Section 11 (the ""Term"").",Effective Date,09/02/2019
"The term of this Agreement shall automatically become effective upon the occurrence of (i) ETON executing a commercial supply agreement with a contract manufacturing organization within forty-five (45) days of the Execution Date, provided that ETON has exercised best efforts to execute such agreement and the failure to execute is solely caused by the refusal or inability of the proposed manufacturing organization to sign a reasonable agreement; and (ii) acceptance for review of the Dossier or marketing application for [ * * * ] by the FDA no later than September 2, 2019 (such date, the ""Effective Date"") and shall end upon the termination or expiration of the Agreement as set forth in Section 11 (the ""Term"").",Expiration Date,Perpetual
"This Agreement shall be governed, interpreted and construed in accordance with the substantive laws of the Delaware, in the country of the United State of America, without regard to its conflict of laws principles.",Governing Law,Delaware
"During the Term of this Agreement, and for a period of two (2) years thereafter, Aucta shall not research, develop, manufacture, file, sell, market, or distribute more than two products containing the active ingredient Lamotrigine_ nor will Aucta directly or indirectly assist any other Person or entity in carrying or any such activities. [ * * * ]",Non-Compete,Yes
"Aucta, for itself and its Affiliates, hereby grants to ETON in accordance with the terms and conditions of this Agreement, an exclusive (even as to and against Aucta in the Territory) right and license, including the right to sublicense, to the Products (or any components thereof), Dossiers, and all current and future Aucta Background Intellectual Property that is owned or controlled by Aucta or its Affiliates for ETON to develop, manufacture, import, use, promote, distribute, market, advertise, offer for sale or sell (collectively, ""Market"") the Products in and for the Territory.",Exclusivity,Yes,License Grant,Yes
"ETON has the right to terminate this Agreement after approval of the Dossier or marketing application for the Product (or added new product), at its sole discretion, upon providing one hundred eighty (180) daysÕ written notice to Aucta.",Termination For Convenience,Yes
"Notwithstanding the foregoing, each Party may assign the rights and obligations under this Agreement in whole, without consent of the other Party, to a Third Party or Affiliate in connection with the transfer or sale of all or substantially all of its business or in the event of a merger, consolidation or change in control provided that the assignee assumes in writing and becomes directly obligated to the other Party to perform all of the obligations of assignor under this Agreement.",Change of Control,Yes
"The Parties shall not assign, encumber or otherwise transfer this Agreement or any part of it to any Third Party, without the prior written consent of the other Party.",Anti-assignment,Yes
