Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
CONTENT DISTRIBUTION AND LICENSE AGREEMENT,Document Name,CONTENT DISTRIBUTION AND LICENSE AGREEMENT
"CONVERGTV,ÊINC., ""ConvergTV"", Fulucai Productions Ltd., ""Producer"", Fulucai Productions Ltd., ""ConvergTV"", CONVERGTV,ÊINC.",Parties,"CONVERGTV,ÊINC.Ê(""ConvergTV""); Fulucai Productions Ltd. (""Producer"")"
"NovemberÊ15,Ê2012",Agreement Date,11/15/2012,Effective Date,11/15/2012
"License Term Perpetual, unlimited runs x Other: 2 years Commencing: November 15, 2012",Renewal Term,"perpetual, 11/15/2014"
"All questions with respect to the construction of this Agreement, and the rights and liabilities of the Parties hereto, shall be governed by the laws of the State of Florida.",Governing Law,Florida
"During the License Term (which is identified in the Deal Terms), Producer agrees that ConvergTV has the exclusive right to exercise the rights granted to it under this Agreement with respect to the Program, including those in Section 1, within the Licensed Territory.",Exclusivity,Yes
Revenue Share as specified in this CONTENT DISTRIBUTION AND LICENSE AGREEMENT.,Revenue/Profit Sharing,Yes
The revenue share for the Program is stated in Exhibit B.,Revenue/Profit Sharing,Yes
"""LicensedÊRights""ÊtoÊConvergTVÊandÊConvergTV Channels and/or Distribution Outlets x All, including but not limited to: xSimultaneous Internet Streaming x OTT Television x Internet Protocol Television x Radio, short wave, microwave, fiber optic x Alternative, secondary and specialty distribution x Stored as VOD, Content Distribution Networks/Company Servers x Full Television Broadcast Rights: x Free: Terrestrial, Cable, Satellite x Pay: Terrestrial, Cable, Satellite x Direct Satellite IP Distribution Systems",License Grant,Yes
"For the License Term and within the Licensed Territory, Producer hereby grants to ConvergTV a right and license to Distribute theprogram, file or video listed on the Deal Terms above (the ""Program"") consisting of (check one) __ episodes (series) or x one-offs,for unlimited runs for the License Term through ConvergTV channels and/or other distribution outlets, in accordance with theLicense Rights. ",License Grant,Yes
"Producer further grants to ConvergTV the right and license to Distribute the Program on any ConvergTV channel, and/or other distribution outlets, that exists today or that is created or developed in the future and this right includes the right to Distribute on any channels of a ConvergTV affiliate and/or other distribution outlets without limitation.",License Grant,Yes,Affiliate License-Licensee,Yes,Unlimited/All-You-Can-Eat-License,Yes
"Producer further grants to ConvergTV the right and license to Distribute and re-Distribute, including relicensing or sublicensing, the Program at such dates and times as are determined by ConvergTV in its sole discretion.",License Grant,Yes
"Producer further grants to ConvergTV the right and license to create (re-edit), at its sole cost and expense, new and different versions of the Program, create foreign language, subtitled or translated versions of the Program as well as to create closed captioned versions of the Program, including NTCS, PAL, SEACAM standards, or other standards, including those yet to be developed.",License Grant,Yes
Producer further grants to ConvergTV the right and license to utilize any and all footage from the Program for promotional and marketing purposes related to the Distribution of the Program and for promotion of channels or other distribution methods.,License Grant,Yes
"The grant of rights and license pursuant to this Section 1 shall include, but not be limited to, the right of ConvergTV to Distribute and re-Distribute all or any portions of the Program and Promotional Works, including excerpts therefrom, and any new and different versions of the Program, on simultaneous internet transmission or streaming, internet protocol television and any television networks and stations, and/or other distribution outlets, via domestic or foreign television signals, as well as through CATV and DBS systems, satellite, microwave, fiber optic and/or other modes of Distribution yet to be developed, but which may be utilized by ConvergTV in the future.",License Grant,Yes
"For the License Term and within the Licensed Territory, Producer hereby grants to ConvergTV a right and license to Distribute the program, file or video listed on the Deal Terms above (the ""Program"") consisting of (check one) [ ] episodes (series) or [ ] one-offs, for unlimited runs for the License Term through ConvergTV channels and/or other distribution outlets, in accordance with the License Rights.",Unlimited/All-You-Can-Eat-License,Yes
"EachÊofÊtheÊPartiesÊmay,ÊatÊitsÊownÊexpense,ÊauditÊtheÊotherÊPartyÕsÊcomplianceÊwithÊthisÊAgreement,ÊincludingÊbutÊnotÊlimitedÊto, auditingÊtheÊotherÊPartyÕsÊrepresentationsÊandÊwarranties.",Audit Rights,Yes
