Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
Distributorship agreement,Document Name,Distributorship agreement
"Signature Orthopaedics Pty Ltd, CPM Medical Consultants, LLC, Signature Orthopaedics Pty Ltd",Parties,"Signature Orthopaedics Pty Ltd; CPM Medical Consultants, LLC"
29/3/18,Agreement Date,03/29/2018
"This agreement begins on the Commencement Date and, subject to clause 11.2, shall continue for an initial term of one (1) years (Initial Term) and indefinitely after that until terminated by either party giving at least twelve (12) months' prior written notice to expire on or after the expiry date of the initial term.",Expiration Date,03/29/2019,Renewal Term,perpetual,Notice Period To Terminate Renewal,12 months
This agreement and any dispute or claim arising out of or in connection with it or its subject matter or formation (including non-contractual disputes or claims) shall be governed by and construed in accordance with Ohio law.,Governing Law,Ohio
"The Distributor shall not sub-license, transfer or otherwise deal with the rights of use of the Trade Marks granted under this agreement.",Anti-assignment,Yes
"Without affecting any other rights that it may be entitled to, the Supplier may give notice in writing to the Distributor terminating this agreement immediately if the Distributor purports to assign its rights or obligations under this agreement to an entity that is not (1) affiliated with, (2) related to, or (3) sharing common ownership with the Distributor (a Permitted Assignee).",Anti-assignment,Yes
"The Distributor shall not assign, transfer, mortgage, charge, declare a trust of or deal in any other manner with this agreement or any of its rights and obligations under or arising out of this agreement, or purport to do any of the same; provided, however, the Distributor may assign or transfer this agreement to a Permitted Assignee without the consent of Supplier.",Anti-assignment,Yes
The Distributor shall not sub-contract or delegate in any manner any or all of its obligations under this agreement to any third party or agent.,Anti-assignment,Yes
"The Supplier hereby grants to the Distributor the non-exclusive right, in the Territory, to use the Trade Marks in the promotion, advertisement and sale of the Products, subject to, and for the duration of, this agreement.",License Grant,Yes
"At the Supplier's option, on termination of this agreement: (a) the Supplier may buy from the Distributor all or any stocks of Products for the current market value for those Products. The Distributor must deliver such Products to the Supplier within 14 days of receiving the Supplier's notice, and the Supplier must pay for the Products in full within 30 days of their delivery. The Supplier shall be responsible for the costs of packaging, insurance and carriage of the Products_ or (b) the Distributor may dispose of the balance of the Products in its possession and account to the Supplier for the Price for those Products_ and",Post-termination Services,Yes
"allow the Supplier, on reasonable notice, access to its accounts and records relating to the sale or distribution of the Products for inspection but not more than once in each year.",Audit Rights,Yes
The Supplier shall add the distributor to their current insurance certificate.,Insurance,Yes
"During the Term, the Supplier shall maintain product liability insurance with a reputable insurer of no less than AU$10 million for any one occurrence for any and all liability (however arising) for a claim that the Products are faulty or defective.",Insurance,Yes
"The Distributor shall not do, or omit to do, anything in its use of the Trade Marks that could adversely affect their validity or the goodwill of the Supplier.",Covenant Not To Sue,Yes
