Clause,Label 1,Label 1-Answer
CONTENT LICENSE AGREEMENT,Document Name,CONTENT LICENSE AGREEMENT
"Global Music International, Inc. d/b/a Independent Music Network, ""IMNTV"", Distributor, MobileVision Communications Ltd., Distributor, ""IMNTV"", Global Music International, Inc. d/b/a Independent Music Network",Parties,"Global Music International, Inc. d/b/a Independent Music Network (""IMNTV""); MobileVision Communications, Ltd. (""Distributor"")"
13/07/05,Agreement Date,07/13/2005
"This Agreement is effective as of the last date signed below (""Effective Date"").13/07/05",Effective Date,07/13/2005
"The initial term of this Agreement will begin on the Effective Date and end twelve (12) months after the Launch (the ""Term"").",Expiration Date,07/13/2006
"IMNTV will extend the Agreement on the same terms and conditions for additional one-year terms, providing Distributor and IMNTV agree, predicated on satisfactory performance by both parties",Renewal Term,successive 1 year
This Agreement will be governed by the laws of the State of Florida without regard to conflicts of law provisions.,Governing Law,Florida
"This Agreement is binding upon each party's assigns, transferees and successors; provided that no party may assign or otherwise transfer, by operation of law or otherwise, this Agreement in whole or in part, without the other party's prior written consent.",Anti-assignment,Yes
"Subscription fee in Territory is to be determined based on market research performed by Distributor with pricing to be agreed upon jointly and in writing Each quarter, Distributor will make royalty payments to IMNTV based on a Structure as follows: 55% of subscriber revenue for the subscription based services broadcasting IMNTV content only, net of telecom percentage provided in accordance with this Agreement.",Revenue/Profit Sharing,Yes
"During the Term, for the activities described in this Agreement, IMNTV hereby grants Distributor non-exclusive rights and licenses necessary within the Territory to: (a) copy, store digitally, host and stream the Programming; (b) publicly perform, publicly display, electronically transmit, distribute and broadcast the Programming; (c) promote the Programming and use IMNTV Marks for DistributorÕs promotion of the Programming as activities described in Section 2.4 above; (d) archive the Programming on DistributorÕs servers; (e) encode, copy, and create continuous Programming excerpts of up to sixty (60) seconds and transmit, publicly perform, distribute, and redistribute such excerpts to end users via the DistributorÕs Portal for marketing purposes only(f) deep link to the Programming.",License Grant,Yes
"In the event that Distributor terminates this Agreement pursuant to either Section 7.2 or 7.3 above, Distributor will notify Subscribers that the Programming is no longer available.",Post-termination Services,Yes
"NO PARTY WILL BE LIABLE TO THE OTHER PARTY IN TORT, CONTRACT OR UNDER ANY OTHER LEGAL THEORY FOR ANY CONSEQUENTIAL, INDIRECT, INCIDENTAL, PUNITIVE OR SPECIAL LOSS OR DAMAGES ARISING OUT OF THIS AGREEMENT, EVEN IF APPRISED OF THE LIKELIHOOD OF SUCH DAMAGES OCCURRING",Cap on Liability,Yes
IN NO EVENT WILL IMNTVÕS LIABILITY TO DISTRIBUTOR UNDER THIS AGREEMENT EXCEED THE AMOUNT ACTUALLY DUE TO IMNTV HEREIN.,Cap on Liability,Yes
