Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
WIRELESS CONTENT LICENSE AGREEMENT,Document Name,WIRELESS CONTENT LICENSE AGREEMENT
"TWENTIETH CENTURY FOX LICENSING & MERCHANDISING, ""Fox"", Sorrent, Inc., ""Licensee"", Fox and Licensee are collectively referred to as the ""parties"" and each individually as a ""party."", ""Licensee"", Sorrent, Inc., ""Fox"", TWENTIETH CENTURY FOX LICENSING & MERCHANDISING",Parties,"Twentieth Century Fox Licensing & Merchandising (""Fox""); Sorrent, Inc (""Licensee"")(""parties"" and each individually as a ""party)"
"December 16, 2004,",Agreement Date,12/16/2004
"December 16, 2004",Effective Date,12/16/2004
"The rights granted hereunder shall be effective as of the Effective Date and shall expire on December 31, 2006 (the ""Term""); provided, however, that with respect to each Property, all rights and licenses granted herein will continue in full force and effect for a period of eighteen (18) months after the initial theatrical release of that Property.",Expiration Date,12/31/2006
This Agreement shall be construed in accordance with the laws of the State of California applicable to agreements executed and to be wholly performed therein.,Governing Law,California
"Licensee agrees that it will use substantially similar efforts to advertise, promote, manufacture, sell and distribute the Wireless Products as it devotes to its other licensed products.",Most Favored Nation,Yes
"Fox grants to Licensee a limited, exclusive (except as otherwise may be provided in this Agreement), non-transferable (except as permitted in Paragraph 17(d)) right and license to use, make, have made (as set forth in Paragraph 1(a)(i) below), reproduce, modify, and create derivative works of Wireless Content License Agreement Multiple Properties / Sorrent, Inc. / Final PLZ   *****  The omitted portions of this exhibit have been filed with the Securities and Exchange Commission pursuant to a request for confidential treatment under Rule 406 promulgated under the Securities Act of 1933. -1-   Source: GLU MOBILE INC, S-1/A, 3/19/2007 the PSM in each Property, solely for the purpose of developing the wireless applications specifically set forth for each of the Properties on Exhibits B through M attached hereto (""Wireless Products""), some of which Wireless Products are defined in the Glossary attached hereto as Exhibit N",Exclusivity,Yes,Non-Transferable License,Yes
"Fox grants to Licensee a limited, exclusive (except as otherwise may be provided in this Agreement), non-transferable (except as permitted in Paragraph 17(d)) right and license to use, make, have made (as set forth in Paragraph 1(a)(i) below), reproduce, modify, and create derivative works of the PSM in each Property, solely for the purpose of developing the wireless applications specifically set forth for each of the Properties on Exhibits B through M attached hereto (""Wireless Products""), some of which Wireless Products are defined in the Glossary attached hereto as Exhibit N.",Exclusivity,Yes,License Grant,Yes,Non-Transferable License,Yes
"Furthermore, Fox grants to Licensee a limited, exclusive (except as may otherwise be provided in this Agreement), non-transferable (except as permitted in Paragraph 17(d)) right and license to make, have made, reproduce, modify, create derivative works of, advertise, promote, distribute, sell and license the Wireless Products, including any PSM included therein, solely (i) for use on mobile or cellular telephones (the ""Wireless Platform"")_ (ii) in the Territory (as defined in Paragraph 3), (iii) during the Term (as defined in Paragraph 4), (iv) for distribution by Licensee through the Distribution Channels (as defined in Paragraph 2(c)) granted herein_ and (v) by means of periodic subscription fee, a per-download basis, or through a retail purchase",Exclusivity,Yes
"Neither party will solicit or enter into any agreement with any third party regarding the bundling of the Wireless Products with any other property (including a Fox property) or with any other products and services including preloading, OEM and soft bundling, except as mutually agreed between the parties.",Exclusivity,Yes
"Neither party may solicit or enter into any agreement with any third party regarding third-party promotional opportunities with respect to the Wireless Products without the other partyÕs prior written consent_ provided that the foregoing will not limit LicenseeÕs rights to market and promote the Wireless Products directly and through (i) CSPs, subject to any Fox approval rights set forth elsewhere in this Agreement, or (ii) FoxÕs right to engage in third party promotions for the Properties involving wireless content otherwise sourced or created.",Exclusivity,Yes
"Under no circumstances shall Licensee enter into an exclusive distribution agreement with a CSP other than VGSL in the following territories (""VGSL Territories"") covered under the VGSL Agreement: (1) United Kingdom_ (2) Ireland_ (3) Germany_ (4) Spain_ (5) France_ (6) Sweden_ (7) Switzerland_ (8) Portugal_ (9) Netherlands_ (10) Greece_ (11) Italy_ (12) Australia_ (13) New Zealand_ (14) Egypt_ (15) Slovenia_ (16) Belgium_ (17) Austria_ (18) Hungary_ (19) Malta_ (20) Croatia_ (21) South Africa_ and (22) Japan.",Exclusivity,Yes
