Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
WEBSITE CONTENT LICENSE AGREEMENT,Document Name,WEBSITE CONTENT LICENSE AGREEMENT
"PSiTech Corporation, ""Licensor"", Empirical Ventures, Inc., ""Licensee"", Empirical Ventures, Inc., ""Licensor"", PSiTech Corporation",Parties,"PSiTech Corporation (""Licensor""); Empirical Ventures, Inc (""Licensee"")"
"Feb 10, 2014",Agreement Date,02/10/2014,Effective Date,02/10/2014
"The initial term of this Agreement commences as of the Effective Date and, unless terminated earlier pursuant to any express provision of this Agreement, shall continue until five (5) years following the Effective Date (the ""Initial Term"").",Expiration Date,02/10/2019
"Thereafter, this Agreement shall renew automatically for one (1) additional three (3) year period (the ""Renewal Term"" and collectively, together with the Initial Term, the ""Term"") unless either party provides the other with written notice of non-renewal at least ninety (90) days before the expiration of the Initial Term].",Renewal Term,3 years,Notice Period To Terminate Renewal,90 days
This Agreement shall be governed by and construed in accordance with the internal laws of the State of Nevada without giving effect to any choice or conflict of law provision or rule.,Governing Law,Nevada
"SubjectÊtoÊLicenseeÕsÊon_goingÊcomplianceÊwithÊSection 3.2 and all other terms and conditions of this Agreement, Licensor grants to Licensee an exclusive (save for rights reserved to Licensor hereunder), non-transferable (except as provided in Section 11.7) and non- sublicensable license, during the License Term, to reproduce, perform, display, transmit and distribute the Licensed Content on the Licensee Siteand Related Media intended solely for use by End Usersin the Territory within the scope set forth in Schedule 1 (License Scope), which is attached hereto and incorporated herein by this reference.",Exclusivity,Yes,License Grant,Yes,Non-Transferable License,Yes
"For purposes of the preceding sentence, and without limiting its generality, any merger, consolidation or reorganization involving Licensee (regardless of whether Licensee is a surviving or disappearing entity) will be deemed to be a transfer of rights, obligations or performance under this Agreement for which Licensor's prior written consent is required.",Change of Control,Yes
"Licensee shall not assign or otherwise transfer any of its rights, or delegate or otherwise transfer any of its obligations or performance, under this Agreement, in each case whether voluntarily, involuntarily, by operation of law or otherwise, without Licensor's prior written consent.",Anti-assignment,Yes
"Any purported assignment, delegation or transfer in violation of this Section 11.7 is void from the outset and shall be of no force or effect.",Anti-assignment,Yes
"InÊadditionÊtoÊtheÊLicenseÊFeeÊpayableÊinÊaccordanceÊwithÊSectionÊ5.1,ÊLicenseeÊshallÊpayÊaÊroyaltyÊ(""Royalty"")ÊtoÊLicensorÊaccordingÊtoÊthe followingÊscheduleÊ(""Royalty Schedule""):   Subscribers Royalty Payable as Percentage of Gross Revenue 0 - 5000 6.25% 5001 - 7500 6.75% 7501 - 10,000 7.00% 10,001 - 15,000 8.00% 15,001 - 20,000 8.50% 20,001 - 25,000 9.25% 25,001+ 9.75%",Revenue/Profit Sharing,Yes
"Licensor grants to Licensee a limited, non-exclusive, non-transferable (except as provided in Section 11.7) and non-sublicensable royalty-free license during the Term to those of Licensor's Marks designated by Licensor from time to time to:   (i)display such Marks on the Licensee Site: (x) with the Licensed Content to provide source attribution; or (y) as links to the Licensed Content;   (ii)comply with its express obligations under this Agreement; and   (iii)advertise, market and promote the availability of the Licensed Content or the Licensee Site and identify the Licensor as a content provider;   provided, that all uses of Licensor's Marks shall require Licensor's prior written approval.",License Grant,Yes,Non-Transferable License,Yes
"Licensee shall make such books and records, and appropriate personnel, available during normal business hours for audit by Licensor or its authorized representative; provided that Licensor shall:   (a) provide Licensee with reasonable prior notice of any audit;   (b) undertake an audit no more than once per calendar year, unless a prior audit has disclosed a balance due; and   (c) conduct or cause to be conducted such audit in a manner designed to minimize disruption of Licensee's normal business operations.",Audit Rights,Yes
"Licensor will pay the cost of such audits unless an audit reveals a discrepancy in payment or reporting of five percent (5%) or more, in which case the Licensee shall reimburse the Licensor for the reasonable cost of the audit.",Audit Rights,Yes
"The provisions of Section 9.1 and Section 9.2ÊwillÊnotÊapplyÊtoÊlimitÊtheÊLicenseeÕsÊindemnificationÊobligationsÊunderÊSection 8.2, orÊinÊtheÊcaseÊofÊLicenseeÕsÊgrossÊnegligenceÊorÊwilfulÊmisconduct.",Uncapped Liability,Yes
"NEITHER PARTY SHALL BE LIABLE UNDER OR IN CONNECTION WITH THIS AGREEMENT FOR INDIRECT, INCIDENTAL, CONSEQUENTIAL, LIQUIDATED, SPECIAL OR EXEMPLARY DAMAGES OR PENALTIES, INCLUDING WITHOUT LIMITATION, LOSSES OF BUSINESS, REVENUE OR ANTICIPATED PROFITS, REGARDLESS OF WHETHER SUCH DAMAGE WAS FORESEEABLE AND WHETHER LICENSOR HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",Cap on Liability,Yes
EACHÊPARTYÕSÊLIABILITYÊARISINGÊOUTÊOFÊORÊRELATEDÊTOÊTHISÊAGREEMENTÊWILLÊNOTÊEXCEEDÊAN AMOUNT EQUAL TO THE AGGREGATE AMOUNTS PAID OR PAYABLE TO LICENSOR IN THE TWELVE (12) MONTHS PRECEDING THE COMMENCEMENT OF THE CLAIM.,Cap on Liability,Yes
