Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
MEDIA LICENSE AGREEMENT,Document Name,MEDIA LICENSE AGREEMENT
"NATIONAL FOOTBALL MUSEUM, INC., doing business as Pro Football Hall of Fame, ""PFHOF"", HOF Village Media Group, LLC, ""Village Media Company"", HOF Village, LLC, ""HOFV"", HOF Village, LLC, ""Village Media Company"", HOF Village Media Group, LLC, ""PFHOF"", doing business as Pro Football Hall of Fame, NATIONAL FOOTBALL MUSEUM, INC.",Parties,"NATIONAL FOOTBALL MUSEUM, INC. d/b/a Pro Football Hall of Fame (""PFHOF""); HOF Village, LLC (""Village Media Company""); HOF Village, LLC (""HOFV"")"
the date of the Closing,Agreement Date,(None entered),Effective Date,(None entered)
"Unless otherwise terminated as provided herein, the term of this Agreement shall commence on the Effective Date and shall terminate on December 31, 2034 (such period, including as may be extended in accordance with the subsequent sentence, the ""Term"").",Expiration Date,12/31/2034
"Thereafter, the agreement shall automatically renew for successive five (5)-year terms, unless either Party gives written notice to the other Party of intent not to renew at least six (6) months prior to the expiration of the then-current Term., If either party elects not to renew the Agreement and the other party wishes to continue the Agreement, the Parties shall attempt in good faith to negotiate an amendment to the Agreement to renew the Term on such terms as may be negotiated by the Parties., Thereafter, the agreement shall automatically renew for successive five (5)-year terms, unless either Party gives written notice to the other Party of intent not to renew at least six (6) months prior to the expiration of the then-current Term.",Renewal Term,successive 5 years
"Thereafter, the agreement shall automatically renew for successive five (5)-year terms, unless either Party gives written notice to the other Party of intent not to renew at least six (6) months prior to the expiration of the then-current Term.",Notice Period To Terminate Renewal,180 days / 6 months
"This Agreement will be governed in all respects by the laws of the State of Ohio (without regard to conflicts of law provisions), as such laws are applied to agreements entered into and to be performed entirely within the State of Ohio between Ohio residents.",Governing Law,Ohio
"If the Village Media Company does not exercise its right of first refusal, PFHOF shall have the right to grant a license with respect to such third party on the same terms originally provided to the Village Media Company.",Most Favored Nation,Yes,ROFR/ROFO/ROFN,Yes
"All communication with the National Football League (the ""NFL""), its 32 Member Clubs, NFL Legends and Gold Jackets shall be made exclusively and directly through PFHOF.",Exclusivity,Yes
"For the avoidance of doubt, PFHOF has the exclusive and sole relationship with the NFL, its 32 Member Clubs, NFL Legends and Gold Jackets for any and all PFHOF and HOFV activities_ provided, however, that any communication relating to any investment by the NFL in any Village Media Company project, may be made directly through the President of PFHOF or the Chief Executive Officer of HOFV_ and, provided further, that the Village Media Company shall have the right to present opportunities related to any of the above for approval by PFHOF.",Exclusivity,Yes
"PFHOF agrees not to grant licenses to create new PFHOF Works, except with respect to the categories identified on Exhibit A, to any third party during the Term without first offering to the Village Media Company the right of first refusal to create such PFHOF Works on equal terms, subject to any Rights Restrictions.",ROFR/ROFO/ROFN,Yes
"If PFHOF desires to offer a license to any third party or if it receives any bona fide offer from a third party that it is willing to accept, it shall promptly communicate such offer, including the specific terms and business plan relating to such offer, to the Village Media Company and provide the Village Media Company with at least fourteen (14) days to exercise its right of first refusal.",ROFR/ROFO/ROFN,Yes
"If the Village Media Company elects to exercise its right of first refusal, the terms of the offer shall apply, the applicable license shall be subject to the terms and conditions of this Agreement and the Village Media Company shall pay to PFHOF a License Fee (as defined below) for such license in accordance with this Agreement.",ROFR/ROFO/ROFN,Yes
"PFHOF agrees that during the Term, except with respect to the categories identified on Exhibit A, it will not create new PFHOF Works without first granting the Village Media Company a right of first offer to create such PFHOF Work, subject to any Rights Restrictions.",ROFR/ROFO/ROFN,Yes
"PFHOF agrees that during the Term, except with respect to the categories identified on Exhibit A, if PFHOF desires to either exploit itself or license a third party to exploit an existing PFHOF Work, it shall first give the Village Media Company a right of first offer to exclusively license such PFHOF Work, subject to any Rights Restrictions.",ROFR/ROFO/ROFN,Yes
"In such a case, PFHOF shall promptly notify the Village Media Company and provide the Village Media Company with any bona fide third party offer to license such PFHOF Work that PFHOF is willing to accept, including any specific terms and proposed business plan relating to such offer.",ROFR/ROFO/ROFN,Yes
"In addition to and without limiting any other provision of this Agreement, in the event the Village Media Company or HOFV fails to pay the Annual Guarantee to PFHOF in accordance with Section 5.1 and such failure is not cured within thirty (30) days of notice thereof by PFHOF, then the rights of first offer granted to HOFV in Section 3.1 of the First Amended and Restated License Agreement, dated as of September 16, 2019 between PFHOF and HOFV (the ""License Agreement"") shall automatically and immediately terminate, regardless of whether PFHOF elects not to terminate this Agreement in accordance Section 4.2.",ROFR/ROFO/ROFN,Yes
"In addition to and without limiting any other provision of this Agreement, if a Change of Control occurs at any time during the Term, PFHOF shall have the right to terminate this Agreement immediately upon giving notice of such termination to the Village Media Company.",Change of Control,Yes
"For purposes of this Section 4.4, a ""Change of Control"" shall mean any transaction or series of related transactions that results in (including by way of merger or consolidation), or that is in connection with, the Village Media Company no longer being controlled (as defined in Section 1.2) by or under common control (as defined in Section 1.2) with HOFV.",Change of Control,Yes
