Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
SPONSORSHIP AND SERVICES AGREEMENT,Document Name,SPONSORSHIP AND SERVICES AGREEMENT
"HOF Village, LLC, ""HOFV"", National Football Museum, Inc., d/b/a Pro Football Hall of Fame, (""PFHOF"" and, together with HOFV, the ""HOF Entities"", Constellation NewEnergy, Inc., on behalf of itself and its retail affiliates and subsidiaries (collectively, ""Constellation""), HOFV and/or PFHOF, on the one hand, and Constellation, on the other hand, are referred to herein as a ""Party"" and, collectively, as the ""Parties""., on behalf of itself and its retail affiliates and subsidiaries (collectively, ""Constellation""), Constellation NewEnergy, Inc., (""PFHOF"" and, together with HOFV, the ""HOF Entities"", National Football Museum, Inc., d/b/a Pro Football Hall of Fame, ""HOFV"", HOF Village, LLC",Parties,"HOF Village, LLC (""HOFV"");  National Football Museum, Inc. d/b/a Pro Football Hall of Fame (""PFHOF""(""PFHOF"" and, together with HOFV, the ""HOF Entities""); Constellation NewEnergy, Inc., on behalf of itself and its retail affiliates and subsidiaries (collectively, ""Constellation""); HOFV and/or PFHOF, and Constellation, (""Party"" and, collectively, as the ""Parties"")"
"19th day of December, 2018",Agreement Date,12/19/2018
"The term of this Agreement (the ""Term""), unless mutually extended by written agreement of the Parties or unless sooner terminated as provided herein, shall commence effective as of the date hereof and shall expire on December 31, 2028.",Expiration Date,12/31/2028
"This Agreement shall be governed by and construed in accordance with the laws of the State of Ohio, without reference to principles of conflicts of law.",Governing Law,Ohio
"All Services included in the Products & Services shall be performed with at least the level of service, quality and care provided by Constellation to other third parties receiving the same or substantially similar services.",Most Favored Nation,Yes
"Provided that Constellation is not then in breach of its obligations pursuant to this Agreement, including without limitation Section 2.1 hereof, and provided that Constellation has available for purchase a product or service which meets the needs of the HOF Entities at competitive market pricing, (a) neither of the HOF Entities shall purchase, at any time during the Term, any commodity electricity or gas from any person or entity other than Constellation and its affiliates and (b) in the event and to the extent mutually agreed by the Parties, neither of the HOF Entities shall grant or award to any company designated by Constellation (and mutually agreeable to the HOF Entities) any project which the Parties mutually agree shall not be granted or awarded to such company",Exclusivity,Yes
"Notwithstanding the foregoing, this Section 2.2 shall not be deemed to apply to agreements executed prior to the date of this Agreement between the HOF Entities and Johnson Controls, Inc. or any of its affiliates.",Exclusivity,Yes
"Each Party agrees it will not use the Sponsorship Rights or any license granted under or in connection with this Agreement in any manner which could reasonably be expected to (i) infringe upon the intellectual property or other propriety rights or rights of publicity or privacy of a Party to this Agreement or any third party, (ii) violate any law, statute, regulation, or ordinance applicable to it, including, without limitation, laws regarding obscenity, discrimination, unfair competition and false advertising, or (iii) be defamatory or trade libelous.",Non-Disparagement,Yes
"The HOF Entities may remove any content, Marks, data or other materials from the HOF EntitiesÕ property and refuse to provide the Sponsorship Rights with respect to any content, Marks, data or other materials which the HOF Entities determine will (x) infringe upon the intellectual property or other propriety rights or rights of publicity or privacy of a Party to this Agreement or any third party, (y) violate any law, statute, regulation, or ordinance, including, without limitation, laws regarding obscenity, discrimination, unfair competition and false advertising, or (z) be defamatory or trade libelous.",Non-Disparagement,Yes
"Each of the HOF Entities or Constellation may terminate this Agreement at any time without liability if association with another Party could, in such PartyÕs reasonable opinion, materially damage its reputation or image or in the event a Party breaches Section 3.3 hereof, which breach is not cured within sixty (60).",Non-Disparagement,Yes
"No Party will make, issue or release any statement which results in any defamation or disparagement of the Village, the City of Canton, the other Party, or any team, person, performer or organization involved in events at the Village.",Non-Disparagement,Yes
"Neither this Agreement nor any right or obligation hereunder may be assigned or otherwise transferred by either Party without the prior written consent of the other Party; provided, however, that each HOF Entity may, upon written notice to Constellation but without a requirement to obtain ConstellationÕs consent, transfer, assign, convey, pledge or encumber, in whole or in part, any and all of its rights under this Agreement as security in connection with a loan transaction.",Anti-assignment,Yes
"A minimum of [***] in mutually agreed upon EME financing will be contracted for by the Parties, with a minimum of [***] of such aggregate amount to be contracted for in each of [***] and [***].",Minimum Commitment,Yes
"The HOF Entities grant to Constellation a nonexclusive, nontransferable, royalty-free license to use the marks set forth on Exhibit F (""HOF Entity Marks"") in the United States or online during the Term solely in connection with (i) ConstellationÕs use and promotion of the designations set forth on Exhibit E in connection with commercial activations, marketing promotions, commercial programs and marketing programs related to the Village, (ii) B2B-related and B2C-related marketing activities approved by the HOF Entities and (iii) as otherwise expressly contemplated by this Agreement.",License Grant,Yes,Non-Transferable License,Yes
"Constellation grants to the HOF Entities a nonexclusive, nontransferable, royalty-free license to use the marks set forth on Exhibit G (""ConstellationÕs Marks"") in the United States or online throughout the Term solely in connection with the Sponsorship Rights, the advertising and promotion of the Village, including any musical, athletic or other live performance events at the Village, in connection with the name of the Center for Excellence and/or any Co-Branded Center for Excellence Logos and otherwise as expressly contemplated by this Agreement.",License Grant,Yes,Non-Transferable License,Yes
"This license expressly prohibits any pass-through rights or the use of the HOF Entity Marks by any third party, except (x) to ConstellationÕs subsidiaries and brands for use in a manner consistent with clauses (i) through (iii) hereof or (y) with the express written consent of the HOF Entities (or the appropriate HOF Entity).",Non-Transferable License,Yes,Affiliate License-Licensee,Yes
"This license expressly prohibits any pass-through rights or the use of ConstellationÕs Marks by any third party, without the express written consent of Constellation, except where sublicensing of ConstellationÕs Marks is necessary or desirable to provide for the Sponsorship Rights and/or the advertising and promotion of the Village.",Non-Transferable License,Yes
"In January of each calendar year Constellation shall allow, at the written request and expense of the HOF Entities, the HOF Entities the right to audit during normal business hours all relevant Constellation records related to New Business generated during the immediately preceding calendar year.",Audit Rights,Yes
