Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
ENDORSEMENT AGREEMENT,Document Name,ENDORSEMENT AGREEMENT
"National Football League Alumni - Northern California Chapter, ""NFLA-NC"", National Football League Alumni, Inc., ""NFLA"", Food For Athletes, Inc, Gridiron BioNutrientsª, (collectively the ""Company"")., Gridiron BioNutrientsª, Food For Athletes, Inc, ""NFLA"", National Football League Alumni, Inc., ""NFLA-NC"", National Football League Alumni - Northern California Chapter",Parties,"National Football League Alumni - Northern America Chapter (""NFLA-NC""); National Football League Alumni, Inc (""NFLA""); Food For Athletes, Inc./Gridiron BioNutrientsª (collectively the ""Company"")"
"October 30, 2017",Agreement Date,10/30/2017
"All terms of this Agreement will automatically commence on November 1st, 2017, and expire on November 2nd, 2020.",Effective Date,11/01/2017,Expiration Date,11/02/2020
"This Agreement shall be governed by, and its provisions enforced in accordance with, the laws of California without regard to its principles of conflicts of laws.",Governing Law,California
NFLA agrees not to grant the right to use the NFLAs Identification to anyone other than Company in connection with the advertisement and promotion of Products.,Exclusivity,Yes
"Company will not sublicense pass-through or otherwise grant to any third parties the rights granted to Company hereunder without the NFLA prior written consent, including but not limited to the right to use the Licensed Marks.",Anti-assignment,Yes,Non-Transferable License,Yes
A *donation of $0.05 per Unit sold of Licensed Products within the Contract Territory payable to the **NFL Alumni Northern California Chapter.,Revenue/Profit Sharing,Yes
The NFLA-NC will donate 15% of the above described proceeds to the NFLA.,Revenue/Profit Sharing,Yes
All payments shall be made by wire transfer drawn to the account of NFLA-NC no later than ten (10) business days after the end of each quarter as follows:   $0.05 per Unit as described herein of CompanyÕs Products sold in the Contract Territory payable to NFLA-NC.,Revenue/Profit Sharing,Yes
NFLA to send a minimum of two (2) dedicated e-blasts per year to NFLA database.,Minimum Commitment,Yes
"NFLA to feature Company in Weekly Newsletter ""Partner Spotlight"" a minimum of four (4) times per year.",Minimum Commitment,Yes
NFLA to feature Company on all social media channels a minimum of four (4) times per year.,Minimum Commitment,Yes
Each day shall not exceed a reasonable number of hours unless otherwise mutually agreed upon.,Volume Restriction,Yes
The NFLA agrees to license such rights to the Company.,License Grant,Yes
"Company acknowledges that this Agreement does not grant Company any rights with respect to any other NFLA Marks (defined below), the name, likeness, signature, or other attributes of any NFLA member or other individual, or any audio or video of any NFLA event.",License Grant,Yes
"In consideration of the remuneration to be paid to the NFLA-NC pursuant to this Agreement, the NFLA grants to Company and to its authorized distributors and sublicenses the right and license during the Contract Period to use the NFLA Identification solely in connection with the advertisement, marketing and promotion of the Products within the Contract Territory as set forth in this Agreement.",License Grant,Yes
"Company may liquidate and sell its inventory of Licensed Products (including any inventory then in production) for a period of ninety (90) days after the termination date of the Contract Period, subject to the CompanyÕs continued obligation to pay the Fee as provided above, and will deliver the Sales Report with respect to such liquidation sales within 30 days following the end of the first reached full quarter following termination.",Post-termination Services,Yes
"Notwithstanding anything to the contrary in this Agreement, if Company incurs any expenses, damages or other liabilities (including but not limited to reasonable attorneyÕs fees) in connection with the performance or nonperformance of any term or provision of this Agreement, NFLAÕs liability to Company shall not exceed the remuneration, excluding reimbursement of expenses, actually paid to NFLA by Company",Cap on Liability,Yes
"In no event will NFLA be liable for any indirect, incidental, reliance, special or consequential damages arising out of the performance or nonperformance of this Agreement, whether or not NFLA had been advised of the possibility of such damages.",Cap on Liability,Yes
"Company agrees to provide and maintain, at its own expense, general commercial and product liability insurance.",Insurance,Yes
