Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer,Label 4,Label 4-Answer
DEVELOPMENT AND OPTION AGREEMENT,Document Name,DEVELOPMENT AND OPTION AGREEMENT
"Harpoon Therapeutics, Inc., ""Harpoon"", AbbVie Biotechnology Ltd, ""AbbVie"", AbbVie Biotechnology Ltd, ""Harpoon"", Harpoon Therapeutics, Inc.",Parties,"Harpoon Therapeutics, Inc. (""Harpoon""); AbbVie Biotechnology Ltd (""AbbVie"")"
"November 20, 2019",Agreement Date,11/20/19,Effective Date,11/20/2019
"This Agreement shall commence on the Effective Date and, unless earlier terminated in accordance herewith, shall continue in force and effect until (a) the date of expiration of the last Royalty Term for the last Licensed Product, or (b) the expiration of the License Option Period and the failure of AbbVie to exercise the License Option (such period, the ""Term"").",Expiration Date,(None entered)
"This Agreement or the performance, enforcement, breach or termination hereof shall be interpreted, governed by and construed in accordance with the laws of the State of Delaware, United States, excluding any conflicts or choice of law rule or principle that might otherwise refer construction or interpretation of this Agreement to the substantive law of another jurisdiction; provided that all questions concerning (a) inventorship of Patents under this Agreement shall be determined in accordance with Section 7.1.3 and (b) the construction or effect of Patents shall be determined in accordance with the laws of the country or other jurisdiction in which the particular Patent has been filed or granted, as the case may be.",Governing Law,Delaware
"Upon the Effective Date, Harpoon hereby grants to AbbVie the exclusive right, but not the obligation, to obtain the licenses set forth in Section 5.1.3 (the ""License Option"").",Exclusivity,Yes
"Following the License Option Exercise Closing Date, except for HarpoonÕs responsibilities in completing the Initial Development Activities and delivering the Final Development Report, AbbVie shall have the sole right to Develop and Manufacture (and shall control all aspects of Development and Manufacturing), including seeking Regulatory Approvals for, Licensed Compounds and Licensed Products in the Field and in the Territory and, for clarity, Harpoon and its Affiliates shall have no right to do so.",Exclusivity,Yes
"Harpoon shall have the sole right and responsibility to prepare, obtain and maintain all INDs necessary to perform its obligations under the Initial Development Plan, and to conduct communications with the applicable Regulatory Authorities with respect to such INDs[***] submission to the applicable Regulatory Authorities.",Exclusivity,Yes
"Effective on the License Option Exercise Closing Date, AbbVie (itself or through its Affiliates or Sublicensees) shall have the sole right to Commercialize Licensed Compounds and Licensed Products in the Territory at its own cost and expense.",Exclusivity,Yes
"Effective on the License Option Exercise Closing Date, AbbVie shall have the sole right to invoice and book sales, establish all terms of sale (including pricing and discounts) and warehousing, and distribute the Licensed Products in the Territory and to perform or cause to be performed all related services.",Exclusivity,Yes
"Effective on the License Option Exercise Closing Date, AbbVie shall have the sole right to determine and own the Product Trademarks to be used with respect to the Exploitation of the Licensed Products on a worldwide basis.",Exclusivity,Yes
"AbbVie shall have the sole right, at its expense, to Manufacture (or have Manufactured) and supply the Licensed Compound and Licensed Products for commercial sale in the Territory by AbbVie and its Affiliates and Sublicensees.",Exclusivity,Yes
"Effective upon the date that AbbVie commences performing Initial Development Activities pursuant to Section 3.1.2, Harpoon (on behalf of itself and its Affiliates) shall grant and hereby grants AbbVie a co- exclusive (with Harpoon), royalty-free license, with the right to grant sublicenses in accordance with Section 5.3, under the Harpoon Patents, the Harpoon Know-How, and HarpoonÕs interests in the Joint Patents and the Joint Know-How, solely to the extent necessary for AbbVie to conduct Initial Development Activities assumed by AbbVie in accordance with Section 3.1.2 (if any).",Exclusivity,Yes,License Grant,Yes,Affiliate License-Licensor,Yes
"Upon the [***], Harpoon (on behalf of itself and its Affiliates) hereby grants to AbbVie a co-exclusive (with Harpoon), royalty-free (subject to [***] [***]) license, with the right to grant sublicenses in accordance with Section 5.3, under the Harpoon Patents, the Harpoon Know-How, and HarpoonÕs interests in the Joint Patents and the Joint Know- How, to Develop and Manufacture the Licensed Compounds and Licensed Products solely to the extent necessary for AbbVie to perform [***].",Exclusivity,Yes,License Grant,Yes,Affiliate License-Licensor,Yes
"Upon the License Option Exercise Closing Date, Harpoon (on behalf of itself and its Affiliates) hereby grants to AbbVie: (a) an exclusive (including with regard to Harpoon and its Affiliates, except as provided in Section 5.6) license (or sublicense), with the right to grant sublicenses in accordance with Section 5.3, under the Harpoon Patents, the Harpoon Know-How, and HarpoonÕs interests in the Joint Patents and the Joint Know-How, to Exploit the Licensed Compounds and Licensed Products in the Field in the Territory_ (b) an exclusive (including with regard to Harpoon and its Affiliates, except as provided in Section 5.6) license and right of reference, with the right to grant sublicenses and further rights of reference in accordance with Section 5.3, under the Regulatory Approvals and any other Regulatory Documentation that Harpoon or its Affiliates may Control with respect to the Licensed Compounds or Licensed Products solely for purposes of Exploiting the Licensed Compounds and Licensed Products in the Field in the Territory.",Exclusivity,Yes
