Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
WALABOT-HOME RESELLER AGREEMENT,Document Name,WALABOT-HOME RESELLER AGREEMENT
"Vayyar Imaging Ltd., ""Supplier"", Inde Living Holdings, Inc., ""Reseller"", Vayyar and Reseller shall be referred to individually as ""Party"" and collectively as ""Parties""., ""Reseller"", Inde Living Holdings, Inc., ""Supplier"", Vayyar Imaging Ltd.",Parties,"Vayyar Imaging Ltd. (""Supplier""); IndeLiving Holdings, Inc. (""Reseller"")(""Party"" and collectively as ""Parties"")"
31 day of July 2019,Agreement Date,07/31/2019,Effective Date,07/31/2019
"This Agreement shall become effective on the Effective Date and shall remain in effect for an initial period of 1 year (""Initial Term"").",Expiration Date,7/31/2020
"Thereafter, this Agreement shall automatically be renewed for successive 1-year terms (each a ""Renewal Term"", and together with the Initial Term, the ""Term"").",Renewal Term,successive 1 year
"Following the Initial Term, either Party may terminate this Agreement without cause upon written notice to the other Party of at least 3 months.",Notice Period To Terminate Renewal,3 months,Termination For Convenience,Yes
"This Agreement shall be governed by the laws of the State of New York and all disputes and controversies arising out of or in connection with the Agreement shall be brought exclusively before the competent courts in New York County, New York; provided however that judgment shall be enforceable in any country and that nothing in this Section shall prevent or restrict either Party from seeking interim relief in any competent jurisdiction as it may deem fit.",Governing Law,New York
Supplier and/or Reseller may assign or novate this Agreement and the rights and obligations under it to any of its affiliates or upon any merger or acquisition or the sale of all or substantially all of its assets relating to the Agreement.,Anti-assignment,Yes
Any purported assignment of rights in violation of this subsection is void.,Anti-assignment,Yes
"""MOQ"" means the minimum order quantity of Product units during the Initial Term, as set forth in Schedule 1.",Minimum Commitment,Yes
"If Reseller fails to submit Orders with an aggregate value equal to or greater than the MOQ, then Reseller shall pay Supplier a sum equal to the shortfall, within 30 days after the end of the Initial Term.",Minimum Commitment,Yes
"In connection with the foregoing appointment, Supplier hereby grants Reseller a non-transferable, revocable, limited right to resell, market, promote, stimulate interest in, and solicit Orders by Customers and/or End Users in the Territory for the Products and to provide services in connection with those activities.",License Grant,Yes,Non-Transferable License,Yes
"In addition to the foregoing, if, at the time of termination of this Agreement, Reseller shall have additional Product units in its inventory and is able to sell them to Customers and/or End Users (including, without limitation, any Product units for which Reseller has or is obligated to pay the Supplier the purchase price therefor but which have not yet been delivered to the Reseller by Supplier, which Supplier hereby agrees to either deliver as otherwise contemplated by this Agreement as if it had not terminated or to refund the purchase price therefor), then the licenses and appointments described in Section 2 shall remain in effect with respect to such unsold Product units (and such Section 2 shall not terminate) until the earlier of (i) the date on which the last Product in ResellerÕs inventory is sold to a Customer and/or End User, or (ii) 1 year from the date of the termination of this Agreement.",Post-termination Services,Yes
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, IN NO EVENT SHALL SUPPLIER BE LIABLE UNDER, OR OTHERWISE IN CONNECTION WITH, THIS AGREEMENT FOR: (A) ANY CONSEQUENTIAL, INDIRECT, SPECIAL, INCIDENTAL, OR PUNITIVE DAMAGES_ (B) ANY LOSS OF PROFITS, LOSS OF BUSINESS, LOSS OF REVENUE, OR LOSS OF ANTICIPATED SAVINGS_ (C) ANY LOSS OF, OR DAMAGE TO, DATA, REPUTATION, OR GOODWILL_ AND/OR (D) THE COST OF PROCURING ANY SUBSTITUTE GOODS OR SERVICES.",Cap on Liability,Yes
"ANY SUBSTITUTE GOODS OR SERVICES. THE AGGREGATE LIABILITY OF SUPPLIER UNDER, OR IN CONNECTION WITH, THIS AGREEMENT SHALL BE EQUAL TO THE LESSER OF: (i) ***_ AND (ii) ***.",Cap on Liability,Yes
