Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
CO-BRANDING CONTENT AGREEMENT,Document Name,CO-BRANDING CONTENT AGREEMENT
"MEDIALINX INTERACTIVE, L.P., ""MLX"", HEALTHCENTRAL.COM INC., ""HCI"", HEALTHCENTRAL.COM INC., ""MLX"", MEDIALINX INTERACTIVE, L.P.",Parties,"MEDIALINX INTERACTIVE, L.P. (""MLX""); HEALTHCENTRAL.com INC. (""HCI"")"
30th day of June 1999,Agreement Date,06/30/1999
"The effective date of the start of the Term will be from the Launch Date. The Parties have agreed that they will mutually approve the design of the      Co-Branded Site and that the launch date of the Co-Branded Site shall be      September 1st, 1999 unless mutually extended by the Parties as agreed to in writing.",Effective Date,09/01/1999
"The term of this Agreement shall be for a period of two (2) years (the ""Term"").",Expiration Date,09/01/2001
This Agreement shall be governed by and interpreted and enforced in accordance with the laws of the Province of Ontario and the Parties agree to abide by the jurisdiction of the Courts of Ontario.,Governing Law,"Ontario, Canada"
"Without limiting the      generality of the foregoing, HCI shall use all reasonable commercial      efforts to: 1) ensure that the hosting services provided in connection with      the Co-Branded Site are provided at the same standard as the hosting of the      Sympatico web site, and 2) ensure that the Co-Branded Site is available 7      days per week and 24 hours per day_",Most Favored Nation,Yes
Neither party shall permit advertising on the Co-Branded Site from an entity which is a competitor to the other party.,Non-Compete,Yes
"During the Term of this Agreement and for a period of six (6) months thereafter, MediaLinx shall not use or publicly disclose the data collected from users of the Co-Branded Site if such use is for the purpose of providing health information, advertisements, or products that compete with those that reside on the Co-Branded Site.",Non-Compete,Yes
"During the Term of the Agreement, and subject to the following requirements respecting Canadian content levels as set out in paragraphs 3(f), (g) and (h), HCI shall be the exclusive health content partner in the health section of the Sympatico web site, provided however, that nothing contained herein shall prevent MediaLinx from entering into an agreement with other parties for: i) a health based web directory_ or ii) other health related content whose content does not compete with the content contained on the Co-Branded Site_ which in no event shall receive no more than one fifth (1/5th) of the promotion and which shall constitute no more than one fifth (1/5th) of the total health related content which resides on the home page of the Sympatico Health section.",Exclusivity,Yes
"If, at any time during the Term of this Agreement, HCI fails to meet the content requirements set out in paragraphs 3(f), (g) and (h), HCI shall no longer be entitled to be the exclusive health content partner in the health section of the Sympatico web site.",Exclusivity,Yes
"If, at any time during the Term of this Agreement, HCI fails to meet the content requirements set out in paragraphs 3(f), (g) and (h), HCI shall no longer be entitled to be the exclusive health content partner in the health section of the Sympatico web site. HCI shall not either directly or indirectly license or deliver content to or carry on or be engaged with any other Canadian portal web site, being a Web site which aggregates and markets a variety of content directed to multiple communities of interest and which offers products, tools and services to a broad base of Canadian end users.",Exclusivity,Yes
