Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
OUTSOURCE TECHNOLOGY DEVELOPMENT AGREEMENT,Document Name,OUTSOURCE TECHNOLOGY DEVELOPMENT AGREEMENT
"Document Security Systems, Inc., ""DSS"", HotApp International Ltd., ""Developer"", HotApp International Ltd., ""DSS"", Document Security Systems, Inc.",Parties,"Document Security Systems, Inc. (""DSS""); HotApp International Ltd. (""Developer"")"
"1s t day of March, 2018",Agreement Date,03/01/2018,Effective Date,03/01/2018
"The initial term of this Agreement shall commence on the Effective Date, and shall continue thereafter for a period of twelve (12) months (the ""Initial Term"").",Expiration Date,03/01/2019
"The Initial Term shall automatically renew for one-month periods thereafter unless either party provides 30- days advance notice of termination, unless earlier terminated pursuant to Section 2.2 hereof",Renewal Term,successive 1 month
"The Initial Term shall automatically renew for one-month periods thereafter unless either party provides 30- days advance notice of termination, unless earlier terminated pursuant to Section 2.2 hereof.",Notice Period To Terminate Renewal,30 days
This Agreement shall be governed in accordance with the laws of the State of New York without regard to conflict of laws principles.,Governing Law,New York
"Either party may terminate this Agreement prior to expiration of the Term: (i) upon thirty (30) days prior written notice, or (ii) immediately upon written notice to the other party if: (a) the other party declares or a petition is filed in any court for insolvency or bankruptcy and such petition is not dismissed in thirty (30) days; (b) the other party reorganizes under the relevant bankruptcy act or any similar statute in such partyÕs jurisdiction of incorporation; (c) the other party consents to the appointment of a trustee in bankruptcy or a receiver or similar entity; or (d) the Developer breaches DSSÕs Technology or Intellectual Property rights contained herein.",Termination For Convenience,Yes
The rights of Developer under this Agreement shall immediately cease and be terminated upon the sale or transfer of all or substantially all of the assets of Developer unless an assignment of such rights pursuant to such sale or transfer has been previously approved in writing by DSS.,Change of Control,Yes
"The rights of Developer under this Agreement shall immediately cease and be terminated upon the sale or transfer of no less than a majority of, or a controlling interest in or over, the voting capital or ownership capital of Developer unless an assignment of such rights pursuant to such sale or transfer has been previously approved in writing by DSS.",Change of Control,Yes
"Developer may not assign or transfer this Agreement, nor its rights and obligations hereunder, by operation of law or otherwise, to any third party without the prior express written approval of DSS. Any purported assignment without the consent of DSS shall be void.",Anti-assignment,Yes
"Subject to DeveloperÕs expressly granted rights under this Agreement, Developer acknowledges and agrees that DSS shall own all right, title, and interest in and to the Technology, the Improvements, its Intellectual Property, and all future derivative works derived therefrom or developed hereunder.",IP Ownership Assignment,Yes
"Developer hereby assigns and shall assign in the future to DSS all rights it may acquire by operation of law or otherwise in the Technology or Improvements, along with the goodwill associated therewith.",IP Ownership Assignment,Yes
"Subject to the terms and conditions set forth herein, DSS hereby grants to Developer, and Developer accepts from DSS, for the Term, a non-exclusive, limited, and non-transferable license to install and use the Technology for the sole purpose of developing the Improvements (as defined hereunder) thereto for the benefit of DSS (the ""Technology Development Services License"").",License Grant,Yes,Non-Transferable License,Yes
"Developer agrees that it will not at any time (i) do or cause to be done any act or thing contesting or in any way impairing any part of such right, title and interest or (ii) represent, expressly or by implication that it has any right, title or interest in or to any of the foregoing other than as expressly set forth herein.",Covenant Not To Sue,Yes
"Developer may not contest the validity of, by act or omission jeopardize, or take any action inconsistent with, DSSÕs ownership rights or goodwill in the Technology or Improvements, including any attempted registration of the Technology or Improvements in Hong Kong or in any other legal jurisdiction, or any attempts to license the same to any unauthorized third Person.",Covenant Not To Sue,Yes
