Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
JOINT VENTURE AGREEMENT,Document Name,JOINT VENTURE AGREEMENT
"IMPCO Technologies Inc., ÔIMPCOÕ, which terms shall unless repugnant to the subject or context mean and include its successors and permitted assigns, MINDA INDUSTRIES LIMITED, ÔMILÕ, which terms shall unless repugnant to the subject or context mean and include its successors and permitted assigns, Mr. Nirmal K. MINDA, ÔMINDAÕ, which terms shall unless repugnant to the subject or context mean and include his heirs, executors, administrators or successors and permitted assigns, Mr. Nirmal K. MINDA, ÔMILÕ, which terms shall unless repugnant to the subject or context mean and include its successors and permitted assigns, MINDA INDUSTRIES LIMITED, ÔIMPCOÕ, which terms shall unless repugnant to the subject or context mean and include its successors and permitted assigns, IMPCO Technologies Inc.",Parties,"IMPCO Technologies Inc. (""IMPCO"" include its successors and permitted assigns); MINDA INDUSTRIES LIMITED (""MIL"" include itssuccessors and permitted assigns), Nirmal K. MINDA (""MINDA"" include his heirs, executors, administrators or successors and permitted assigns)"
"this the 18th day of May, 2001",Agreement Date,05/18/2001
This Agreement shall become effective on the date of execution and shall continue in force and effect for an indefinite term thereafter unless terminated pursuant to the provisions of Article 16 or by all the Parties in writing.,Effective Date,05/18/2001,Expiration Date,perpetual
his Agreement shall be governed by and construed in accordance with the laws of India and the Delhi Courts shall have exclusive jurisdiction over any legal proceedings in respect of this Agreement.,Governing Law,India
"MINDA/MIL, since it will have access to the Technical Know-How which it would not have had otherwise, expressly agree that:     (a)   during the term of the Agreement, and thereafter for a period of five (5) years after the termination of the Agreement (such termination being termination by IMPCO due to default by MINDA/MIL), MIL/MINDA shall not, directly or indirectly, either alone or collectively or through any of its associates, affiliates, including subsidiaries or any entity owned or controlled by it enter into another joint venture agreement or marketing/distribution agreement with any company or persons in respect   15  of the marketing and sale of goods similar to the Products in the Territory. by using the Technical Know-How",Non-Compete,Yes
"IMPCO expressly agrees that during the existence of this Agreement, IMPCO shall not enter into any other Joint Venture Agreement or Marketing/Distribution Agreement, with any company or person(s) in the Territory with respect to the Products.",Exclusivity,Yes
"After the expiry of the five (5) year period, if a Party intends to sell any or all of its shares of the JVC (the ""Transferor""), it shall first make an offer by a written notice to the other Parties (the ""Transferee"") to purchase such shares and the other Parties shall have the right to purchase the offered shares in proportion of their existing shareholding. .",ROFR/ROFO/ROFN,Yes
"If any of the Transferees intends to purchase all or any portion of the said shares so offered, such Party shall dispatch a written notice of acceptance to the transferor describing the number of the shares it intends to purchase within three (3) weeks after the date of receipt of the offer. The sale price of the shares shall be determined in terms of Article 6.3(c) hereof.",ROFR/ROFO/ROFN,Yes
"Pursuant to Article 6.2, if a Transferee does not, in whole or in part, accept to purchase the shares offered in terms of Article 6.2 by the Transferor, the other Transferee may purchase all the shares offered by the Transferor at a price determined as per Article 6.3(c) hereof.",ROFR/ROFO/ROFN,Yes
"If no Transferee accepts to purchase the shares offered by the Transferor, in whole or in part, the Transferor may sell such shares to a third party on terms and conditions no more favourable than those offered to the Transferees, including the price of the shares.",ROFR/ROFO/ROFN,Yes
"Each party hereto agrees not to transfer, sell, pledge, mortgage or make other disposition (whether by way of fixed or floating charge) or encumbrance on its shares in the JVC except as otherwise provided in this Agreement and/or except by consent of the Parties to this Agreement and in the manner laid out in the M&A.",Anti-assignment,Yes
No party hereto may transfer its shares in the JVC for a period of five (5) years from the date of allotment except as provided above.,Anti-assignment,Yes
"In case of transfer of shares by the Transferor to any third party in pursuance of the above Articles, the following conditions will apply:     i)   The third party shall enter into a deed of adherence agreeing to be bound by the provisions of this Agreement_ and     ii)   The third party shall not have a conflict of interest and should not be strategically incompatible to the other Parties to the Agreement.",Anti-assignment,Yes
"If the JVC fails to sell [one million dollars (US$ 1,000,000.00)] worth of Products in the Territory within [eighteen (18)] months from the date of execution of this Agreement, both the Parties will mutually discuss whether to continue or terminate the Agreement.",Minimum Commitment,Yes
"Provided, however, that in the event the termination of this Agreement is followed by a sale of all of the shares held by IMPCO in the JVC to MINDA/MIL, the JVC will have a right to continue to use the Technical Know How already received and absorbed on the condition that royalty payments under the TAA have been paid by the JVC to IMPCO or will be paid, as the case may be, for a minimum period of five (5) years, as provided in the TAA.",Post-termination Services,Yes
"The Parties agree that during the pendency of the winding up, the JVC will be allowed to use the Technical Know How to the extent the same is necessary for the purpose of implementing any orders pending in favour of its customers.",Post-termination Services,Yes
"During reasonable business hours IMPCO and MIL/MINDA will have the right to inspect, and make copies of any and all of the JVC Ôs business records, including but not limited to financial records, books, accounts and reports. In exercising such right IMPCO and MIL/MINDA will be reasonable.",Audit Rights,Yes
"During reasonable business hours IMPCO and MIL/MINDA will have the right to visit, enter and inspect each plant and other establishment at which the JVC manufactures and/or processes the Products. In exercising such right, the Parties will be reasonable.",Audit Rights,Yes
