Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
MASTER JOINT DEVELOPMENT AGREEMENT,Document Name,MASTER JOINT DEVELOPMENT AGREEMENT
"iBio Inc., Beijing CC-Pharming Ltd., ""CC-Pharming"", Beijing CC-Pharming Ltd., iBio Inc.",Parties,"iBio Inc.; Beijing CC-Pharming Ltd. (""CC-Pharming"")"
"August 08, 2018",Agreement Date,08/08/2018
"The term of this Agreement (""Term"") will begin on the date this Agreement is signed by the last signatory (""Effective Date"") and remain in effect for [***]_ provided, however, that the terms of this Agreement shall remain applicable to any SOW that was executed by the Parties prior to the expiration or termination of this Agreement but whose period of performance extends beyond the expiration or termination of this Agreement.August 08, 2018",Effective Date,08/08/2018
"The term of this Agreement (""Term"") will begin on the date this Agreement is signed by the last signatory (""Effective Date"") and remain in effect for [***]; provided, however, that the terms of this Agreement shall remain applicable to any SOW that was executed by the Parties prior to the expiration or termination of this Agreement but whose period of performance extends beyond the expiration or termination of this Agreement.",Expiration Date,(None entered)
"This Agreement is governed by the laws of the State of Texas, without regard to the conflict of laws provisions thereof.",Governing Law,Texas
"The Creating Party grants to the other Party a time-limited first right to negotiate a commercial license to use, reproduce, display, and perform commercially valuable Copyright Materials for commercial purposes, and to distribute and/or sublicense such commercially valuable Copyright Materials to third parties.",ROFR/ROFO/ROFN,Yes
Neither Party may assign its rights or delegate any of its duties under this Agreement without the prior written consent of the other Party.,Anti-assignment,Yes
Any unauthorized assignment of this Agreement is void.,Anti-assignment,Yes
"All rights to Agreement Inventions, patentable or non-patentable, made jointly by employees of iBio and employees of CC-Pharming (""Joint Inventions"") will belong jointly to iBio and CC-Pharming, with inventorship determined as described in 35 U.S.C. ¤ 262 and (Chin Patent Law).",Joint IP Ownership,Yes
Copyright Materials that are jointly created by the Parties shall be jointly owned.,Joint IP Ownership,Yes
"iBio hereby grants to CC-Pharming for the term of this Agreement, a nonexclusive, non- assignable, non-sublicensable, limited right and license to use iBioÕs Technology in order to manufacture, process, prepare, and obtain regulatory approval for the development and production of Product(s) and work to be performed under this Agreement.",License Grant,Yes,Non-Transferable License,Yes
"Except for claims arising out of Articles 4.3 and 7.0, or as may be set forth in a SOW, neither Party will be liable for any consequential damages, lost profits, lost savings, loss of anticipated revenue, or any exemplary, punitive, special or indirect damages, even if advised of their possibility.",Uncapped Liability,Yes,Cap on Liability,Yes
