Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
FORM OF CONTENT LICENSE AGREEMENT,Document Name,FORM OF CONTENT LICENSE AGREEMENT
"Beijing Sun Seven Stars Culture Development Limited, ""Licensor"", YOU ON DEMAND HOLDINGS, INC., ""Licensee"", YOU ON DEMAND HOLDINGS, INC., ""Licensor"", Beijing Sun Seven Stars Culture Development Limited",Parties,"Beijing Sun Seven Stars Culture Development Limited (""Licensor""); YOU ON DEMAND HOLDINGS, INC (""Licensee"")"
"___________, 2015",Agreement Date,[]/[]/2015
"__________, 2015",Effective Date,[]/[]/2015
"The Term of this Agreement (the ""Term"") shall commence on the Effective Date listed above and continue for twenty (20) years, unless sooner terminated as provided in Section 7(b).",Expiration Date,[]/[]/2035
"This Agreement shall be governed by and construed in all respects in accordance with the laws of the State of New York, without giving effect to any conflicts of laws principles., The merits of the dispute shall be resolved in accordance with the laws of the State of New York, without reference to its choice of law rules., This Agreement shall be governed by and construed in all respects in accordance with the laws of the State of New York, without giving effect to any conflicts of laws principles.",Governing Law,New York
"If, during the Term, Licensor develops or obtains the rights to license any live action or animated feature-length motion picture (each an ""Additional Title""), Licensor shall give Licensee the first right of negotiation for each Additional Title (i.e., the preferred vendor).",ROFR/ROFO/ROFN,Yes
"hould Licensee agree to be the vendor for an Additional Title, Licensor and Licensee will negotiate in good faith to mutually agree upon the pricing and terms for each Additional Title in an amendment to this Agreement.",ROFR/ROFO/ROFN,Yes
"Licensee shall have the right to assign or sublicense any or all of its rights granted under this Agreement, in whole or in part, to third parties exhibiting the Titles in the ordinary course of LicenseeÕs business with prior written notice to Licensor. E",Anti-assignment,Yes
"Except as otherwise specified in the previous sentence, Licensee may not sublicense any of its rights under Section 2(a) without LicensorÕs prior written consent, which shall not be unreasonably withheld or delayed.",Anti-assignment,Yes
"Neither party may assign its rights, duties or obligations under this Agreement to any third party in whole or in part, without the other partyÕs prior written consent, except that (i) Licensee may assign its rights and obligations to this Agreement to any of its Affiliate or subsidiaries with the prior written consent of the Licensor, and (ii) Licensor may assign its rights and obligations in this Agreement to its Affiliates or subsidiaries and either party may assign this Agreement in its entirety to any purchaser of all or substantially all of its business or assets pertaining to the line of business to which this Agreement relates or to any Affiliate of the party without the other partyÕs approval.",Anti-assignment,Yes
"For content listed in Schedule A6 of Schedule A, Licensor will only grant Licensee certain profit participation rights, for certain durations, as detailed and set forth in Schedule A6 of Schedule A.",Revenue/Profit Sharing,Yes
Such Advertising shall be determined by Licensee in its sole discretion and Licensee shall be entitled to retain all revenues resulting from the sale of Advertising.,Revenue/Profit Sharing,Yes
"The consideration for the licenses granted by Licensor to Licensee under this Agreement is the issuance of the IP Common Shares as defined in the Securities Purchase Agreement, dated as of November 23, 2015, by and among the Licensee and the Licensor (the ""Share Consideration"").",Revenue/Profit Sharing,Yes
"In exchange for the Share Consideration, Licensor hereby grants to Licensee a non-exclusive, royalty-free, perpetual and non-perpetual license (subject to the duration for which Licensor has the rights to each Title as specified in Schedule A1-A5 of Schedule A) to:   i. license, exhibit, distribute, reproduce, transmit, perform, display, and otherwise exploit and make available each Title within the Territory in any language by VOD (including SVOD, TVOD, AVOD and free VOD) for Internet, TV and mobile platforms (including, but not limited to, OTT streaming services, Sites and Mobile Sites), except that for Titles listed in Schedule A1-A2 of Schedule A, Licensor can only grant Licensee distribution rights to up to six (6) MSOs plus two (2) of ChinaÕs Internet TV license holders or their OTT Internet- based video partners by VOD (including SVOD, TVOD, AVOD and free VOD).",License Grant,Yes,Irrevocable or Perpetual License,Yes
"Licensor hereby grants Licensee a non-exclusive license to use the logos, trademarks and service marks used by Licensor to identify the Titles (collectively, ""Licensor Marks"") in connection with the use of the Titles as set forth in this Agreement. Li",License Grant,Yes
"Sections 2(a), 2(b), 2(c), 2(d), 3, and 11 shall survive the expiration or termination of this Agreement: (i) in perpetuity with respect to Titles for which the licenses granted in Section 2(a) are perpetual_ and (ii) for the duration of the applicable license term specified in Schedule A with respect to Titles for which the license term specified in Schedule A extends beyond the expiration or termination of this Agreement.",Irrevocable or Perpetual License,Yes
"EXCEPT FOR THE ABOVE INDEMNIFICATION OBLIGATIONS AND FOR BREACHES OF SECTION 14, NEITHER PARTY SHALL BE LIABLE TO THE OTHER FOR ANY INCIDENTAL, CONSEQUENTIAL, SPECIAL OR PUNITIVE DAMAGES ARISING OUT OF THIS AGREEMENT (INCLUDING, BUT NOT LIMITED TO, LOSS OF PROFITS), WHETHER IN AN ACTION OR ARISING OUT OF BREACH OF CONTRACT, TORT OR ANY OTHER CAUSE OF ACTION EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",Uncapped Liability,Yes,Cap on Liability,Yes
