Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
CO-BRANDING AGREEMENT,Document Name,CO-BRANDING AGREEMENT
"VerticalNet, Inc., ""VerticalNet"", Impresse Corporation, ""Impresse"", Impresse Corporation, ""VerticalNet"", VerticalNet, Inc.",Parties,"VerticalNet, Inc. (""VerticalNet""); Impresse Corporation (""Impresse"")"
"March 3, 2000",Agreement Date,03/03/2000,Effective Date,03/03/2000
The Term of this Agreement shall begin on the Effective Date and shall end fifteen months therefrom.,Expiration Date,06/03/2001
This Agreement shall be governed by and interpreted under the laws of the State of Delaware without regard to its conflicts of law provisions.,Governing Law,Delaware
"Beginning on the Launch Date and continuing during the Term, VerticalNet shall not place advertising relating to the commercial printing entities listed on Exhibit ""A,"" or other such entities subsequently identified by Impresse, on the VerticalNet Area of the Co-Branded Site.",Non-Compete,Yes
"Except as otherwise set forth herein, neither party shall transfer, assign or cede any rights or delegate any obligations hereunder, in whole or in part, whether voluntarily or by operation of law, without the prior written consent of the other party, which consent may be withheld at the other party's reasonable business discretion; provided, however, that either party may transfer this Agreement without prior written consent of the other to an Affiliate of such party, or to the surviving party in a merger or consolidation, or to a purchaser of all or substantially all of its assets.",Anti-assignment,Yes
"Impresse shall pay VerticalNet [*]of Impresse VerticalNet Revenue accruing during the term of this Agreement, payable to VerticalNet on or before the thirtieth day of the calendar quarter immediately following the quarter in which such revenue was collected by Impresse.",Revenue/Profit Sharing,Yes
"If government regulations prevent Impresse from sharing any revenues associated with Impresse Services, VerticalNet and Impresse shall negotiate in good faith a compensation structure that seeks to provide VerticalNet with compensation equal to that set forth in Section 4.6  [REVENUE SHARING].",Revenue/Profit Sharing,Yes
All prices for such Banners and Newsletters shall be offered to Impresse at a [*]% discount off of VerticalNet's then current prices for similar Banners or Newsletters.,Price Restrictions,Yes
"During the Term of this Agreement, Impresse agrees to purchase from VerticalNet Banners and Newsletters for a total price of at least $[*] as set forth below in this Section 4.3  [BANNER/NEWSLETTER PURCHASE COMMITMENT].",Minimum Commitment,Yes
"Impresse agrees to purchase at least $[*] of such Banners and Newsletters in each calendar quarter after the Effective Date until a total of $[*] have been purchased, provided, the total dollar amount purchased by Impresse in any calendar quarter shall not consist of greater than 70% of either Banners or Newsletters.",Minimum Commitment,Yes
"Upon termination of the Agreement, VerticalNet and Impresse shall jointly own all User Data.",Joint IP Ownership,Yes
"Impresse hereby grants to VerticalNet a non-exclusive, non-transferable, royalty-free, right and license to link to the Impresse Area of the Co-Branded Site.",License Grant,Yes,Non-Transferable License,Yes
Impresse shall permit Users who access the Co-Branded Site to access and use Co-Branded Content from the Co-Branded Site for the personal use of such Users in accordance with the then-current terms of Impresse's standard license agreement governing the use of such Co-Branded Content.,License Grant,Yes
"During the term of this Agreement and for one year thereafter, VerticalNet shall have the right to appoint a certified public accountant to audit Impresse's financial records relating to such payment to verify the accuracy of Impresse's financial records in order to verify the amount of the payments owed and/or paid hereunder, but no more frequently than once per year.",Post-termination Services,Yes,Audit Rights,Yes
VerticalNet shall give reasonable advance notice to Impresse of such audit and each audit shall be conducted in a manner that does not cause unreasonable disruption to the conduct of business by Impresse.,Audit Rights,Yes
"Except for claims under Sections 9.4  [INDEMNIFICATION BY IMPRESSE] and 9.5  [INDEMNIFICATION BY VERTICALNET] Source: IMPRESSE CORP, S-1/A, 3/22/2000hereof, neither party may bring a claim or action regardless of form, arising out of or related to this Agreement, including any claim of fraud or misrepresentation, more than two years after the cause of action accrues or becomes known, whichever is later.",Uncapped Liability,Yes,Cap on Liability,Yes,Covenant Not To Sue,Yes
"Except for claims under Sections 9.4  [INDEMNIFICATION BY IMPRESSE] and 9.5  [INDEMNIFICATION BY VERTICALNET] hereof, neither party may bring a claim or action regardless of form, arising out of or related to this Agreement, including any claim of fraud or misrepresentation, more than two years after the cause of action accrues or becomes known, whichever is later.",Uncapped Liability,Yes,Covenant Not To Sue,Yes
"EXCEPT IN CONNECTION WITH A BREACH BY EITHER PARTY OF ARTICLE 7 OR SECTION 8.1.5  [REPRESENTATIONS AND WARRANTIES] (v) AND THE INDEMNIFICATION OBLIGATIONS OF IMPRESSE UNDER SECTION 9.4(i)(d)  [INDEMNIFICATION BY IMPRESSE] AND THE INDEMNIFICATION OBLIGATIONS OF VERTICALNET UNDER SECTION 9.5(i)(d)  [INDEMNIFICATION BY VERTICALNET], NEITHER PARTY WILL BE LIABLE FOR ANY SPECIAL, INDIRECT, CONSEQUENTIAL, EXEMPLARY OR INCIDENTAL DAMAGES ARISING OUT OF OR RELATED TO THIS AGREEMENT, HOWEVER CAUSED AND UNDER ANY THEORY OF LIABILITY (INCLUDING NEGLIGENCE), EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",Uncapped Liability,Yes,Cap on Liability,Yes
