Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
TURN - KEY MANUFACTURING AGREEMENT,Document Name,TURN - KEY MANUFACTURING AGREEMENT
"INVASIX LTD., ""Customer"", FLEXTRONICS ISRAEL LTD., ""Contractor."", FLEXTRONICS ISRAEL LTD., ""Customer"", INVASIX LTD.",Parties,"INVASIX LTD. (""Customer""); FLEXTRONICS ISRAEL LTD. (""Contractor"");"
1.4.2011,Effective Date,04/01/2011
This Agreement shall commence on the Effective Date and shall continue for an initial term of year as of the Effective Date.,Expiration Date,04/01/2012
"This Agreement shall automatically be renewed for successive one (1) year increments unless either party request in writing, at least ninety (90) days prior to the anniversary date, that this Agreement not to be renewed.",Renewal Term,successive 1 year,Notice Period To Terminate Renewal,90 days
"The construction, interpretation and performance of this Agreement and all transactions under it shall be governed by the law of the State of Israel, without giving effect to choice of law rules, and both Parties consent to jurisdiction by the courts of the City of Haifa.",Governing Law,Israel
"During the Term, of this Agreement and for an additional period of two (2) years from the date of termination of this Agreement, the Contractor undertakes not to develop on its own account any Product.",Non-Compete,Yes
"The Contractor and the Customer will not be allowed to employ employees of the other party, directly or indirectly, for one (1) year from the date the employee has ceased to be employed by the other party.",No-Solicit of Employees,Yes
"Notwithstanding anything to the contrary stated in this Agreement, either party may terminate this Agreement at any time without cause by giving to the other party, not less than four (4) months written notice.",Termination For Convenience,Yes
"Neither Party shall have the right to assign or otherwise transfer its rights or obligations under this Agreement except with the prior written consent of the other Party, not to be unreasonably withheld or delayed.",Anti-assignment,Yes
"In order to manage demand fluctuations, Contractor shall maintain an amount of additional units of each Product as FGI, in a minimum level of two (2) weeks of supply and a maximum of four (4) weeks of supply of each Product set forth in the most recent CustomerÕs Forecast.",Minimum Commitment,Yes
"Contractor shall permit Customer to audit its quality procedures, upon three (3) business day advance written notice to Contractor and shall provide all assistance which is reasonably necessary for Customer to evaluate the quality of the Products.",Audit Rights,Yes
"Upon any failure of a Product to comply with the above warranty, ContractorÕs sole obligation, and CustomerÕs sole remedy, is for Contractor, at its option, to promptly repair or replace such Product and return it to Customer freight prepaid.",Cap on Liability,Yes
"IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER FOR ANY INCIDENTAL, CONSEQUENTIAL, SPECIAL OR PUNITIVE DAMAGES OF ANY KIND OR NATURE ARISING OUT OF THIS AGREEMENT OR THE SALE OF PRODUCTS, WHETHER SUCH LIABILITY IS ASSERTED ON THE BASIS OF CONTRACT, TORT (INCLUDING THE POSSIBILITY OF NEGLIGENCE OR STRICT LIABILITY), OR OTHERWISE, EVEN IF THE PARTY HAS BEEN WARNED OF THE POSSIBILITY OF ANY SUCH LOSS OR DAMAGE.",Cap on Liability,Yes
"IN ADDITION, NOTWITHSTANDING ANYTHING TO THE CONTRARY HEREIN OR OTHERWISE, THE PARTIES ACKNOWLEDGE THAT AS AN ELECTRONIC MANUFACTURING SERVICES PROVIDER WORKING ON A COST PLUS BASIS SUPPLIER MUST LIMIT ITS LIABILITY IN CONNECTION HEREWITH AND THEREFORE, CONTRACTORÕS LIABILITY IS FURTHER LIMITED IN ANY EVENT, UNDER ANY LAW, RULE OR REGULATION, TO ANY AMOUNT IT ACTUALLY RECEIVED IN CONSIDERATION OF THE MANUFACTURING SUBJECT MATTER OF THE RESPECTIVE CLAIM OR DEMAND BY CUSTOMER OR ANY THIRD PARTY.",Cap on Liability,Yes
"For the purpose of this Agreement, ""Warranty Period"" shall mean twelve (12) months as of the date of delivery to Customer.",Warranty Duration,Yes
"Contractor represents and warrants that, for the Warranty Period, the Products (i) will be free from defects in workmanship, material (only to the same extent as the original manufacturer of the material warrants the Contractor), and manufacture; (ii) will comply the Specifications IPC610.B standard (in all material respects and unless otherwise was instructed by Customer).",Warranty Duration,Yes
Customer specifically agrees to maintain insurance coverage for any finished Products or materials which passes to Customer pursuant to this Agreement and which is stored on the premises of Contractor.,Insurance,Yes
