Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
EXCLUSIVE DISTRIBUTOR AGREEMENT,Document Name,EXCLUSIVE DISTRIBUTOR AGREEMENT
"Erchonia Corporation, ""Erchonia"", InnerScope Hearing Technologies Inc, ""Distributor"", InnerScope Hearing Technologies Inc, ""Erchonia"", Erchonia Corporation",Parties,"Erchonia Corporation (""Erchonia""); InnerScope Hearing Technologies Inc (""Distributor"")"
"Unless terminated earlier as provided in this agreement, this Agreement shall have an initial term of three (3) years.",Expiration Date,(None entered)
This agreement shall automatically renew for a period of three (3) years and upon the parties mutual agreement on new minimum performance goals for the renewal period.,Renewal Term,3 years
"This Agreement shall be governed in all respects by the laws of the United States and the State of Florida, except for conflict of laws provisions.",Governing Law,Florida
"During the term of this agreement, Distributor shall not market, sell advertise or promote the sale or use of any product or device which is competitive with or substantially similar to the Products, without the prior express written consent of Erchonia, nor shall they assist any third party in doing so.",Non-Compete,Yes
"Subject to the terms set forth in this agreement, Erchonia grants Distributor the exclusive, non- transferable right and license to promote, distribute and sell the Products identified in Exhibit A to those type of customer specified in Exhibit B and only within the Territory specified in Exhibit B.",Exclusivity,Yes,License Grant,Yes,Non-Transferable License,Yes
"Distributor shall not do anything which is contrary to or which in ErchoniaÕs reasonable business judgment is harmful to its honor, goodwill or reputation.",Non-Disparagement,Yes
Distributor may not assign to any person any duties or obligations arising under this Agreement without ErchoniaÕs prior written consent (which consent may be withheld in ErchoniaÕs sole discretion).,Anti-assignment,Yes
"Erchonia may not assign any duties or obligations arising under this Agreement, except to a successor who acquires substantially all of the assets of Erchonia.",Anti-assignment,Yes
Erchonia may revise its prices from time to time and deliver a written 90 day notice of the reasonable price revision to Distributor_ provided that Erchonia agrees that the prices listed in Exhibit A shall not be increased during the first 90 days of this agreement.,Price Restrictions,Yes
Distributor agrees that during the term of this agreement it meet the minimum performance goals set forth in Exhibit C to this agreement.,Minimum Commitment,Yes
"Failure to meet these minimum performance goals for any period, shall, at ErchoniaÕs option (i) be considered a breach of this agreement for which Erchonia shall have all the rights and remedies provided for herein upon a breach of this agreement, including termination of this agreement, or (ii) shall give Erchonia to terminate or limit the exclusivity provisions of this agreement",Minimum Commitment,Yes
"In addition, Erchonia may require reasonable minimum purchasing requirements for each run of private labeled products.",Minimum Commitment,Yes
Minimum Performance wonÕt be determined until FDA 50k market clearance is obtained.,Minimum Commitment,Yes
Distributor shall only distribute or sell the Products to customers who are licensed health care professionals and meet the other requirements set forth in Exhibit B.,License Grant,Yes
Distributor shall not sell or export the Products outside the United States without prior written consent of Erchonia.,License Grant,Yes
"During the term of this Agreement, Erchonia grants Distributor a non-exclusive, non-transferable license to use the Trademarks for advertising and promotion of Products.",License Grant,Yes,Non-Transferable License,Yes
"All such information shall be available for inspection by Erchonia, upon reasonable notice.",Audit Rights,Yes
"IN NO EVENT SHALL Erchonia BE LIABLE FOR ANY LOSS OF PROFIT OR ANY OTHER COMMERCIAL DAMAGE, INCLUDING BUT NOT LIMITED TO SPECIAL, INCIDENTAL, CONSEQUENTIAL OR OTHER INDIRECT DAMAGES UNDER ANY CAUSE OF ACTION ARISING OUT OF OR RELATING TO THIS AGREEMENT, INCLUDING, WITHOUT LIMITATION, CLAIMS ARISING FROM MALFUNCTION OR DEFECTS IN THE PRODUCTS.",Cap on Liability,Yes
