Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
PRODUCT DEVELOPMENT AND CO-BRANDING AGREEMENT,Document Name,PRODUCT DEVELOPMENT AND CO-BRANDING AGREEMENT
"INTEGRITY INCORPORATED, ""Integrity"", TIME LIFE, INC., d/b/a Time Life Music, ""TL"", d/b/a Time Life Music, TIME LIFE, INC., ""Integrity"", INTEGRITY INCORPORATED",Parties,"INTEGRITY INCORPORATED (""Integrity""); TIME LIFE, INC. d/b/a Time Life Music (""TL"")"
10th day of January 2000,Agreement Date,01/10/2000
"This agreement shall commence as of date first above written, and          shall Continue through December 31, 2004 (""the Term"").",Expiration Date,12/31/2004
"This Agreement has been entered into in the State of                   Tennessee, and the validity, interpretation and legal effect                   of this Agreement will be governed by the laws of the State of                   Tennessee applicable to contracts entered into and performed                   entirely within the State of Tennessee.",Governing Law,Tennessee
"If for any reason, Integrity and TL are subject to lower ""free                   goods"" limits by any third party license, the foregoing shall                   be adjusted to comply with any such license(s).",Most Favored Nation,Yes
Integrity will also manufacture the                   Product and sell to TL its requirements for resale.,Exclusivity,Yes
"TL will hold exclusive worldwide                   rights to promote and sell the product through the following                   distribution channels: Outgoing telemarketing, General Market                   retail, and General Market catalogs, and exclusive rights                   within the United States for Television Direct response.",Exclusivity,Yes,License Grant,Yes
"Integrity will hold exclusive                   worldwide rights to promote and sell the product to/through                   the following distribution channels: Christian retail (CBA or                   Christian Booksellers Association markets), direct mail                   (including continuity sales, church sales, digital and                   e-commerce sales.)",Exclusivity,Yes
"Integrity will, upon receipt of approved purchase orders from                   TL, sell to TL in non-returnable box lot quantities, TL's                   requirements products rates calculated on the following basis                   (plus freight).",Exclusivity,Yes
"Either party may, at its election, assign this Agreement or          any of its rights or delegate any of its obligations hereunder, in          whole or in part, to any person, firm or corporation owning or          acquiring all or a substantial portion of its assets, to any person,          firm or corporation that is related to it as an affiliate,                                        7    10          subsidiary or otherwise, or to any person, firm or corporation into          which or with it might merge or consolidate.",Anti-assignment,Yes
"In the event of such an Source: INTEGRITY MEDIA INC, 10-K405, 3/29/2001         assignment by either party of its rights to an unrelated third party,          the other party shall be given written notice, then in such event the          other party may upon six-months (6-months) written notice terminate          this Agreement.",Anti-assignment,Yes
"In the event of such an assignment by either party of its rights to an unrelated third party, the other party shall be given written notice, then in such event the other party may upon six-months (6-months) written notice terminate this Agreement.",Anti-assignment,Yes
"Either party may, at its election, assign this Agreement or any of its rights or delegate any of its obligations hereunder, in whole or in part, to any person, firm or corporation owning or acquiring all or a substantial portion of its assets, to any person, firm or corporation that is related to it as an affiliate, subsidiary or otherwise, or to any person, firm or corporation into which or with it might merge or consolidate.",Anti-assignment,Yes
"On sales of recorded products pursuant to this Agreement (less                   any returns) Integrity will pay to TL royalties in the amount                   of [**]/1/ ($[**]/1/) for each and every unit of the product                   sold by Integrity in the United States pursuant to this                   Agreement, and [**]/1/ the foregoing rate or [**]/1/ percent                   ([**]/1/%) of Integrity's net receipts, whichever is less, on                   subject products outside the United States.",Revenue/Profit Sharing,Yes
"On sales of printed products (song books) pursuant to this                   Agreement (less any returns) Integrity will pay to TL                   royalties in the amount of [**]/1/ ($[**]/1/) for each and                   every unit of the product sold by Integrity in the United                   States pursuant to this Agreement, and [**]/1/ the foregoing                   rate or [**]/1/ percent ([**]/1/%) of Integrity's net                   receipts, whichever is less, on subject products outside the                   United States.",Revenue/Profit Sharing,Yes
On sales of products pursuant to this          Agreement (less any returns) TL will pay to Integrity royalties in the          amount of [**]/1/ ($[**]/1/) for each and every unit of the product          sold by it pursuant to this Agreement.,Revenue/Profit Sharing,Yes
"In consideration of the above pricing, TL guarantees to                   purchase from Integrity a minimum of ten thousand (10,000)                   units of each recorded Product during the first thirty-two                   (32) months of release.",Minimum Commitment,Yes
"TL's initial order for each recorded                   Product shall be a minimum of five thousand (5,000) units.",Minimum Commitment,Yes
"TL may purchase from Integrity limited quantities of the                   Product for its promotional use, at the Manufacturing cost set                   forth in paragraph 3(a) above, provided the quantity of such                   purchases does not exceed seven percent (7%) of the total                   royalty bearing units of such Product title purchased by TL,                   TL warrants that any units so purchased, whether or not                   labeled ""promotional only"" or cut-out, will be given away for                   purposes of promotion of the Products, and will not be sold.",Volume Restriction,Yes
The parties hereby agree that the                   copyright in the Product sound recording compilation will be                   jointly registered by Integrity in the names of Integrity                   and TL.,Joint IP Ownership,Yes
TL will trademark the series name in joint                   names of TL and Integrity.,Joint IP Ownership,Yes
"Integrity hereby grants to TL the right                   to use its ""Integrity Music"" name and logo (""the Integrity                   Trademarks') in connection with the products produced during                   the Term of this Agreement for as long as the parties continue                   to sell and distribute such products at no additional cost to                   TL, and in accordance with the terms and conditions contained                   herein.",License Grant,Yes
"TL hereby grants to Integrity the right to use                   its ""TL Music"" name and logo (""the TL Trademarks"") in                   connection with the products produced during the Term of this                   Agreement for as long as the parties continue to sell and                   distribute such products at no additional cost to Integrity,                   and in accordance with the terms and conditions contained                   herein.",License Grant,Yes
"Either party, at its sole expense, upon at least          thirty (30) days written notice (and not more than once in respect of          any accounting period) will have the right to inspect the other party's          books regarding the obligations hereunder for a period of two (2) years          from the date on which any statement is rendered.",Audit Rights,Yes
TL recognizes Integrity's title                   to the Integrity Trademarks and will not at any time do or                   suffer to be done any act or thing which will in any way                   impair Integrity's rights in and to the Integrity Trademarks.,Covenant Not To Sue,Yes
Integrity recognizes TL's title to the                   TL Trademarks and will not at any time do or suffer to be done                   any act or thing which will in any way impair TL's rights in                   and to the TL Trademarks.,Covenant Not To Sue,Yes
