Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
CHANNEL PARTNER RESELLER AGREEMENT,Document Name,CHANNEL PARTNER RESELLER AGREEMENT
"IPASS INC., ""iPass"", Pareteum Corporation, ""Channel Partner"", Pareteum Corporation, ""iPass"", IPASS INC.",Parties,"IPASS INC. (""iPass""); Pareteum Corporation (""Channel Partner"")"
04/25/2018,Agreement Date,04/25/2018
"04/25/2018, ""Effective Date"" means the date of last signature on this Agreement., 04/25/2018",Effective Date,04/25/2018
"This Agreement shall commence on the Effective Date and shall continue for a period of twelve (12) full calendar months (""Initial Term"").",Expiration Date,4/25/2019
"The Agreement shall automatically renew for successive one (1) year terms (each a ""Renewal Term"") unless either party provides the other party written notification of its intent to terminate the Agreement no later than sixty (60) days prior to the end of the then applicable term.",Renewal Term,successive 1 year,Notice Period To Terminate Renewal,60 days
The laws of California shall govern the construction and enforceability of the Agreement.,Governing Law,California
"Channel Partner agrees that the quality of its products and services to be provided in connection with any of the iPass Marks will be substantially the same as the quality of such other Channel Partner products and services and shall otherwise comport with industry standards and in the event of breach of this Section 6.4, Channel Partner shall take prompt and urgent actions to remediate the breach.",Most Favored Nation,Yes
"Channel Partner accepts iPass as the exclusive provider to Channel Partner for all services of the nature of the Services. In no event may Channel Partner resell or otherwise provide the Service to any third party for purposes of further ""down channel"" resale of the Services, absent iPassÕ notice and consent.",Exclusivity,Yes
"Channel Partner may not assign the Agreement, the use of any Licensed Software or Services or its rights and obligations under the Agreement without the prior written consent of iPass.",Anti-assignment,Yes
Any such assignment is void.,Anti-assignment,Yes
"iPass may change the pricing in Exhibit C upon notice to Channel Partner, such changes to be effective within thirty (30) days after the date of such notice, such changes may include, by way of example only, the application of end of life fees.",Price Restrictions,Yes
Channel Partner will have at a minimum one (1) web page describing the iPass Services.,Minimum Commitment,Yes
"""Business Entity Minimum Monthly Commitment"" means, for each Business Entity, a minimum monthly commitment of at least 250 Users, by Channel Partner for each Business Entity.",Minimum Commitment,Yes
"The ""Special Pricing"" is contingent on a minimum order size of [***] users.",Minimum Commitment,Yes
"iPass grants to Channel Partner a nonexclusive, terminable right to: (i) access and otherwise use the Licensed Software, and iPass Marks as provided in Exhibit F solely in furtherance of this Agreement and not for other internal business purposes, (ii) sell or re-license the Licensed Software, Documentation and Services to Business Entities and End Users, and (iii) install and execute the Server Software on up to three (3) designated servers and one backup server for Channel Partner and for each End User.",License Grant,Yes
"Subject to the terms and conditions of this agreement, Channel Partner grants to you a royalty-free, non-exclusive, non-transferable, limited license right exercisable solely during the term of this agreement to: (1) reproduce, exactly as provided by Channel Partner, object code copies of the Client Software, as needed for distribution to your End Users the iPass Software; and to install and use the iPass Licensed Software.",License Grant,Yes,Non-Transferable License,Yes
"For each Business Entity where UTLD Pricing is elected, Channel Partner shall pay the fees based on the elected Business Entity User Base Package designated by Channel Partner for each order.",Unlimited/All-You-Can-Eat-License,Yes
The fees include the (i) use of the Mobility Management Services; (ii) unlimited iPass network access (except for certain premium in-flight Wi-Fi Services); and (iii) iPass Hosted Authentication Service.,Unlimited/All-You-Can-Eat-License,Yes
"CHANNEL PARTNERÕS PAYMENT OBLIGATIONS, LIABILITY FOR EARLY TERMINATION FEES OR CHARGES, BREACHES OF CONFIDENTIALITY BY EITHER PARTY, MISAPPROPRIATION OF INTELLECTUAL PROPERTY RIGHTS OF THE OTHER PARTY, AND THE PARTIESÕ INDEMNIFICATION OBLIGATIONS UNDER THIS AGREEMENT ARE EXCLUDED FROM THESE LIMITATIONS OF LIABILITY.",Uncapped Liability,Yes
"EACH PARTYÕS MAXIMUM LIABILITY FOR DAMAGES CAUSED BY ITS FAILURE TO PERFORM ITS OBLIGATIONS UNDER THE AGREEMENT IS LIMITED TO: (A) PROVEN DIRECT DAMAGES FOR CLAIMS ARISING OUT OF PERSONAL INJURY OR DEATH, OR DAMAGE TO TANGIBLE PROPERTY CAUSED BY THE PARTYÕS NEGLIGENT OR WILLFUL MISCONDUCT; AND (B) PROVEN DIRECT DAMAGES FOR ANY AND ALL CLAIMS ARISING FROM OR IN CONNECTION WITH OR RELATING TO THIS AGREEMENT OR THE LICENSED SOFTWARE OR SERVICES, NOT TO EXCEED AN AMOUNT EQUAL TO THE AMOUNT OF FEES ACTUALLY PAID BY CHANNEL PARTNER TO IPASS DURING THE SIX (6) MONTHS PRECEDING THE FIRST EVENT GIVING RISE TO SUCH LIABILITY. ALL CLAIMS AGAINST THE PARTIES WILL BE AGGREGATED TO DETERMINE SATISFACTION OF THIS LIMIT, AND MULTIPLE CLAIMS WILL NOT ENLARGE THE LIMIT.",Cap on Liability,Yes
"NEITHER PARTY WILL BE LIABLE FOR ANY SPECIAL, INCIDENTAL, INDIRECT, EXEMPLARY, PUNITIVE, OR CONSEQUENTIAL DAMAGES ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT OR THE USE OF THE LICENSED SOFTWARE, THE SERVICES OR DOCUMENTATION, WHETHER FROM BREACH OF CONTRACT OR WARRANTY, FROM NEGLIGENCE, STRICT LIABILITY OR OTHER CAUSE OF ACTION, EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",Cap on Liability,Yes
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, IN NO EVENT SHALL CHANNEL PARTNER, IPASS OR ITS SUPPLIERS BE LIABLE FOR ANY SPECIAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES, OR FOR INTERRUPTED COMMUNICATIONS, LOST DATA OR LOST PROFITS, ARISING OUT OF OR IN CONNECTION WITH THE SERVICE.",Cap on Liability,Yes
"iPass and its suppliers shall be deemed to be third-party beneficiaries of this agreement, with the right to enforce the terms of this agreement.",Third Party Beneficiary,Yes
