Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
JOINT VENTURE AGREEMENT,Document Name,JOINT VENTURE AGREEMENT
"KIROMIC BIOPHARMA Inc., MOLIPHARMA S.R.L., each a Party and, together, the Parties., MOLIPHARMA S.R.L., KIROMIC BIOPHARMA Inc.",Parties,"KIROMIC BIOPHARMA Inc.; MOLIPHARMA S.R.L. (""Party"" and, together, the ""Parties"")"
2 April 2020,Agreement Date,04/02/2020
This JV Agreement shall become effective on the signing date,Effective Date,04/02/2020
"This JV Agreement shall become effective on the signing date and shall have a duration of * years, extendable for a further * years, unless notice of non- renewal is sent one year before the natural expiry date.",Expiration Date,(None entered),Renewal Term,(None entered),Notice Period To Terminate Renewal,1 year
"All disputes arising out of or in connection with this Agreement shall be finally settled under the Rules of Arbitration of the International Chamber of Commerce by one or more arbitrators appointed in accordance with the said Rules.Any such arbitration shall (i) be subject to the application of the Italian Law, (ii) take place in Paris, France and (iii) be conducted in English.",Governing Law,Italian
"This JV Agreement cannot be assigned by a Party, also as a result of the transfer of a business as a going concern, of a merger, of a de-merger or of a spin-off, without the prior written consent of the other Party.",Change of Control,Yes,Anti-assignment,Yes
Kiromic will grant to Molipharma the follows royalties: - *% of the realized turnover by the marketing of Ovarian Cancer research results in Italy_ -7-- *% of the realized turnover by the marketing of Ovarian Cancer research results in Europe.,Revenue/Profit Sharing,Yes
Kiromic will grant to Molipharma the follows royalties: - *% of the realized turnover by the marketing of Ovarian Cancer research results in Italy_ - *% of the realized turnover by the marketing of Ovarian Cancer research results in Europe.,Revenue/Profit Sharing,Yes
"For the rest of the world, the economic rights will be divided as follows: *% Kiromic_ *% Molipharma.",Revenue/Profit Sharing,Yes
"The Party which is not interested in the application shall undertake to transfer its own share of ownership to the other Party, free of charge once it has obtained the patent title.",IP Ownership Assignment,Yes
"Kiromic assigns to Molipharma all the rights of publication of the research, unless they are considered confidential for patenting.",IP Ownership Assignment,Yes
"The Industrial Property Rights on the Results, as well as the Intellectual Property Rights realized in the research activities covered by this JV, are due jointly to the parties in equal shares (50% for each Party), without prejudice to the possibility of agreeing in writing, during the course of every specific activity, about the modification of the respective shares of co-ownership, based upon the actual contribution of each of the Parties to the research activities, and also without prejudice to the recognition of the intellectual rights due to each inventor pursuant to current legislation.",Joint IP Ownership,Yes
"In this case the Party concerned shall have the right to proceed with the submission of the application on the Results at its own expense and in co-ownership with the other Party, subject to written notice.",Joint IP Ownership,Yes
The Parties shall provide civil liability insurance cover to their own personnel with respect to accidents and damages charged to them.,Insurance,Yes
