Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
PRODUCT MANUFACTURING AGREEMENT,Document Name,PRODUCT MANUFACTURING AGREEMENT
"DEXCEL LTD., ""Dexcel"", KITOV Pharma Ltd., ""Kitov"", Dexcel and Kitov are hereinafter jointly the ""Parties"" and individually a ""Party."", ""Kitov"", KITOV Pharma Ltd., ""Dexcel"", DEXCEL LTD.",Parties,"DEXCEL LTD. (""Dexcel""); KITOV Pharma Ltd. (""Kitov"")(""Parties"" and individually a ""Party"")"
"""Effective Date"" shall mean the date of signature of the last Party to execute this Agreement.",Effective Date,(None entered)
"The Agreement shall commence on the Effective Date and remain in full force and effect for an initial term of **** from the Supply Commencement Date of the Product (""Initial Term"").",Expiration Date,(None entered)
"Following the Initial Term, the Agreement shall automatically be renewed for additional periods of **** (each, a ""Renewal Term,"" and, together with the Initial Term, the ""Term"")), unless a Party provides written notification of non-renewal to the other Party at least **** of the Initial Term or a Renewal Term.",Renewal Term,(None entered),Notice Period To Terminate Renewal,(None entered)
"This Agreement shall be interpreted and enforced exclusively under the laws of the State of Israel, without regard to the conflict of laws provisions thereof.",Governing Law,Israel
"Kitov hereby grants to Dexcel a fully paid, limited license right to use all of its Confidential Information and Intellectual Property Rights (including, inter alia, the Kitov Foreground IP, Kitov Data, KitovÕs share of the Joint IP, and the Trademark (""Kitov Product IP"")) necessary in order for Dexcel to manufacture, Label, package with the Livery, test and release the Product for shipment, exclusively for Kitov, for and during the Term.",Exclusivity,Yes,License Grant,Yes
"Dexcel shall order the Packaging materials required for the Product Packaging (including, but not limited to, all Labeling)_ provided that such orders shall not exceed the forecasted demand of such materials for the next following twelve (12) months.",Exclusivity,Yes
"Kitov shall provide Dexcel with written purchase orders meeting the Minimum Order Requirements and in a form reasonably acceptable to Dexcel, and which shall specify at least the following: a description of the Product ordered, the quantity ordered, the current Supply Price, and the required delivery date thereof, such required delivery date to be not less than one hundred and twenty (120) days from the purchase order placement date (one hundred and eighty (180) days before the anticipated Supply Commencement Date and/or the launch of a new SKU).",Exclusivity,Yes,Minimum Commitment,Yes
"This Agreement may be terminated: 5.2.1 by either Party, effective immediately upon written notice to the other Party, if (i) a receiver, trustee, or liquidator of the other Party is appointed for any of properties or assets of the other Party; (ii) the other Party makes a general assignment for the benefit of its creditors; (iii) the other Party files a petition under the relevant statute for the bankruptcy or reorganization of the other Party or any arrangement with its creditors or readjustment of its debt, or its dissolution or liquidation, or such a petition is filed against the other Party and is not dismissed within sixty (60) days thereafter; or (iv) the other Party ceases doing business generally or commences dissolution or liquidation proceedings; 5.2.2 in the event that a Party is in material breach of this Agreement or the Quality Agreement and fails to remedy such breach within thirty (30) calendar days from receipt of written notification of same, by the non-breaching Party; 5.2.3 by Dexcel, in the event that the provisions of Section _3.6.3 is applicable; or 5.3 in the event of a Change of Control, the Party which was not subject to the Change of Control may terminate this Agreement upon six (6) months advance written notification.",Change of Control,Yes
"This Agreement may be terminated: in the event of a Change of Control, the Party which was not subject to the Change of Control may terminate this Agreement upon six (6) months advance written notification.",Change of Control,Yes
The affected Party is obligated to notify the other Party of its decision to terminate within thirty (30) days following notice of the Change of Control.,Change of Control,Yes
"For purposes of this Agreement, any merger, consolidation, or change of corporate structure following which there is a Change of Control of Kitov shall be considered as an assignment by Kitov, allowing Dexcel to terminate the Agreement as heretofore provided.",Change of Control,Yes,Anti-assignment,Yes
