Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer,Label 4,Label 4-Answer,Label 5,Label 5-Answer
CO-BRANDING AGREEMENT,Document Name,CO-BRANDING AGREEMENT
"VerticalNet, Inc., ""VerticalNet"", LeadersOnline, Inc., LeadersOnline, (each a ""Party"" and together the ""Parties"")., LeadersOnline, LeadersOnline, Inc., ""VerticalNet"", VerticalNet, Inc.",Parties,"VerticalNet, Inc. (""VerticalNet""); LeadersOnline, Inc. (""LeadersOnline"")(""Party"" and together the ""Parties"")"
"March 15, 2000",Agreement Date,03/15/2000,Effective Date,03/15/2000
"Term shall mean the Effective Date through June 15, 2001 and any Renewal Term (as defined in paragraph 7.4 herein.)",Expiration Date,06/15/2001
"LeadersOnline shall have the option, subject to VerticalNet's approval exercised in its sole  and absolute discretion, to extend the Term of this Agreement for an additional 12 months (a ""Renewal Term"") on such terms and conditions as may be mutually agreed upon by the Parties.",Renewal Term,12 months
This Agreement shall be governed by and interpreted under the laws of the Commonwealth of Pennsylvania without regard to its conflicts of law provisions.,Governing Law,Pennsylvania
All prices for such Banners and Newsletter Ads shall be offered to LeadersOnline at a ***% discount off of VerticalNet's then current prices for similar Banners or Newsletters Ads.,Most Favored Nation,Yes
"VerticalNet agrees that during the term of this Agreement, it shall not enter into an agreement with Futurestep, Inc. to provide promotional opportunities to Futurestep throughout all of the VerticalNet Online Communities, nor enter into any agreement with Futurestep, Inc. for the joint marketing of each other's Sites or services.",Non-Compete,Yes
"Except as otherwise set forth herein, neither Party shall transfer, assign or cede any rights or delegate any obligations hereunder, in whole or in part, whether voluntarily or by operation of law, without the prior written consent of the other Party,                                        14 which consent may be withheld at the other Party's reasonable business discretion_ provided, however, that VerticalNet may transfer this Agreement without the prior written consent of LeadersOnline to an Affiliate of VerticalNet, or to the surviving Party in a merger or consolidation, or to a purchaser of all or substantially all of its assets.",Anti-assignment,Yes
"Except as otherwise set forth herein, neither Party shall transfer, assign or cede any rights or delegate any obligations hereunder, in whole or in part, whether voluntarily or by operation of law, without the prior written consent of the other Party, which consent may be withheld at the other Party's reasonable business discretion_ provided, however, that VerticalNet may transfer this Agreement without the prior written consent of LeadersOnline to an Affiliate of VerticalNet, or to the surviving Party in a merger or consolidation, or to a purchaser of all or substantially all of its assets.",Anti-assignment,Yes
"LeadersOnline shall pay VerticalNet *** percent (***%) of LeadersOnline- VerticalNet Revenue, payable to VerticalNet  on or before the fifteenth day of  the calendar month immediately following the month in which Source: LEADERSONLINE INC, S-1/A, 4/27/2000such revenue was received by LeadersOnline.",Revenue/Profit Sharing,Yes
