Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
REAL ESTATE EDUCATION TRAINING PROGRAM DEVELOPMENT AGREEMENT,Document Name,REAL ESTATE EDUCATION TRAINING PROGRAM DEVELOPMENT AGREEMENT
"T&B Seminars, Inc., ""T&B"", Legacy Education Alliance Holdings, Inc., ""LEA"", Legacy Education Alliance Holdings, Inc., ""T&B"", T&B Seminars, Inc.",Parties,"T&B Seminars, Inc. (""T&B""); Legacy Education Alliance Holdings, Inc. (""LEA"")"
12-23-2019,Agreement Date,12/23/2019,Effective Date,12/23/2019
"The term ""Term"" shall mean an initial term of five years, automatically renewable thereafter for successive 5-year terms unless either party provides prior written notice of termination not less than 90 days prior to the end of such five-year term; provided, however, T&B shall have the right to terminate the license after the first year of the Term if LEA does not conduct the Business so as to meet the Cash Sales benchmarks set by the parties for years two through five of the Term, as set forth in Section 3.3, below., The Term shall commence upon the Effective Date and shall continue for an initial term of five (5) years., The term ""Term"" shall mean an initial term of five years, automatically renewable thereafter for successive 5-year terms unless either party provides prior written notice of termination not less than 90 days prior to the end of such five-year term; provided, however, T&B shall have the right to terminate the license after the first year of the Term if LEA does not conduct the Business so as to meet the Cash Sales benchmarks set by the parties for years two through five of the Term, as set forth in Section 3.3, below.",Expiration Date,12/23/2024
"The term ""Term"" shall mean an initial term of five years, automatically renewable thereafter for successive 5-year terms unless either party provides prior written notice of termination not less than 90 days prior to the end of such five-year term; provided, however, T&B shall have the right to terminate the license after the first year of the Term if LEA does not conduct the Business so as to meet the Cash Sales benchmarks set by the parties for years two through five of the Term, as set forth in Section 3.3, below., The Term shall automatically renew thereafter for successive 5-year terms unless either party provides prior written notice of termination not less than 90 days prior to the end of such five-year term., The term ""Term"" shall mean an initial term of five years, automatically renewable thereafter for successive 5-year terms unless either party provides prior written notice of termination not less than 90 days prior to the end of such five-year term; provided, however, T&B shall have the right to terminate the license after the first year of the Term if LEA does not conduct the Business so as to meet the Cash Sales benchmarks set by the parties for years two through five of the Term, as set forth in Section 3.3, below.",Renewal Term,successive 5 years,Notice Period To Terminate Renewal,90 days
"This Agreement will be governed by and construed in accordance with the laws of the State of New York without regard to its provisions concerning the applicability of the laws of other jurisdictions, and specifically excluding the United Nations Convention on the International Sale of Goods.",Governing Law,New York
"Further, during the Term, except as otherwise provided herein, neither T&B nor any of its Affiliates may (1) offer to sell or sell any product or service that is the same or similar to the Products in the Exclusive Field of Use, or (2) contact, solicit, or direct any person or entity to contact or solicit, any of the customers of (or customers set forth in the Customer Data) for the purpose of providing any products or services that are the same or similar to the Products_ provided, however, that T&B, in its sole and absolute discretion, shall have the right to terminate this Agreement, including all rights and licenses granted to LEA herein, if and as of the date that any monthly Royalty Payment (as defined in 9.3, below) payable to T&B does not exceed the Minimum Guaranteed Royalty for six (6) consecutive months.",Non-Compete,Yes,No-Solicit of Customers,Yes,Minimum Commitment,Yes
"T&B hereby grants to LEA, and LEA hereby accepts from T&B, during the Term, the sole and exclusive worldwide right and license in and to the Licensed Intellectual Property, which right and license shall be limited to that which is necessary for LEA to (i) develop and create Educational Materials and (ii) develop, promote and conduct the Business worldwide , unless the license is earlier terminated as provided herein.",Exclusivity,Yes,License Grant,Yes
"T&B shall not, during the Term, grant any third party a license to use the Licensed Intellectual Property within the Exclusive Field of Use.",Exclusivity,Yes,Anti-assignment,Yes
"In consideration of the exclusivity rights granted to LEA, commencing with the seventh (7t h) month of the Term and continuing each year of the Term thereafter, the minimum Royalties payable to T&B each month shall be the greater of the (i) applicable monthly Base Royalty and Marketing Royalty or (ii) $200,000.",Exclusivity,Yes,Minimum Commitment,Yes
Neither party may assign this Agreement without the other partyÕs prior written consent.,Anti-assignment,Yes
"Notwithstanding the foregoing, either party may assign this Agreement without the other partyÕs prior written consent in the event of a merger, acquisition, reorganization, change in control, or sale of substantially all of the assets or business of such assigning part",Anti-assignment,Yes
Any assignment in conflict with this provision shall be void.,Anti-assignment,Yes
"The parties acknowledge that the development and fulfillment of such new Products may require substantial time and effort by the T&B Personality to fulfill such new Products such that the Marketing Royalty payable pursuant to V. B., above, is inadequate to compensate T&B Personality_ therefore, in lieu of any other royalty, the parties shall share Cash Sales from the sale of such new Products as follows: [_%] to LEA [_%] to T&B",Revenue/Profit Sharing,Yes
"In lieu of any other royalty, the parties shall share Cash Sales from the sale of such independently developed T&B Products that are generated directly and independently by LEA as follows: [_%] to LEA [_%] to T&B",Revenue/Profit Sharing,Yes
"In consideration of the License granted and other good and valuable consideration provided by T&B to LEA, LEA shall pay to T&B a base royalty (""Base Royalty"") in the amount of [_%] of LEAÕs monthly Cash Sales for Cash Sales of up to [$_].",Revenue/Profit Sharing,Yes
"For monthly Cash Sales above [$_] and up to [$_] , the Base Royalty paid to T&B by LEA shall be [_%]of the LEAÕs Cash Sales",Revenue/Profit Sharing,Yes
For monthly Cash Sales above [$_] and up to [$_] the Base Royalty paid to T&B by LEA shall be [_%] of the LEAÕs Cash Sales,Revenue/Profit Sharing,Yes
"For monthly Cash Sales above [$_] and up to [$_], the Base Royalty paid to T&B by LEA shall be [_%] of the LEAÕs Cash Sales",Revenue/Profit Sharing,Yes
For monthly Cash Sales above [$_]the Base Royalty paid to T&B by LEA shall be [_%] of the LEAÕs Cash Sales.,Revenue/Profit Sharing,Yes
"Marketing Royalty: In consideration of T&B Personality providing commercially reasonable, regular and periodic marketing support to LEA substantially in accordance with Schedule 2 attached to this Agreement and incorporated herein by reference, which LEA agrees to request and accept from T&B consistently during the Term, LEA will pay T&M a royalty in addition to the Base Royalty (""Marketing Royalty"") which shall be comprised of and calculated at [_%] of LEAÕs Cash Sales made from the sale of Products at live events and [_%] of LEAÕs Cash Sales made from the sale of Products at on-line webinars",Revenue/Profit Sharing,Yes
