Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
DOMAIN NAME AND CONTENT LICENSE AGREEMENT,Document Name,DOMAIN NAME AND CONTENT LICENSE AGREEMENT
"Beijing SINA Internet Information Service Co., Ltd., ""Licensor"", Beijing Yisheng Leju Information Services Co., Ltd., ""Licensee"" and together with Licensor, the ""Parties"" and each a ""Party""), Beijing Yisheng Leju Information Services Co., Ltd., ""Licensor"", Beijing SINA Internet Information Service Co., Ltd.",Parties,"Beijing SINA Internet Information Service Co., Ltd (""Licensor""); Beijing Yisheng Leju Information Services Co., Ltd (""Licensee"" and together with Licensor, the ""Parties"" and each a ""Party"")"
"""Effective Date"" means the Closing Date as set forth in the Share Purchase Agreement.",Effective Date,(None entered)
"The initial term of this Agreement (the ""Initial Term"") shall commence on the Effective Date and shall continue for a period of ten (10) years thereafter.",Expiration Date,(None entered)
"This Agreement and any dispute or claim arising out of or in connection with it or its subject matter shall be governed by, and construed in accordance with, the laws of the PeopleÕs Republic of China (without regard to its conflicts of laws rules that would mandate the application of the laws of another jurisdiction).",Governing Law,People's Republic of China
"In the event E-House Research and Training Institute becomes entitled to charge, invoice, or otherwise receive from, Licensee any royalties, fees or other remuneration for use of the E-House Licensed Data and Information pursuant to amendments to the Master Transaction Agreement or through other means, Licensor and Licensee shall use good faith efforts to amend this Agreement such that Licensor becomes entitled to charge, invoice, or otherwise receive fees from Licensee to use the Licensed Domain Names and Licensed Content, such fees to be agreed upon by the Parties, provided that (i) such fees shall be commercially reasonable and (ii) such fees shall not exceed the fees charged by Licensor to unaffiliated third parties for use of the Licensed Content, taking into account any other consideration received by Licensor (including, but not limited to, discounted services offerings from the third party).",Most Favored Nation,Yes,Price Restrictions,Yes
"Licensor shall make available to Licensee the Licensed Content in substantially the same manner and with substantially the same speed and efficiency as such Licensed Content was made available to SINA Leju prior to the Effective Date, namely through LicensorÕs content database, but in no event with less speed, efficiency, or a lesser level of access than Licensor provides with respect to its own operations",Most Favored Nation,Yes
"Licensee agrees to use the Licensed Domain Names only in accordance with such content distribution policy that Licensor uses in connection with its own business, and as may be established by Licensor and communicated in writing in advance to Licensee from time to time or as may otherwise be agreed to by the Parties from time to time, provided that Licensee shall be afforded the same period of time to implement any such content distribution policy as is afforded to LicensorÕs Affiliates and other third parties.",Most Favored Nation,Yes
"Subject to the terms and conditions of this Agreement, Licensor hereby grants to Licensee, and Licensee hereby accepts from Licensor, an exclusive, non-transferable (except as set forth in Section 10.7) and non-sublicensable (except as provided in Section 2.1(c)) license to use the Licensed Domain Names in connection with the Business during the Term.",Exclusivity,Yes,License Grant,Yes,Non-Transferable License,Yes
"Subject to the terms and conditions of this Agreement, Licensor hereby grants to Licensee, and Licensee hereby accepts from Licensor, an exclusive, non-transferable (except as set forth in Section 10.7) and non-sublicensable (except as provided in Section 2.1(c)) license to use the Licensed Content in connection with websites associated with the Licensed Domain Names until the earlier of (i) termination or expiration of this Agreement, or (ii) termination or expiration of the Agency Agreement, provided, however, that in the event the Agency Agreement is amended or restated, such amendment or restatement shall not be deemed a termination or expiration of the Agency Agreement.",Exclusivity,Yes,License Grant,Yes,Non-Transferable License,Yes
"Except as expressly permitted under the Trademark License Agreement, Licensee shall not knowingly (a) use the Licensed Domain Names in any manner that tarnishes, degrades, disparages or reflects adversely on Licensor or LicensorÕs business or reputation, (b) in any jurisdiction, register or attempt to register any domain names that consist of, in whole or in part, or are confusingly similar to, the term ""SINA"", (c) contest, challenge or otherwise make any claim or take any action adverse to LicensorÕs interest in the Licensed Domain Names, (d) register any trademarks, trade names or company names that consist of, in whole or in part, or are confusingly similar to the term ""SINA"" in the name of Licensee or of any of its Affiliates, or (e) use the Licensed Content and other Content for any unlawful purpose, including but not limited to displaying or distributing any pornographic, obscene or sexually explicit material, materials of a violent nature, or politically sensitive materials.",Non-Disparagement,Yes
"In the event that Licensor reasonably determines that any violation of the foregoing by Licensee poses an immediate harm to LicensorÕs business, reputation or goodwill, Licensee shall promptly, following receipt of notice from Licensor, cease and desist all such non-conforming uses.",Non-Disparagement,Yes
Licensor may terminate this Agreement by providing prior written notice to Licensee upon the occurrence of a Change of Control.,Change of Control,Yes
"This Agreement and any rights or authority granted hereunder shall not be assigned or transferred by either Party, including by operation of law, merger or otherwise, without the express written consent of the other Party, provided that Licensor may assign this Agreement without consent to any of its Affiliates and Licensee may assign this Agreement without consent to SINA Leju or an Affiliate of Licensee that is controlled by SINA Leju.",Change of Control,Yes,Anti-assignment,Yes
"Notwithstanding anything in this Agreement to the contrary, Licensee has no right to sublicense any rights granted hereunder to any third party, or otherwise permit any third party to use any Licensed Domain Names or Licensed Content_ provided, however, that any rights granted to Licensee hereunder shall be sublicensable, without the prior written consent of Licensor, to SINA Leju and LicenseeÕs Affiliates that are controlled by SINA Leju solely for the purpose of operating the Business during the Term.",Non-Transferable License,Yes,Affiliate License-Licensee,Yes
"Upon termination (but not expiration) of this Agreement for any reason, Licensee shall be entitled to use the Licensed Domain Names and Licensed Content for a limited period of time, not to exceed ninety (90) days, during which it shall diligently work to transition to another solution.",Post-termination Services,Yes
"Except as expressly permitted under the Trademark License Agreement, Licensee shall not knowingly (a) use the Licensed Domain Names in any manner that tarnishes, degrades, disparages or reflects adversely on Licensor or LicensorÕs business or reputation, (b) in any jurisdiction, register or attempt to register any domain names that consist of, in whole or in part, or are confusingly similar to, the term ""SINA"", (c) contest, challenge or otherwise make any claim or take any action adverse to LicensorÕs interest in the Licensed Domain Names",Covenant Not To Sue,Yes
