Clause,Label 1,Label 1-Answer
AFFILIATE AGREEMENT,Document Name,AFFILIATE AGREEMENT
"Link Plus Corporation, Axiometric, LLC, ""Axiometric"", ""LKPL"", ""Axiometric"", Axiometric, LLC, Link Plus Corporation",Parties,"Link Plus Corporation (""LKPL""); Axiometric, LLC. (""Axiometric"")"
"JULY 15, 2005",Agreement Date,07/15/2005
"""Effective Date"" means July 15, 2005.",Effective Date,07/15/2005
This Agreement will remain in force for perpetuity or until and unless          otherwise mutually agreed or amended in writing by both parties.,Expiration Date,perpetual
This Agreement shall be construed and governed in accordance with the laws of the State of Maryland regardless of the place or places of its physical execution and performance.,Governing Law,Maryland
Axiometric shall have the exclusive right to market                            and sell AMR Product Suites to entities whose                            corporate headquarters are physically located in the                            United States and U.S. territories with the exception                            of Datamatic as defined in 3.3.1 and 3.3.2 below,Exclusivity,Yes
"LKPL shall have the exclusive right to market and                            sell AMR Product Suites to Datamatic LTD, a Plano TX                            corporation (hereafter Datamatic).",Exclusivity,Yes
LKPL shall have the exclusive right to market and                            sell AMR Product Suites to entities whose corporate                            headquarters are physically located outside the                            United States and its territories.,Exclusivity,Yes
Axiometric will have the right to terminate the license to use                   the office space and to move out of the office space at any                   time upon two weeks notice.,Termination For Convenience,Yes
"If LKPL deems itself unable to continue to                   provide Axiometric work space without expanding LKPL's                   facilities, and if LKPL determines it will be in its own best                   interests to expand its facilities, then LKPL will afford                   Axiometric the opportunity to lease space in the new                   facilities under a mutually acceptable separate commercial                   rental agreement.",ROFR/ROFO/ROFN,Yes
"As the preferred                   manufacturer, LKPL shall have first right of refusal on all                   such RFMs.",ROFR/ROFO/ROFN,Yes
This Agreement may not be assigned in whole or in part by                   either party without prior written consent of the other.,Anti-assignment,Yes
"LKPL shall pay Source: LINK PLUS CORP, 8-K, 8/2/2005                           Axiometric the higher of a) five-percent (5%) of the                            Gross Proceeds or b) twenty-five-percent (25%) of the                            Net Proceeds of all Water Meter AMR Product Suite                            sales.",Revenue/Profit Sharing,Yes
LKPL shall pay Axiometric the higher of a) five-percent (5%) of the                            Gross Proceeds or b) twenty-five-percent (25%) of the                            Net Proceeds of all Water Meter AMR Product Suite                            sales.,Revenue/Profit Sharing,Yes
LKPL                            shall pay Axiometric Net Proceeds less the higher of                            a) five-percent (5%) of the Gross Proceeds or b)                            twenty-five-percent (25%) of the Net Proceeds.,Revenue/Profit Sharing,Yes
"For sales of AMR Product Suites by LKPL, other than                            sales to Datamatic as defined above: LKPL shall pay                            Axiometric the higher of:                            a) five-percent (5%) of the Gross Proceeds OR                            b) twenty-percent (25%) of the Net Proceeds",Revenue/Profit Sharing,Yes
"For sales of AMR Product Suites by Axiometric, other                            than sales to Datamatic as defined above, and other                            than AMR product suites for use in electric/energy                            metering: Axiometric shall pay LKPL the higher of:                            a) five-percent (5%) of the Gross Proceeds OR                            b) twenty-percent (25%) of the Net Proceeds",Revenue/Profit Sharing,Yes
"New software and hardware designs and intellectual property developed in the course of the Water Meter           development are jointly owned; specifically, the algorithms used to collect data directly from a Water                            Meter using a point-to-point link (drive-by data collection), the specific hardware designs related to water register interface, battery power management,                            and other intellectual property specifically described and mutually agreed in writing as amendments to this Agreement.",Joint IP Ownership,Yes
"New software and hardware designs and intellectual                            property developed in the course of the Water Meter                            development are jointly owned; specifically, the                            algorithms used to collect data directly from a Water                            Meter using a point-to-point link (drive-by data                            collection), the specific hardware designs related to                            water register interface, battery power management,                            and other intellectual property specifically Source: LINK PLUS CORP, 8-K, 8/2/2005                           described and mutually agreed in writing as                            amendments to this Agreement.",Joint IP Ownership,Yes
"Joint ownership conveys                            to each party individually the right to use, sell,                            modify, and create derived works from said                            intellectual property, as well as the right to                            sub-license these rights to others.",Joint IP Ownership,Yes
Both parties are entitled to reports of sales and to                            conduct periodic audits to ensure accuracy of                            Payments as follows:                            a.       Each party will provide to the other a                                     quarterly report (in hard copy and                                     electronic copy (if applicable)) showing the                                     AMR Product Suite sales including the Gross                                     Proceeds and the Production Costs.,Audit Rights,Yes
"Each party shall have the right to conduct                                     an audit after the end of each calendar year                                     to verify the accuracy of the other party's                                     quarterly reports for that year, provided                                     the audit must be initiated no later than                                     June 30th of each year, and that if no such                                     audit is conducted, then the quarterly                                     reports for that year will be deemed                                     accurate.",Audit Rights,Yes
"In the event a Payee's audit shows that the                                     Gross Proceeds or Production Costs of the                                     Payor resulted in an under-payment to the                                     Payee, then the Payor shall have the right,                                     at the Payor's cost, to have its own auditor                                     verify the Payee's audit.",Audit Rights,Yes
"If the Payor audit                                     confirms the report of the Payee's auditor,                                     then the Payor will pay the deficiency                                     within fifteen (15) days from the time Payee                                     invoices for the deficiency.",Audit Rights,Yes
"In the event a Payee's audit shows that the                                     Gross Proceeds or Production Costs of the                                     Payor resulted in an under-payment of more                                     than three percent (3.0%) to the Payee, then                                     the Payor shall have the right, at the                                     Payor's cost, to have its own auditor verify                                     the audit.",Audit Rights,Yes
"If the Payor audit confirms the                                     report of the Payee's auditor, then the                                     Payor will pay the deficiency and the cost                                     of the Payee's audit within fifteen (15)                                     days from the time Payee invoices for those                                     fees and provides standard proof of the time                                     and expenses incurred.",Audit Rights,Yes
"No action,                   case, suit or proceeding, regardless of form, arising out of                   or related to this Agreement, may be brought by either party                   more than one (1) year after the cause of action has arisen,                   or in the case of nonpayment, more than two (2) years from the                   date of the last payment.",Cap on Liability,Yes
