Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
BUSINESS DEVELOPMENT AGREEMENT,Document Name,BUSINESS DEVELOPMENT AGREEMENT
"LIQUIDMETAL TECHNOLOGIES, INC., ""Liquidmetal"", EUTECTIX, LLC, ""Eutectix"", EUTECTIX, LLC, ""Liquidmetal"", LIQUIDMETAL TECHNOLOGIES, INC.",Parties,"LIQUIDMETAL TECHNOLOGIES, INC. (""Liquidmetal""); EUTECTIX, LLC (""Eutectix"")"
", 2020",Agreement Date,[]/[]/2020,Effective Date,[]/[]/2020
"The initial term of this Agreement shall commence on the Effective Date and shall continue until the fifth (5t h) anniversary of the Effective Date (the ""Term""), unless the Agreement is sooner terminated in accordance with the terms of this Agreement.",Expiration Date,[]/[]/2025
"Upon the expiration of the Term, the Term shall automatically extend for successive 12-month periods until one Party terminates the Agreement by providing at least 180 days prior written notice to the other Party prior to the expiration of the then-current term or unless sooner terminated in accordance with the terms of this Agreement.",Renewal Term,succesive 1 year
"Upon the expiration of the Term, the Term shall automatically extend for successive 12-month periods until one Party terminates the Agreement by providing at least 180 days prior written notice to the other Party prior to the expiration of the then-current term or unless sooner terminated in accordance with the terms of this Agreement., Either Party may terminate this Agreement for any reason upon providing 180 days prior written notice to the other Party prior to the expiration of the then-current term or unless sooner terminated in accordance with the terms of this Agreement., Upon the expiration of the Term, the Term shall automatically extend for successive 12-month periods until one Party terminates the Agreement by providing at least 180 days prior written notice to the other Party prior to the expiration of the then-current term or unless sooner terminated in accordance with the terms of this Agreement.",Notice Period To Terminate Renewal,180 days
"This Agreement, the legal relations between the parties, and any action, whether contractual or non-contractual, instituted by any party with respect to matters arising under or growing out of or in connection with or in respect of this Agreement shall be governed by and construed in accordance with the internal laws of the State of Arizona (U.S.A.), excluding any choice of law rules that may direct the application of the laws of another jurisdiction, and except that questions affecting the construction and effect of any Patent shall be determined by the law of the country in which the Patent has been granted.",Governing Law,Arizona
"Eutectix agrees that in the event any Licensed Products shall be sold (1) to any Affiliate (as defined herein), or (2) to a corporation, firm, or association with which, or individual with whom Eutectix or its stockholders or Affiliates shall have any agreement, understanding, or arrangement (such as, among other things, an option to purchase stock, or an arrangement involving a division of profits or special rebates or allowances) without which agreement, understanding, or arrangement, prices paid by such a corporation, firm, association or individual for the Licensed Products would be higher than the Net Sales Price reported by Eutectix, or if such agreement, understanding, or arrangement results in extending to such corporation, firm, association, or individual lower prices for Licensed Products than those charged to outside concerns buying similar products in similar amounts and under similar conditions, then, and in any such events, the royalties to be paid hereunder in respect of such Licensed Products shall be computed based on an assumed or deemed Net Sales Price equal to those charged to such outside concerns.",Most Favored Nation,Yes
"In connection with any Order, Liquidmetal may concurrent with such Order or subsequent thereto from time to time provide Eutectix with a six (6) month rolling forecast (each, a ""Forecast"") of its projected additional purchases of Liquidmetal Products covered by an Order (""Additional Product""). Forecasts will be prepared in good faith.",Exclusivity,Yes
"Eutectix agrees to reserve sufficient manufacturing capacity to satisfy the supply of Additional Product in accordance with the applicable Forecast, provided that Eutectix shall not be required to reserve in excess of ten percent (10%) of its manufacturing capacity pursuant to this Section 3.4.",Exclusivity,Yes
Either Party may terminate this Agreement for any reason upon providing 180 days prior written notice to the other Party prior to the expiration of the then-current term or unless sooner terminated in accordance with the terms of this Agreement.,Termination For Convenience,Yes
"Upon expiration or termination of this Agreement for any reason, Eutectix shall have the option to purchase some or all of the Licensed Equipment at fair market value, less any amounts owed to Eutectix by Liquidmetal, except the equipment listed under Section 2.1(b) above.",ROFR/ROFO/ROFN,Yes
"The following additional terms shall apply to EutectixÕs exercise of this option: (a) EutectixÕs option hereunder shall be exercisable by providing Liquidmetal with written notice of its intention to exercise its chosen option no later than the effective date of termination. Such notice shall include a description of the assets Eutectix will purchase (the ""Optioned Assets""). (b) In the event that Eutectix and Liquidmetal cannot agree to a fair market value for the Optioned Assets, then the fair market value shall be determined by an independent third-party appraisal. Eutectix and Liquidmetal shall each select one independent, qualified appraiser, and the two so selected shall select a third appraiser, all three to independently from one another determine the fair market value of the Optioned Assets. The purchase price shall be the mean of the fair market values as determined by the three appraisers. (c) The closing for the purchase of the Optioned Assets will take place no later than sixty (60) days after the termination, unless the Parties cannot agree on the price, in which case, closing will take place no later than sixty (60) days after the three independent appraisals have been received. Eutectix will pay the purchase price in full at the closing. Liquidmetal must sign all documents of assignment and transfer as are reasonably necessary for purchase of the Optioned Assets by Liquidmetal. (d) In the event that Eutectix does not exercise its right to purchase the Optioned Assets as set forth above, Liquidmetal will be free to keep or to sell, after such termination to any third party, all of the Optioned Assets and shall be responsible for timely removing equipment not purchased by Eutectix at LiquidmetalÕs own expense. In the event Liquidmetal fails to timely remove such Optioned Assets, in light of the periods for continued operation in Section 5.4(b)(ii) and closing in Section 5.5(c), Eutectix may dispose of them, at LiquidmetalÕs cost, with no liability to Eutectix.",ROFR/ROFO/ROFN,Yes
"Neither this Agreement nor any rights or obligations hereunder shall be transferred or assigned by either Party without the written consent of the other Party, which consent shall not be unreasonably withheld; provided, however, that Liquidmetal shall have the right, without the prior written consent of Eutectix, to assign its warranty rights and other rights hereunder with respect to specific Liquidmetal Products to the Customers of such Liquidmetal Products.",Anti-assignment,Yes
"In consideration of the license of Liquidmetal Technical Information and the Licensed Equipment granted by Liquidmetal, Eutectix agrees to pay Liquidmetal a cash royalty based on a percentage of the invoice price of any Licensed Products (but not including Liquidmetal Products) sold by Eutectix or its permitted sublicensees and for which payment was actually received by Eutectix.",Revenue/Profit Sharing,Yes
"The cash royalty shall be an amount equal to six percent (6.0%) of the Net Sales Price of the invoice price of any Licensed Products and for which payment was actually received by Eutectix (the ""Liquidmetal Royalty"").",Revenue/Profit Sharing,Yes
"Provided that such referred customer is not already a Eutectix customer, Eutectix may accept such customer referral, and in that case hereby agrees to pay Liquidmetal a cash commission based on a percentage of the invoice price of Licensed Products sold by Eutectix or its permitted sublicensees and for which payment was actually received by Eutectix, in addition to the Liquidmetal Royalty.",Revenue/Profit Sharing,Yes
"The cash commission shall be an amount equal to six percent (6.0%) of the Net Sales Price of the invoice price of Licensed Products sold by Eutectix or its permitted sublicensees and for which payment was actually received by Eutectix (the ""Liquidmetal Commission"").",Revenue/Profit Sharing,Yes
"New Alloy Technologies that have been developed by cooperation of the Parties shall be jointly and equally owned by the Parties, and any royalties for the use thereof by third parties shall be shared equitably between the Parties.",Revenue/Profit Sharing,Yes
"New Process Technologies that have been developed by cooperation of the Parties shall be jointly and equally owned by the Parties, and any royalties for the use thereof by third parties shall be shared equitably between the Parties.",Revenue/Profit Sharing,Yes,Joint IP Ownership,Yes
"New Application Technologies that have been developed by cooperation of the Parties shall be jointly and equally owned by the Parties, and any royalties for the use thereof by third parties shall be shared equitably between the Parties.",Revenue/Profit Sharing,Yes
"New Alloy Technologies that have been developed by cooperation of the Parties shall be jointly and equally owned by the Parties, and any royalties for the use thereof by third parties shall be shared equitably between the Parties",Joint IP Ownership,Yes
"New Application Technologies that have been developed by cooperation of the Parties shall be jointly and equally owned by the Parties, and any royalties for the use thereof by third parties shall be shared equitably between the Parties",Joint IP Ownership,Yes
"To the extent that the Parties have jointly developed any New Amorphous Alloy Technology and they have agreed that such New Amorphous Alloy Technology will be jointly owned, as set forth in Section 8.2 above, each Party hereby assigns to the other, and will cause its employees, contractors, representatives, successors, assigns, Affiliates, parents, subsidiaries, officers and directors to assign to the other, a co-equal right, title and interest in and to any such jointly developed New Amorphous Alloy Technology.",Joint IP Ownership,Yes
