Clause,Label 1,Label 1-Answer
STRATEGIC ALLIANCE AGREEMENT,Document Name,STRATEGIC ALLIANCE AGREEMENT
"UTEK Corporation, ""UTEK"", Manakoa Services Corporation, ""MKOS"", Manakoa Services Corporation, ""UTEK"", UTEK Corporation",Parties,"UTEK Corporation (""UTEK""); Manakoa Services Corporation (""MKOS"")"
14 day of June 2006,Agreement Date,06/14/2006
The term of the Agreement will be for 12 months unless terminated sooner.,Expiration Date,06/14/2006
MKOS will not seek to acquire any technologies presented to MKOS by UTEK from the technology developer directly or indirectly for a period of 24 months following the termination of this Strategic Alliance Agreement.,Non-Compete,Yes
"KOS agrees that for a twenty four months (24) following the execution of this Agreement, MKOS shall not, without UTEKÕs prior written consent, directly or indirectly solicit for employment any present employee of UTEK, or request, induce or advise any employee of UTEK to leave the employ of UTEK. In turn, UTEK agrees that it will not directly or indirectly solicit any present employee of MKOS.",No-Solicit of Employees,Yes
Either party may terminate this Agreement at any time with 30 days written notice.,Termination For Convenience,Yes
"MKOS will have 30-days from receipt of information to determine if they wish to go forward with the technology license. UTEK, after 30 days, shall have the right to present the technology to other clients.",ROFR/ROFO/ROFN,Yes
"At MKOSÕs request and upon mutual agreement between MKOS and UTEK, UTEK will negotiate and seek to acquire a license to the requested technology for subsequent sale to and acquisition by MKOS.",ROFR/ROFO/ROFN,Yes
"When a technology is shown to MKOS that MKOS wants to acquire, UTEK will seek to acquire the license to a technology through one of its subsidiaries.",ROFR/ROFO/ROFN,Yes
license to a technology through one of its subsidiaries. UTEK will then seek to provide a term sheet to MKOS outlining the consideration to be paid by MKOS for the acquisition of this technology.,ROFR/ROFO/ROFN,Yes
"f MKOS executes the term sheet, agreeing to the terms set forth, UTEK shall transfer this subsidiary to MKOS in a stock for stock exchange under an ""Agreement and Plan of Acquisition.""",ROFR/ROFO/ROFN,Yes
"The benefits of the Agreement shall inure to the respective successors and assignees of the parties and assigns and representatives, and the obligations and liabilities assumed in this Agreement by the parties hereto shall be binding upon their respective successors and assigns_ provided that the rights and obligations of UTEK under this Agreement may not be assigned or delegated without the prior written consent of MKOS and any such purported assignment shall be null and void.",Anti-assignment,Yes
"In consideration for providing these Services, MKOS shall pay UTEK $120,000 in the form of unregistered shares of common stock (923,077 shares) upon the execution of this Strategic Alliance Agreement.",Revenue/Profit Sharing,Yes
