Clause,Label 1,Label 1-Answer
JOINT VENTURE AGREEMENT,Document Name,JOINT VENTURE AGREEMENT
"SIMPLY HERBALS, Nervanah Herbal Medicine Company, individually and collectively the Joint Venture Participants ""JVP"", Nervanah Herbal Medicine Company, SIMPLY HERBALS",Parties,"SIMPLY HERBALS; Nervanah Herbal Medicine Company (""JVP"")"
this 27th day of November 2018,Agreement Date,11/27/2018
"The Joint Venture is a fixed term Joint Venture beginning November 27, 2018 and ending November 30th, 2019 or as otherwise provided in this Agreement.",Effective Date,11/30/2019
"Exhibit 99.01 JOINT VENTURE AGREEMENT THIS JOINT VENTURE AGREEMENT (the ""Agreement"") made and entered into this 27th day of November 2018 (the ""Execution Date""),, The Joint Venture is a fixed term Joint Venture beginning November 27, 2018 and ending November 30th, 2019 or as otherwise provided in this Agreement., Exhibit 99.01 JOINT VENTURE AGREEMENT THIS JOINT VENTURE AGREEMENT (the ""Agreement"") made and entered into this 27th day of November 2018 (the ""Execution Date""),",Expiration Date,(None entered)
"By this Agreement the Participants enter into a general Joint Venture (the ""Joint Venture"") in accordance with the laws of The State of Florida.",Governing Law,Florida
"No Participant will engage in any business, venture or transaction, whether directly or indirectly, that might be competitive with the business of the Joint Venture or that would be in direct conflict of interest to the Joint Venture without the unanimous written consent of the remaining Participants. Any and all businesses, ventures or transactions with any appearance of conflict of interest must be fully disclosed to all other Participants. Failure to comply with any of the terms of this clause will be deemed an Involuntary Withdrawal of the offending Participant and may be treated accordingly by the remaining Participants.",Non-Compete,Yes
Accurate and complete books of account of the transactions of the Joint Venture will be kept in accordance with generally accepted accounting principles (GAAP) and at all reasonable times will be available and open to inspection and examination by any Participant.,Audit Rights,Yes
"s soon as practicable after the close of each fiscal year, the Joint Venture will furnish to each Participant an annual report showing a full and complete account of the condition of the Joint Venture. This report will consist of at least the following documents:",Audit Rights,Yes
ny of the Participants will have the right to request an audit of the Joint Venture books.,Audit Rights,Yes
Not more than one (1) audit will be required by any or all of the Participants for any fiscal year.,Audit Rights,Yes
