Clause,Label 1,Label 1-Answer
STRATEGIC ALLIANCE AGREEMENT,Document Name,STRATEGIC ALLIANCE AGREEMENT
"Sumitomo Mitsui Banking Corporation, ""SMBC"", SMBC Nikko Securities Inc., ""Nikko"" and together with SMBC, ""SMBC/Nikko"", Moelis & Company Holdings LP, ""Moelis Holdings"", Moelis & Company Holdings GP LLC, ""Moelis General Partner"", and together with Moelis Holdings, the ""Moelis Entities"", SMBC, Nikko, Moelis Holdings and Moelis General Partner are each referred to herein as a ""party"" and collectively referred to as the ""parties, ""Moelis General Partner"", and together with Moelis Holdings, the ""Moelis Entities"", Moelis & Company Holdings GP LLC, ""Moelis Holdings"", Moelis & Company Holdings LP, ""Nikko"" and together with SMBC, ""SMBC/Nikko"", SMBC Nikko Securities Inc., ""SMBC"", Sumitomo Mitsui Banking Corporation",Parties,"Sumitomo Mitsui Banking Corporation (""SMBC""); SMBCNikko Securities Inc. (""Nikko"" and together with SMBC, ""SMBC/Nikko""); Moelis & Company Holdings LP (""Moelis Holdings""); Moelis & Company Holdings GP LLC, (""Moelis General Partner"", and together with Moelis Holdings, the ""MoelisEntities"")(""party and collectively referred to as the ""parties"")"
"December 27, 2011",Agreement Date,12/27/2011
"This Agreement shall be effective as of January 1, 2012 (the ""Effective Date""), provided, however, that, ARTICLE XII and ARTICLE XIII shall not be effective until after the Closing., January 1, 2012, This Agreement shall be effective as of January 1, 2012 (the ""Effective Date""), provided, however, that, ARTICLE XII and ARTICLE XIII shall not be effective until after the Closing.",Effective Date,01/01/2012
"The initial term of this Agreement shall begin on the Effective Date and continue for three (3) years, subject to the prior termination rights provided below.",Expiration Date,01/01/2015
"At the end of such initial term, and any renewed term, as applicable, this Agreement shall automatically renew for an additional one (1) year term, unless a party provides written notice to the other parties at least six (6) months prior to the end of the   12  initial term., At the end of such initial term, and any renewed term, as applicable, this Agreement shall automatically renew for an additional one (1) year term, unless a party provides written notice to the other parties at least six (6) months prior to the end of the initial term., At the end of such initial term, and any renewed term, as applicable, this Agreement shall automatically renew for an additional one (1) year term, unless a party provides written notice to the other parties at least six (6) months prior to the end of the   12  initial term.",Renewal Term,1 year
"At the end of such initial term, and any renewed term, as applicable, this Agreement shall automatically renew for an additional one (1) year term, unless a party provides written notice to the other parties at least six (6) months prior to the end of the, At any time during a renewed term, this Agreement may be terminated by any party on six (6) months prior notice that it wishes to terminate the Agreement., At the end of such initial term, and any renewed term, as applicable, this Agreement shall automatically renew for an additional one (1) year term, unless a party provides written notice to the other parties at least six (6) months prior to the end of the",Notice Period To Terminate Renewal,6 months
"This Agreement shall be governed by, and construed in accordance with, the laws of the State of New York without regard to principles of conflict of laws.",Governing Law,New York
"Notwithstanding the foregoing, this provision shall not prevent any party from soliciting or otherwise contacting any Client (i) for any purpose other than working on or obtaining an assignment on Covered Businesses involving Japanese Companies in Covered Regions where all principal parties involved are located within Covered Regions or (ii) with whom such party (or its employees or consultants) has had a pre-existing relationship, including, but not limited to, a pre-existing contractual or business relationship, prior to the Introduction of such Client in connection with an assignment covered by this Agreement.",No-Solicit of Customers,Yes
"Each of SMBC/Nikko and Moelis Holdings agrees not to solicit or hire any employee of the other party during the term of this Agreement and for a period of 12 months thereafter; provided, however, that the foregoing restriction shall not apply to general solicitations to the public that are not specifically directed to employees of other party (or employment of applicants to such solicitations). Each of SMBC/Nikko and Moelis Holdings agrees, during the term of this Agreement (except pursuant to this Agreement) and for a period of 12 months thereafter, not to solicit any Client Introduced by the other party in connection with an assignment on Covered   8  Businesses involving Japanese Companies where all principal parties involved are located within Covered Regions.",No-Solicit of Employees,Yes
"Each of SMBC/Nikko and Moelis Holdings agrees not to solicit or hire any employee of the other party during the term of this Agreement and for a period of 12 months thereafter; provided, however, that the foregoing restriction shall not apply to general solicitations to the public that are not specifically directed to employees of other party (or employment of applicants to such solicitations). Each of SMBC/Nikko and Moelis Holdings agrees, during the term of this Agreement (except pursuant to this Agreement) and for a period of 12 months thereafter, not to solicit any Client Introduced by the other party in connection with an assignment on Covered Businesses involving Japanese Companies where all principal parties involved are located within Covered Regions.",No-Solicit of Employees,Yes
"Prior to the IPO and during the term of the Strategic Alliance, SMBC shall have the right of first refusal to purchase all (but not less than all) Additional Units that Moelis Holdings proposes to issue to an SMBC Competitor, including (x) in a proposed issuance that is excepted from Section 3.4.2 of the Moelis Holdings Agreement as an issuance to a Strategic Investor, and (y) in a proposed issuance that is subject to Section 3.4.2 of the Moelis Holdings Agreement, to the extent that the Partners do not exercise in full their right of first refusal thereunder.",ROFR/ROFO/ROFN,Yes
"In the event Moelis Holdings proposes to undertake an issuance of Additional Units to which clause (x) of Section 12.2(a) applies, it shall give SMBC written notice of its intention describing the price and terms upon which Moelis Holdings proposes to issue the same.",ROFR/ROFO/ROFN,Yes
"SMBC shall have ten (10) days from the date of delivery of any such notice to agree to purchase all, but not less than all, of such Additional Units, for the price and upon the terms specified in the notice, by delivering written notice to Moelis Holdings.",ROFR/ROFO/ROFN,Yes
"Following the expiration of such 10-day period, Moelis Holdings shall have one hundred and eighty- (180-) days to sell or enter into an agreement to sell the Additional Units with respect to which SMBCÕs right of first refusal was not exercised, at a price and upon terms no more favorable to the purchasers of such securities than specified in Moelis HoldingsÕ notice.",ROFR/ROFO/ROFN,Yes
"In the event Moelis Holdings has not sold the Additional Units or entered into an agreement to sell the Additional Units within such one hundred and eighty- (180-) day period, Moelis Holdings shall not thereafter issue or sell any Additional Units without first complying again with this Section 12.2.",ROFR/ROFO/ROFN,Yes
"In the event Moelis Holdings proposes to undertake any issuance of Additional Units to which clause (y) of Section 12.2(a) applies, SMBC shall specify in its notice delivered to Moelis Holdings pursuant to Section 3.4.2(b) of the Moelis Holdings Agreement, in addition to whether or not it elects to purchase its pro rata portion of such Additional Units, whether or not it shall exercise its right of first refusal to purchase all (but not less than all) of the Additional Units that other Partners do not purchase pursuant to their right of first refusal under Section 3.4.2 of the Moelis Holdings Agreement.",ROFR/ROFO/ROFN,Yes
"The right of first refusal granted hereunder may not be assigned or transferred, except that such right is assignable by SMBC to any of its respective Wholly-Owned Subsidiaries.",ROFR/ROFO/ROFN,Yes
"Prior to the IPO and during the term of the Strategic Alliance, Moelis General Partner shall not consent to a sale or transfer by a Partner of its Partnership Interests to an SMBC Competitor unless the Moelis General Partner caused the Partner proposing to sell or transfer its Partnership Interests to provide SMBC with a right to purchase, on the same terms and conditions, including price, all (but not less than all) of the Partnership Interests that such Partner proposes to sell or transfer to an SMBC Competitor.",ROFR/ROFO/ROFN,Yes
"In the event a Partner proposes to undertake a sale or transfer of Partnership Interests to which the foregoing right applies, and Moelis General Partner must consent to the sale or transfer, Moelis General Partner shall require that Partner to give SMBC written notice of its intention to sell or transfer Partnership Interests to an SMBC Competitor describing the price and terms upon which such Partner proposes to sell or transfer its Partnership Interests.",ROFR/ROFO/ROFN,Yes
"SMBC shall have ten (10) days from the date of delivery of any such notice to agree to purchase all, but not less than all, of such Partnership Interests, for the price and upon the terms specified in the notice, by delivering written notice to such Partner and Moelis Holdings.",ROFR/ROFO/ROFN,Yes
"Following the expiration of such 10-day period, the Partner proposing to sell or transfer Partnership Interests shall have one hundred and eighty- (180-) days to sell or transfer, or enter into an agreement to sell or transfer the Partnership Interests with respect to which SMBC Ôs right under Section 12.3(a) was not exercised, at a price and upon terms no more favorable to the purchasers of such securities than specified in the PartnerÕs notice.",ROFR/ROFO/ROFN,Yes
"In the event the Partner has not sold or transferred the Partnership Interests, or entered into an agreement to sell or transfer the Partnership Interests, within such one hundred and eighty- (180-) day period, Moelis General Partner shall not consent to the PartnerÕs selling or transferring its Partnership Interests to an SMBC Competitor thereafter without first requiring the Partner to comply again with this Section 12.3.",ROFR/ROFO/ROFN,Yes
"This Agreement may be terminated as follows:   (a) effective immediately upon mutual agreement of each of the parties;   (b) immediately by a non-breaching party, if either SMBC or Nikko, on the one hand, or Moelis Holdings, on the other hand, shall materially breach the terms and conditions of this Agreement, and such breach is continuing after written notice has been given by the non- breaching party to the breaching party that specifically identifies how the breaching party has breached this Agreement, and a reasonable period of time has elapsed in which to cure such breach, which period shall not be less than ninety (90) calendar days from the date that such breaching parties receive such notice;   (c) immediately upon the bankruptcy, insolvency, or making of the assignment for the benefit of creditors by a party; unless such termination is waived by the parties in writing not subject to any of the foregoing proceedings;   (d) by any party if the SMBC Unit-Holders cease to hold any Partnership Interests as a result of sale or transfer pursuant to Section 12.4 of this Agreement or Section 8.4 of the Moelis Holdings Agreement, such termination to be effective six (6) months following the date on which the other parties receive written notice of such partyÕs election to terminate this Agreement; and",Change of Control,Yes
"This Agreement may be terminated as follows:  (d) by any party if the SMBC Unit-Holders cease to hold any Partnership Interests as a result of sale or transfer pursuant to Section 12.4 of this Agreement or Section 8.4 of the Moelis Holdings Agreement, such termination to be effective six (6) months following the date on which the other parties receive written notice of such partyÕs election to terminate this Agreement;",Change of Control,Yes
Nothing in this Section 12.3 shall affect the power of Moelis General Partner to withhold consent to any transfer of Partnership Interests in its sole discretion to the extent authorized under Section 8.1 of the Moelis Holdings Agreement.,Anti-assignment,Yes
