Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
TRADEMARK LICENSE AGREEMENT,Document Name,TRADEMARK LICENSE AGREEMENT
"Morgan Stanley Investment Management Inc., ""Licensor"", Morgan Stanley Direct Lending Fund, ""Licensee"", Morgan Stanley Direct Lending Fund, ""Licensor"", Morgan Stanley Investment Management Inc.",Parties,"Morgan Stanley Investment Management Inc. (""Licensor""); Morgan Stanley Direct Lending Fund (""Licensee"")"
"[á] day of [á], 2019",Agreement Date,[]/[]/2019,Effective Date,[]/[]/2019
"The term of this Agreement commences on the Effective Date and continues in perpetuity, unless termination occurs pursuant to Sections 4.2 through 4.4.",Expiration Date,perpetual
"THIS AGREEMENT SHALL BE GOVERNED BY, AND CONSTRUED AND INTERPRETED IN ACCORDANCE WITH, THE LAW OF THE STATE OF NEW YORK.",Governing Law,New York
"Licensor reserves the right to terminate this Agreement immediately upon written notice for any reason, including if the usage of the Brand is not in compliance with the standards and policies.",Termination For Convenience,Yes
"This Agreement shall terminate automatically without notice and immediately (a) if MS Capital Partners Adviser Inc. or another affiliate of Licensor is no longer acting as the investment adviser (any such entity, the ""Advisor"") to Licensee under the Investment Advisory Agreement, dated as of [á], 201[9] (as the same may be amended, modified or otherwise restated, the ""Investment Advisory Agreement""), or a similar agreement, or (b) the Advisor is no longer an affiliate of Licensor.",Change of Control,Yes
"Licensee may not assign, transfer, pledge, mortgage or otherwise encumber this Agreement or its right to use the Brand (or assume this Agreement in bankruptcy), in whole or in part, without the prior written consent of Licensor in its sole discretion, except for an assignment outside of bankruptcy to a successor organization that is solely the result of a name change by Licensee.",Change of Control,Yes,Anti-assignment,Yes
"For the avoidance of doubt, a merger, change of control, reorganization or sale of all or substantially all of the stock of Licensee shall be deemed an ""assignment"" requiring the above consent, regardless of whether Licensee is the surviving entity or whether such transaction constitutes an assignment under applicable law.",Change of Control,Yes
The parties intend that any and all goodwill in the Brand arising from LicenseeÕs or any applicable sublicenseesÕ Permitted Activity shall inure solely to the benefit of Licensor.,IP Ownership Assignment,Yes
"Notwithstanding the foregoing, in the event that Licensee or any sublicensee is deemed to own any rights in the Brand, Licensee hereby irrevocably assigns (or shall cause such sublicensees to assign), without further consideration, such rights to Licensor together with all goodwill associated therewith.",IP Ownership Assignment,Yes
"Subject to the terms and conditions herein, Licensor hereby grants to Licensee a non-exclusive, non- transferable, and (subject to Section 1.2 hereof) non-sublicensable license for the use of the Brand solely for the Permitted Activity.",License Grant,Yes,Non-Transferable License,Yes
"Licensee may sublicense its rights under Section 1.1 solely to a current or future wholly owned subsidiary of Licensee, and then only with the prior written consent of Licensor (which shall not be unreasonably withheld), provided that any such sublicense shall terminate automatically, with no need for written notice to the sublicensee, if (a) such entity ceases to be a wholly owned subsidiary of Licensee, (b) this Agreement terminates for any reason or (c) such sublicensee materially breaches its sublicense in a manner that harms the Brand and does not cure the same within 15 days after notice from Licensor or Licensee.",Non-Transferable License,Yes,Affiliate License-Licensee,Yes
"EXCEPT WITH RESPECT TO LICENSEEÕS INDEMNIFICATION OBLIGATIONS UNDER SECTION 7, NEITHER PARTY WILL BE LIABLE TO THE OTHER PARTY FOR SPECIAL, INDIRECT, CONSEQUENTIAL, EXEMPLARY, PUNITIVE OR INCIDENTAL DAMAGES (INCLUDING LOST PROFITS OR GOODWILL, BUSINESS 3 Source: MORGAN STANLEY DIRECT LENDING FUND, 10-12G/A, 11/19/2019INTERRUPTION AND THE LIKE) RELATING TO THIS AGREEMENT, EVEN IF IT HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",Uncapped Liability,Yes,Cap on Liability,Yes
"EXCEPT WITH RESPECT TO LICENSEEÕS INDEMNIFICATION OBLIGATIONS UNDER SECTION 7, NEITHER PARTY WILL BE LIABLE TO THE OTHER PARTY FOR SPECIAL, INDIRECT, CONSEQUENTIAL, EXEMPLARY, PUNITIVE OR INCIDENTAL DAMAGES (INCLUDING LOST PROFITS OR GOODWILL, BUSINESS INTERRUPTION AND THE LIKE) RELATING TO THIS AGREEMENT, EVEN IF IT HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",Uncapped Liability,Yes,Cap on Liability,Yes
"Licensee agrees not to do anything inconsistent with such ownership, including (i) filing to register any trademark or service mark containing the Brand or (ii) directly or indirectly challenging, contesting or otherwise Source: MORGAN STANLEY DIRECT LENDING FUND, 10-12G/A, 11/19/2019disputing the validity, enforceability or LicensorÕs ownership of the Brand (and the associated goodwill), including without limitation, in any claim, allegation, action, demand, proceeding or suit (""Action"") regarding enforcement of this Agreement or involving any third party.",Covenant Not To Sue,Yes
"Licensee agrees not to do anything inconsistent with such ownership, including (i) filing to register any trademark or service mark containing the Brand or (ii) directly or indirectly challenging, contesting or otherwise disputing the validity, enforceability or LicensorÕs ownership of the Brand (and the associated goodwill), including without limitation, in any claim, allegation, action, demand, proceeding or suit (""Action"") regarding enforcement of this Agreement or involving any third party.",Covenant Not To Sue,Yes
