Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT,Document Name,ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT
"Marine MP, LLC, ""Lender"", Arnold Schwarzenegger, ""Endorser"", Fitness Publications, Inc., ""Fitness"", collectively, Lender, Endorser, and Fitness are referred to as the ""AS Parties"", MusclePharm Corporation, collectively, ""MusclePharm"" or the ""Company"", MusclePharm Corporation, collectively, Lender, Endorser, and Fitness are referred to as the ""AS Parties"", ""Fitness"", Fitness Publications, Inc., ""Endorser"", Arnold Schwarzenegger, ""Lender"", Marine MP, LLC",Parties,"Marine MP, LLC (""Lender""); Arnold Schwarzenegger (""Endorser""); Fitness Publications, Inc. (""Fitness""); Lender, Endorser and Fitness (""AS Parties"");  MusclePharm Corporation (""MusclePharm"" or ""Company"")"
"July 26, 2013",Agreement Date,07/26/2013,Effective Date,07/26/2013
"This Agreement shall have an Initial Term of three (3) years., The Term shall commence on July 23, 2013 and shall expire on July 22, 2016, unless otherwise terminated earlier pursuant to Section 9 of this Agreement., This Agreement shall have an Initial Term of three (3) years.",Expiration Date,07/22/2016
"In the event that MusclePharm shall achieve Net Sales (as defined below) of $20 million (the ""First Renewal Threshold"") in the aggregate during the Third Contract Year, then this Agreement shall automatically be renewed for an additional term of three (3) years (the ""First Additional Term"") on the same terms and conditions for the Initial Term except that: (i) no additional Stock Compensation (as defined below) shall be issued in connection with the renewal Term, (ii) the Cash Compensation for the First Additional Term shall be as set forth in Section 7 and Exhibit ""C"" Section (2) attached hereto, (iii) Endorser shall only be obligated to make two (2) Appearances in each Contract Year during the First Additional Term pursuant to Section 4(a)(ii) below and (iv) the marketing budget to promote the Licensed Products shall be $5.0 million during each Contract Year of the First Additional Term (subject to Section 12(b) of this Agreement)., If this Agreement is renewed for the First Additional Term, then the First Additional Term shall commence on July 23, 2016, and the Agreement shall expire and terminate automatically without further notice on July 22, 2019., In the event that MusclePharm shall achieve Net Sales of $50 million (the ""Second Renewal Threshold"") in the aggregate during the sixth Contract Year, then this Agreement shall automatically be renewed for an additional term of three (3) years (the ""Second Additional Term"") on the same terms and conditions for the initial Term except that: (i) no additional Stock Compensation (as defined below) shall be issued in connection with the renewal Term, (ii) the Cash Compensation for the renewal Term shall be as set forth in Section 7 and Exhibit ""C"" Section (3) attached hereto, (iii) Endorser shall only be obligated to make two (2) Appearances in each Contract Year during the Second Additional Term pursuant to Section 4(a)(ii) below and (iv) the marketing budget to promote the Licensed Products shall be $5.0 in each Contract Year of the Second Additional Term (subject to Section 12(b) of this Agreement)., If this Agreement is renewed for the Second Additional Term, then the Second Additional Term shall commence on July 23, 2019 and the Agreement shall expire and terminate automatically without further notice on July 22, 2022., In the event that MusclePharm shall achieve Net Sales of $50 million (the ""Second Renewal Threshold"") in the aggregate during the sixth Contract Year, then this Agreement shall automatically be renewed for an additional term of three (3) years (the ""Second Additional Term"") on the same terms and conditions for the initial Term except that: (i) no additional Stock Compensation (as defined below) shall be issued in connection with the renewal Term, (ii) the Cash Compensation for the renewal Term shall be as set forth in Section 7 and Exhibit ""C"" Section (3) attached hereto, (iii) Endorser shall only be obligated to make two (2) Appearances in each Contract Year during the Second Additional Term pursuant to Section 4(a)(ii) below and (iv) the marketing budget to promote the Licensed Products shall be $5.0 in each Contract Year of the Second Additional Term (subject to Section 12(b) of this Agreement)., If this Agreement is renewed for the First Additional Term, then the First Additional Term shall commence on July 23, 2016, and the Agreement shall expire and terminate automatically without further notice on July 22, 2019., In the event that MusclePharm shall achieve Net Sales (as defined below) of $20 million (the ""First Renewal Threshold"") in the aggregate during the Third Contract Year, then this Agreement shall automatically be renewed for an additional term of three (3) years (the ""First Additional Term"") on the same terms and conditions for the Initial Term except that: (i) no additional Stock Compensation (as defined below) shall be issued in connection with the renewal Term, (ii) the Cash Compensation for the First Additional Term shall be as set forth in Section 7 and Exhibit ""C"" Section (2) attached hereto, (iii) Endorser shall only be obligated to make two (2) Appearances in each Contract Year during the First Additional Term pursuant to Section 4(a)(ii) below and (iv) the marketing budget to promote the Licensed Products shall be $5.0 million during each Contract Year of the First Additional Term (subject to Section 12(b) of this Agreement).",Renewal Term,7/22/2019; 7/22/2022
"This Agreement has been executed and delivered in Los Angeles County in the State of California, and its interpretation, validity and performance shall be construed and enforced in accordance with the laws of the State of California.",Governing Law,California
"During the Term (including any renewal Term, if any), in the event that MusclePharm shall determine to develop and introduce a new Product into the market, MusclePharm shall provide the AS Parties with a sample of the name, design, marketing plan and an actual sample of such new Product (the ""Sample"") and the AS Parties shall have a right of first refusal (exercisable by written notice to MusclePharm within 15 days after receipt of the Sample) to include such new Product in the AS Product Line, it being understood that there shall initially be no less than four (4) Products at the start of the Term and thereafter no more than 8 (eight) Products in the AS Product Line without the mutual written agreement of the parties hereto.",ROFR/ROFO/ROFN,Yes
Neither party shall voluntarily or by operation of law assign or otherwise transfer the rights and/or obligations incurred pursuant to the terms of this Agreement without the prior written consent of the other party.,Change of Control,Yes,Anti-assignment,Yes
"Nothwithstanding the foregoing, this Agreement may be assigned without the AS PartiesÕ consent by MusclePharm in connection with a change of control transaction; provided that the acquirer of MusclePharm shall have financial resources substantially similar or greater than MusclePharm and shall specifically assume the obligations of MusclePharm under this Agreement in writing prior to the consummation of the change of control transaction.",Change of Control,Yes
"This Agreement may also be terminated by MusclePharm, upon fifteen days prior written notice, if death, or physical disability, physical injury, or other incapacity lasting more than eight (8) weeks, causes Endorser to be unable to perform a material amount of the personal or consulting services described in this Agreement.",Anti-assignment,Yes
The license granted by this Agreement is personal to MusclePharm.,Anti-assignment,Yes
"Except as set forth below, MusclePharm shall not assign or otherwise transfer, license, sublicense, or delegate any rights or obligations under this Agreement without the express prior written consent of the AS Parties.",Anti-assignment,Yes
Any attempted assignment or transfer by a party of their rights and/or obligations without such consent shall be void.,Anti-assignment,Yes
In the event that Endorser shall agree to produce the Training Video (such decision shall be made by the Endorser exercisable in his sole discretion) and Products (other than the Licensed Products) are featured and sold in connection with such Training Video then Endorser shall receive ten percent (10%) of Net Sales (as defined below) from the sale of any Products other than the Licensed Products featured and sold directly in conjunction with the Training Video.,Revenue/Profit Sharing,Yes
In the event that MusclePharm shall sell any Promotional Products above its cost then Endorser shall be entitled to receive 10% of Net Sales from the sale of such Promotional Products.,Revenue/Profit Sharing,Yes
"During the Term of this Agreement and during any sell-off period, MusclePharm shall pay Lender a royalty (the ""Royalty"") of 10% on Net Sales (as defined below) of Licensed Products sold through its wholesale Distribution Channels or retail Distribution Channels, as the case may be and 10% on Net Sales of the Training Video and any Products sold in connection with any Training Video as contemplated pursuant to the last sentence of Section 4(a)(i) above.",Revenue/Profit Sharing,Yes,Post-termination Services,Yes
"Endorser shall also supply MusclePharm with at least fifty (50) signed items for each Contract Year, on the Licensed Products or on other items to be mutually agreed upon by the parties hereto, to be used by MusclePharm in connection with the promotion of the Products and/or Licensed Products.",Minimum Commitment,Yes
"Notwithstanding the foregoing, Lender shall be entitled to receive a guaranteed minimum royalty for each Contract Year including the Additional Term, if any (the ""Guaranteed Minimum Royalty""), payable in accordance with Exhibit ""C"" attached hereto.",Minimum Commitment,Yes
"Guaranteed Minimum Royalty during the initial Term:   Contract Year   Minimum Royalty   Timing of Payment One   $1,500,000   $500,000 payment due on the following dates: July 23, 2013_ October 1, 2013_ February 1, 2014 Two   $2,000,000   $666,666.66 payment due on the following dates: July 23, 2014_ October 1, 2014_ February 1, 2015 Three   $2,500,000   $833,333.33 payment due on the following dates: July 23, 2015_ October 1, 2015_ February 1, 2016",Minimum Commitment,Yes
"Guaranteed Minimum Royalty during the First Additional Term:   In the event that the Renewal Threshold is achieved in the Third Contract Year, during the First Additional Term the Minimum Royalty and Timing of Payment shall be as follows:   Contract Year   Minimum Royalty   Timing of Payment Four   $2,500,000   $833,333.33 payment due on the following dates: July 23, 2016_ October 1, 2016_ February 1, 2017 Five   $2,500,000   $833,333.33 payment due on the following dates: July 23, 2017_ October 1, 2017_ February 1, 2018 Six   $2,500,000   $833,333.33 payment due on the following dates: July 23, 2018_ October 1, 2018_ February 1, 2019",Minimum Commitment,Yes
"Guaranteed Minimum Royalty during the Second Additional Term:   In the event that the Second Renewal Threshold is achieved in the Sixth Contract Year, during the Second Additional Term the Minimum Royalty and Timing of Payment shall be as follows:   Contract Year   Minimum Royalty   Timing of Payment Seven   $5,000,000   $1,666,666.66 payment due on the following dates: July 23, 2019_ October 1, 2019_ February 1, 2020 Eight   $5,000,000   $1,666,666.66 payment due on the following dates: July 23, 2020_ October 1, 2020_ February 1, 2021 Nine   $5,000,000   $1,666,666.66 payment due on the following dates: July 23, 2021_ October 1, 2021_ February 1, 2022",Minimum Commitment,Yes
MusclePharm agrees that any copyrights in works created based upon the Trademarks and/or Name and Appearance Rights shall become the rights of the AS Parties (as among them to be determined among them),IP Ownership Assignment,Yes
"MusclePharm irrevocably and unconditionally transfers and assigns to the AS Parties in perpetuity and throughout the universe any and all of MusclePharmÕs right, title, and interest, if any (including, without limitation, the rights generally known as Ômoral rightsÕ) in and to all works, including any packaging, advertising and promotional materials, and other materials based upon the Trademarks and/or Name and Appearance Rights, all of which shall, upon their creation, become and remain the property of the AS Parties.",IP Ownership Assignment,Yes
"All such works based upon the Trademarks and/or Name and Appearance Rights shall be prepared by an employee-for- hire of MusclePharm (under MusclePharmsÕs sole supervision, responsibility, and monetary obligation) or as a work-for-hire by a third party who assigns to the AS Parties in writing and in perpetuity throughout the universe all right, title, and interest in the same provided however, nothing herein shall preclude MusclePharm from using any of the intellectual property to be retained by MusclePharm contemplated pursuant to Section 9(f) of this Agreement after the termination of this Agreement.",IP Ownership Assignment,Yes
"Endorser also agrees to the use on a world-wide basis (as specified pursuant to Section 6 below and subject to the terms and conditions of this Agreement), during the Term, of his Name and Appearance Rights to advertise and promote the business of MusclePharm, its Products, and the Licensed Products.",License Grant,Yes
"Endorser agrees that during the Term MusclePharm shall have the right to use, worldwide, EndorserÕs Name and Appearance Rights (as specified in Section 6) to advertise MusclePharm and its Products and Licensed Products in print media, and in all other forms of media (other than telephone marketing or texting campaigns) including, but not limited to, point of sale material, premiums and novelties, direct marketing material, and radio, television, electronic, and computer media (including but not limited to MusclePharmÕs Internet and social media websites). Print media will also include promotional items on which EndorserÕs approved picture; approved likeness, or facsimile signature may appear. Endorser will have the right to approve, in writing via his representativeÕs office, all advertising materials which utilize EndorserÕs Name and Appearance Rights, but Endorser will not unreasonably withhold approval and will promptly respond to all approval requests.",License Grant,Yes
"During the Term, MusclePharm shall have the right to create and distribute the Promotional Products world- wide.",License Grant,Yes
"As provided below, during the Term, the AS Parties grant to MusclePharm the right to use the Trademarks as defined in this Agreement and the Name and Appearance Rights, which shall include EndorserÕs name, approved photograph, approved picture (including, without limitation, any copyrighted pictures and video images of the Endorser owned by the Endorser which Endorser agrees to make available for use hereunder), approved appearance, or approved likeness, including video and other recordings of EndorserÕs appearance, along with the right to use EndorserÕs voice, including audio or other recordings of EndorserÕs voice, EndorserÕs signature, personal or professional background and experience, reputation, approved quotations and approved endorsements, or approved paraphrases of EndorserÕs approved quotations and endorsements, including approved touch-ups, approved simulations or approved compositions of any of the above whether generated by computer or by any other means, for the period of time and for the purposes set forth in this Agreement. MusclePharm acknowledges that the use of some works may require that MusclePharm obtain a copyright license from third parties.",License Grant,Yes
"During the Term of this Agreement, the AS Parties grant to MusclePharm and consent to MusclePharmÕs commercial use of the Name and Appearance Rights to advertise, promote, endorse and publicize Products, Licensed Products, and MusclePharmÕs business, worldwide in any media selected by MusclePharm (excluding telephone or texting campaigns), including but not limited to print, radio, television, electronic, wireless or internet, pursuant to the terms and conditions set forth herein. MusclePharm acknowledges that any use on products requires approval and that use of the Name and Appearance Rights on products is limited to the Licensed Products.",License Grant,Yes
"Endorser also grants to MusclePharm and consents to MusclePharmÔs editorial use world-wide of EndorserÕs Name and Appearance in MusclePharm published materials approved by Endorser. For purposes of this Agreement, MusclePharmÕs editorial use of EndorserÕs Name and Appearance shall mean a use that does not directly promote, advertise or endorse MusclePharmÕs business, its Products or Licensed Products. Nothing in this Section 6(c) shall entitle MusclePharm to reduce EndorserÕs compensation pursuant to Section 7 and Section 8 of this Agreement (including, without limitation, with respect to any renewal Term, if any).",License Grant,Yes
"MusclePharm shall have the rights to use EndorserÕs Name and Appearance Rights and the Right to Publicize EndorserÕs Name and Appearance, as provided in this Agreement, unless Endorser and MusclePharm enter into a separate written agreement in which MusclePharm waives or releases some or all of the rights Endorser has granted in this Agreement.",License Grant,Yes
"In addition, notwithstanding the foregoing, the Endorser and the Lender shall be entitled to sell, transfer and assign the Cash Compensation and the Compensation Shares (subject to compliance with the restrictions set forth in Section 8(a) above and federal and state securities laws) to third parties_ provided, however, that Endorser shall remain solely liable to fulfill all of his obligations under this Agreement.",Non-Transferable License,Yes
"During the Term, the right to use Endorser's Name and Appearance Rights granted to MusclePharm in this Section shall extend for six (6) months beyond the expiration of this Agreement (the ""Use-up Period"").",Post-termination Services,Yes
"MusclePharm shall create no new advertising during the Use-up Period using Endorser's Name and Appearance, but shall have the right to use during the Use-up Period Endorser's Name and Appearance in advertisements and promotional materials created before the expiration date of this Agreement.",Post-termination Services,Yes
"Notwithstanding the foregoing, in the event the expiration of this Agreement or termination of this Agreement by Musclepharm pursuant to paragraph 9(a), MusclePharm shall be entitled to sell-off the remaining Licensed Products for six (6) months after such expiration of this Agreement pursuant to paragraph 4(d) herein and shall continue to pay Endorser the Royalty set forth in paragraph 7 herein.",Post-termination Services,Yes
"Lender understands that all books, records, and documents of MusclePharm relating to it have been and remain available for inspection by him or his business and financial advisors upon reasonable notice.",Audit Rights,Yes
"Audit Rights:   (a) The AS Parties shall have the right, upon at least five (5) days written notice and no more than once each Contract Year of the Term to inspect MusclePharmÕs books and records and all other documents and material in the possession of or under the control of MusclePharm with respect to the Licensed Products at the place or places where such records are normally retained by MusclePharm.",Audit Rights,Yes
"MusclePharm shall at all reasonable times during the Term (but no more than once during each Contract Year of the Term), and upon reasonable notice, permit the AS Parties to send their authorized representatives to inspect the facilities of MusclePharm or its agents in order to confirm that the production of the Licensed Products hereunder is in compliance with the quality standards set out herein and, at MusclePharmÕs expense, randomly test the formulas of the Licensed Products for quality control purposes, although the AS Parties will have no obligation to do so.",Audit Rights,Yes
"IN NO EVENT SHALL THE AS PARTIES BE LIABLE FOR SPECIAL, CONSEQUENTIAL, OR PUNITIVE DAMAGES.",Cap on Liability,Yes
"MusclePharm shall, throughout the Term of the Agreement and for a period of not less than four years thereafter, obtain and maintain at its own cost and expense from a qualified insurance company licensed to do business in California and New York, a commercial general liability insurance policy including coverage for contractual liability (applying to the terms and conditions of this agreement), product liability, personal injury liability, and advertiser's liability, in a form approved by the AS Parties, in the amount of at least Five Million Dollars (US$5,000,000) per occurrence naming the AS Parties (for the avoidance of doubt, specifically including each of Lender, Endorser, and Fitness) as additional named insureds",Insurance,Yes
"Without limiting the generality of the foregoing, such policy shall provide protection against any and all claims, demands, and causes of action arising out of any defects or failure to perform, alleged or otherwise, of the Products and Licensed Products or any material used in connection therewith or any use thereof.",Insurance,Yes
"The policy shall provide for ten (10) days notice to the AS Parties from the insurer by Registered or Certified Mail, return receipt requested, in the event of any modification, cancellation, or termination thereof.",Insurance,Yes
"MusclePharm agrees to furnish the AS Parties a certificate of insurance evidencing same within thirty (30) days after execution of this Agreement and, in no event, shall MusclePharm manufacture, distribute, advertise, or sell the Licensed Products prior to receipt by the AS Parties of such evidence of insurance.",Insurance,Yes
