Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
COLLABORATION & ENDORSEMENT AGREEMENT,Document Name,COLLABORATION & ENDORSEMENT AGREEMENT
"The Naked Brands Group, Inc., ""Naked"", Wade Enterprises, LLC, ""Wade Enterprises"", f/s/o Dwyane Wade, ""Athlete"", ""Athlete"" and together with Wade Enterprises, collectively ""Wade""), Wade Enterprises, Athlete and together with Naked, are each referred to herein as a ""Party"" and collectively, the ""Parties""., ""Athlete"" and together with Wade Enterprises, collectively ""Wade""), ""Athlete"", f/s/o Dwyane Wade, ""Wade Enterprises"", Wade Enterprises, LLC, ""Naked"", The Naked Brands Group, Inc.",Parties,"The Naked Brands Group, Inc (""Naked""); Wade Enterprises, LLC (""Wade Enterprises""); f/s/o Dwayne Wade (""Athlete"" and together with Wade Enterprises (collectively, ""Wade""); Wade Enterprises, Athlete and togetherwith Naked, (""Party"" and collectively, the ""Parties"")"
"15th day of June, 2015",Agreement Date,06/15/2015,Effective Date,06/15/2015
"The initial term of this Agreement shall be for a period of four (4) years, commencing on the Effective Date, which term may be extended for up to three (3) years by written agreement of both Parties prior to the expiration date of the initial term or any extension thereof (collectively, the ""Term"").",Expiration Date,06/15/2019,Renewal Term,three (3) years
"This Agreement, all amendments hereto, and any and all issues or controversies arising here from or related hereto, shall be governed by and construed exclusively in accordance with the laws of the State of New York.",Governing Law,New York
"Wade represents and warrants that during the Term and in  the Territory, neither Wade nor any of his agents, representatives or employees will solicit, initiate, or encourage any proposal for an endorsement by Wade of any Innerwear to commence during the Term, or participate in any discussions or negotiations for the same.",Non-Compete,Yes
"Notwithstanding the foregoing, Wade agrees that for a period of ninety (90) days prior to the expiration of the Term (unless the Agreement is terminated by Wade as permitted hereunder), Naked shall have the exclusive right to negotiate for continued endorsement by Athlete of the Naked Products.",Exclusivity,Yes,ROFR/ROFO/ROFN,Yes
"During the Term and subject to the limitations set forth in this Agreement, Naked shall have an exclusive right and license in the Territory to use AthleteÕs name, nickname, initials, autograph, image, likeness, photographs, biographical details, facsimile signature, voice, videos, electronic media depictions, any words, symbols or other depictions, as well as any other identifying attributes that would identify Athlete to the public, including any trade mark(s), copyrights which Wade has, as set forth on Schedule A attached hereto, and all multimedia assets that Wade owns or has right to use (collectively, the ""Wade Image"") solely for the advertising, endorsement, promotion, or sale of the Naked Products (including the Wade Products) in the Territory as follows:",Exclusivity,Yes
Neither this Agreement nor any of the rights or obligations contained herein may be assigned or transferred by either Party without the prior written consent of the other Party.,Anti-assignment,Yes
"Wade is hereby granted a warrant (the ""Grant Warrant"") exercisable for a period of seven (7) years from the date of issuance for the number of shares of Common Stock equal to [***] shares of Common Stock (the ""Wade Grant""), subject to the following terms:",Revenue/Profit Sharing,Yes
"Wade shall be available to render services at such production day for a maximum of three (3) consecutive hours, not including scheduled breaks, during each such production day period_ provided that, in the event an additional production day is reasonably required for the creation of marketing assets related to the Wade Product packaging, Athlete will be available to render services for up to an additional three (3) hours in either the first Contract Year or the second Contract Year but not both.",Volume Restriction,Yes
"Beginning in the second Contract Year, Wade will be available for a maximum of one (1) production day for creating marketing assets for Wade Products and Naked Products for unlimited use in advertisements and the media, for a maximum of three (3) consecutive hours, not including scheduled breaks, during such production day period.",Volume Restriction,Yes
"During each Contract Year, Wade will be available for two (2) personal appearances (each, a ""Personal Appearance"") on behalf of Naked and the Naked Products and Wade Products in the media, including publicity shoots, interviews, print, television, radio and social media channels, each appearance for a maximum of sixty (60) consecutive minutes to be scheduled at a time mutually agreeable to Naked and Wade_",Volume Restriction,Yes
"All rights to the use of the names, trademarks, service marks, symbols, logos, domain names, trade secrets, confidential know-how, patents, copyrights, any pending applications with respect to any of the foregoing, and  any other intellectual property and related proprietary rights, interests and protections (""Intellectual Property Rights"") in connection with Wade Products will be jointly owned by Wade and Naked.",Joint IP Ownership,Yes
"During the Term and subject to the limitations set forth in this Agreement, Naked shall have an exclusive right and license in the Territory to use AthleteÕs name, nickname, initials, autograph, image, likeness, photographs, biographical details, facsimile signature, voice, videos, electronic media depictions, any words, symbols or other depictions, as well as any other identifying attributes that would identify Athlete to the public, including any trade mark(s), copyrights which Wade has, as set forth on Schedule A attached hereto, and all multimedia assets that Wade owns or has right to use (collectively, the ""Wade Image"") solely for the advertising, endorsement, promotion, or sale of the Naked Products (including the Wade Products) in the Territory as follows: Source: NAKED BRAND GROUP INC., POS AM (on S-1), 7/31/2015Confidential Information has been omitted in places marked ""[***]"" and has been filed separately with the Securities and Exchange Commission.  Confidential Treatment has been requested with respect to this omitted information pursuant to an application for confidential treatment filed with  the Commission under Rule 406 under the Securities Act of 1934, as amended. (1) On NakedÕs website(s) (""Website""); (2) In social media channels, including, but not limited to Facebook, Instagram, Twitter, YouTube, Google+, Tumblr and other mutually agreeable channels, with reasonable frequency, to promote Naked Products and Wade Products; (3) In marketing and media opportunities in connection with the Wade Services (as defined below); and (4) For use on the packaging of the Naked Products and Wade Products and on Wade Products themselves.",License Grant,Yes
"During the Term and subject to the limitations set forth in this Agreement, Naked shall have an exclusive right and license in the Territory to use AthleteÕs name, nickname, initials, autograph, image, likeness, photographs, biographical details, facsimile signature, voice, videos, electronic media depictions, any words, symbols or other depictions, as well as any other identifying attributes that would identify Athlete to the public, including any trade mark(s), copyrights which Wade has, as set forth on Schedule A attached hereto, and all multimedia assets that Wade owns or has right to use (collectively, the ""Wade Image"") solely for the advertising, endorsement, promotion, or sale of the Naked Products (including the Wade Products) in the Territory as follows: (1) On NakedÕs website(s) (""Website""); (2) In social media channels, including, but not limited to Facebook, Instagram, Twitter, YouTube, Google+, Tumblr and other mutually agreeable channels, with reasonable frequency, to promote Naked Products and Wade Products; (3) In marketing and media opportunities in connection with the Wade Services (as defined below); and (4) For use on the packaging of the Naked Products and Wade Products and on Wade Products themselves.",License Grant,Yes
"For the avoidance of doubt, that certain logo designed by Athlete prior to the date hereof (the ""Logo"") shall remain the sole property of Wade and Naked shall have license during the Term to use the Logo for the advertising, endorsement, promotion, or sale of the Naked Products (including the Wade Products) in the Territory in accordance with the terms and conditions of the Agreement",License Grant,Yes
Such usage may not be sold or transferred.,Non-Transferable License,Yes
"For a period of six (6) months at the end of the Term (the ""Sell-off Period""); provided that the Agreement was not terminated by Wade as permitted herein, Naked will have the right to continue to sell the Wade Products (defined below) for which orders have already been placed at the end of the Term on the terms and conditions herein.",Post-termination Services,Yes
