Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
TRADEMARK LICENSE AGREEMENT,Document Name,TRADEMARK LICENSE AGREEMENT
"Palmer Square Capital Management LLC, the ""Licensor"", Palmer Square Capital BDC Inc., the ""Licensee"", Palmer Square Capital BDC Inc., the ""Licensor"", Palmer Square Capital Management LLC",Parties,"Palmer Square Capital Management LLC (""Licensor""); Palmer Square Capital BDC Inc. (""Licensee"")"
"[ ] day of [ ], 2020",Agreement Date,[]/[]/2020,Effective Date,[]/[]/2020
This Agreement shall expire if the Investment Advisor or one of its affiliates ceases to serve as investment adviser to the Licensee.,Expiration Date,perpetual
"This Agreement shall be governed by, and construed in accordance with, the laws of the State of New York.",Governing Law,New York
This Agreement shall be terminable by Licensor at any time and in its sole discretion in the event that Licensor or Licensee receives notice of any Third Party Claim arising out of LicenseeÕs use of the Licensed Mark_ by Licensor or Licensee upon sixty (60) daysÕ written notice to the other party_ or by Licensee at any time in the event Licensee assigns or attempts to assign or sublicense this Agreement or any of LicenseeÕs rights or duties hereunder without the prior written consent of Licensor.,Termination For Convenience,Yes
This Agreement shall be terminable by Licensee at any time in the event Licensee assigns or attempts to assign or sublicense this Agreement or any of LicenseeÕs rights or duties hereunder without the prior written consent of Licensor.,Anti-assignment,Yes
This Agreement shall be terminable by Licensor at any time and in its sole discretion in the event that Licensor or Licensee receives notice of any Third Party Claim arising out of LicenseeÕs use of the Licensed Mark; by Licensor or Licensee upon sixty (60) daysÕ written notice to the other party; or by Licensee at any time in the event Licensee assigns or attempts to assign or sublicense this Agreement or any of LicenseeÕs rights or duties hereunder without the prior written consent of Licensor.,Anti-assignment,Yes
"Licensee shall not sublicense, assign, pledge, grant or otherwise encumber or transfer to any third party all or any part of its rights or duties under this Agreement, in whole or in part, without the prior written consent of the Licensor, which consent Licensor may grant or withhold in its sole and absolute discretion",Anti-assignment,Yes
Any purported transfer without such consent shall be void ab initio.,Anti-assignment,Yes
"Subject to the terms and conditions of this Agreement, Licensor hereby grants to Licensee, and Licensee hereby accepts from Licensor, a personal, non-exclusive, royalty-free right and license to use the Licensed Mark solely and exclusively as a component of LicenseeÕs own corporate name and in connection with marketing the investment management, investment consultation and investment advisory services that Investment Advisor may provide to Licensee.",License Grant,Yes,Non-Transferable License,Yes
"For twenty-four (24) months following termination of this Agreement, Licensee shall specify on all public-facing materials in a prominent place and in prominent typeface that Licensee is no longer operating under the Licensed Mark, is no longer associated with Licensor, or such other notice as may be deemed necessary by Licensor in its sole discretion in its prosecution, defense, and/or settlement of any Third Party Claim.",Post-termination Services,Yes
"The parties agree that Investment Advisor shall be a third party beneficiary of this Agreement, and shall have the rights and protections provided to Licensee under this Agreement.",Third Party Beneficiary,Yes
