Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
ENDORSEMENT AGREEMENT,Document Name,ENDORSEMENT AGREEMENT
"ABG-Shaq, LLC, ""ABG"", Papa JohnÕs Marketing Fund, Inc, ""PJMF"", Papa JohnÕs International, Inc., ""PJI"", PJMF and PJI are, individually and collectively, ""PAPA JOHNÕS"", ""PJI"", Papa JohnÕs International, Inc., ""PJMF"", Papa JohnÕs Marketing Fund, Inc, ""ABG"", ABG-Shaq, LLC",Parties,"ABG-Shaq, LLC (""ABG""); Papa John's Marketing Fund, Inc (""PJMF""); Papa John's International, Inc (""PJI"")(PJMF and PJI individually and collectively, ""PAPA JOHN'S"")"
"March 15, 2019",Agreement Date,03/15/2019,Effective Date,03/15/2019
"Unless earlier terminated in accordance with the provisions hereof, the initial term of this Agreement (""Term"") is the Effective Date through March 15, 2022.",Expiration Date,03/15/2022
"The Agreement may be extended for one (1) year upon the partiesÕ mutual agreement in writing, it being specifically understood the services to be performed by CELEBRITY (on behalf of ABG) and remuneration to ABG in connection with the same shall be negotiated in good faith.",Renewal Term,1 year
"This Agreement shall be governed by and construed in accordance with the laws of the State of Delaware, without regard to its principles of conflicts of law.",Governing Law,Delaware
"Subject to the terms contained herein, PAPA JOHNÕS and ABG agree and acknowledge that during the Term of this Agreement and for one (1) year thereafter, ABG shall be prohibited from granting any rights for CELEBRITY identical or similar to the rights granted to PAPA JOHNÕS hereunder to any entity other than PAPA JOHNÕS for the purpose of directly promoting, advertising, making an appearance on behalf of, or endorsing Competitive Products_ provided, however, that in the event this Agreement is terminated pursuant to Section 7.B. of this Agreement, the prohibition referenced above shall be for a period of six (6) months, except that the prohibition shall referenced above shall not apply (or shall immediately cease to apply, as applicable) in the event of any one or more of the following: (i) the Agreement is terminated due to PAPA JOHNÕS failure to pay to ABG any monies under this Agreement, as set forth herein, (ii) the Agreement is terminated due to PAPA JOHNÕS failure to grant, issue, or cause to vest any of the RSUs (as hereinafter defined) under this Agreement, as set forth herein, (iii) PAPA JOHNÕS failure to pay to ABG any monies under Section 7.D.a. or Section 7.D.b. of this Agreement, as set forth herein, or (iv) PAPA JOHNÕS failure to grant, issue, or cause to vest any of the RSUs under Section 7.E.a. or Section 7.E.b. of this Agreement, as set forth herein.",Non-Compete,Yes,Exclusivity,Yes
"PAPA JOHNÕS shall not, during the Term or at any time thereafter: (I) defame or disparage CELEBRITY or the Personality Rights (or any portion thereof), nor shall PAPA JOHNÕS place the CELEBRITY or the Personality Rights (or any portion thereof) in a negative light, whether in connection with this Agreement or otherwise, or (ii) utilize the Personality Rights (or any portion thereof) in association with, nor shall PAPA JOHNÕS associate CELEBRITY with any of the following: (A) alcohol, drugs (including, without limitation, both prescription and non-prescription) or other supplements; (B) death; (C) pornography or other ""adult only"" or sexually explicit activities; (D) massage parlors, prostitution or any dating or escort activities; (E) weapons or ammunition; (F) denigration or discrimination against individuals based on race, national origin, gender, religion, disability, ethnicity, sexual orientation, gender identity or age; (G) incontinence; (H) weight loss/gain; (I) medical conditions (including, without limitation, hair loss); or (J) political campaigns or causes.",Non-Disparagement,Yes
"All Parties agree not to disparage or make derogatory comments, verbal or written, regarding the other Party during the Term of the Agreement, and for one year thereafter.",Non-Disparagement,Yes
"In the event PAPA JOHNÕS wishes to sub-contract any or all of the operation of the Products or its related business hereunder (e.g., design of the Products, advertising of the Products, creation of Products, etc.) to any third party (e.g., ad agencies, photographers, videographers, producers, crew, etc.) (each, a ""Sub-Contractor""), the same may only be done if and after ABG has given its Approval therefor.",Anti-assignment,Yes
"At least eight (8) ""Service Days"", including but not limited to: 1. Production days. Up to four (4) production days (defined as a maximum of eight (8) consecutive hours each), with PAPA JOHNÕS creative agency. 2. Personal appearances. CELEBRITY shall appear at least (each of the following not to exceed six (6) consecutive hours): (A) One (1) day engaging with franchisees and team members at company-wide event(s)_ (B) One (1) day visiting Papa JohnÕs Pizza stores, date and locations to be mutually agreed upon by the Parties_ and (C) One (1) day at a community event, date and location to be mutually agreed upon by the Parties.",Minimum Commitment,Yes,Volume Restriction,Yes
