Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
CO-BRANDING AGREEMENT,Document Name,CO-BRANDING AGREEMENT
"VerticalNet, Inc., ""VerticalNet"", PaperExchange.com, LLC, ""PaperExchange"", PaperExchange.com, LLC, ""VerticalNet"", VerticalNet, Inc.",Parties,"VerticalNet, Inc. (""""VerticalNet""); PaperExchange.com, LLC (""PaperExchange"")"
"September 30, 1999",Effective Date,09/30/1999
"Initial Term shall mean the Effective Date through the day prior to the fourth anniversary of the Effective Date, unless earlier terminated pursuant to Section 8",Expiration Date,09/30/2003
"This Agreement will automatically renew at the end of the Initial Term or a subsequent renewal term on a year to year basis (each, a ""Renewal Term""), unless either party notifies the other at least 30 days prior to the end of the Initial Term or then current Renewal Term, as applicable, of its intention not to renew this Agreement.",Renewal Term,successive 1 year,Notice Period To Terminate Renewal,30 days
This Agreement shall be governed by and interpreted under the laws of the Commonwealth of Pennsylvania without regard to its conflicts of law provisions.,Governing Law,Pennsylvania
"From time to time, PaperExchange shall provide to VerticalNet, at PaperExchange's sole cost and expense, relevant content provided to it by third parties consisting of (a) job listings for inclusion, at VerticalNet's reasonable business discretion and at VerticalNet's then current listing rate, in the Co-Branded Career Center or on any other VerticalNet Site except a Site co-branded with a PaperExchange Competitor (the ""PaperExchange Career Content"") and (b) equipment listings for inclusion, at VerticalNet's reasonable business discretion and at VerticalNet's then current listing rate, in the Co-Branded Equipment Listings or on any other VerticalNet Site except a Site co-branded with a PaperExchange Competitor (the ""PaperExchange Equipment Content"", and together with the PaperExchange Career Content, the ""PaperExchange Content"").",Non-Compete,Yes
"VerticalNet shall not disclose, transfer or otherwise provide the PaperExchange Content to any third party, including, but not limited to, any PaperExchange Competitor, except as otherwise permitted under this Agreement.",Non-Compete,Yes
"VerticalNet and PaperExchange shall be responsible for the sale of all advertising on the Co-Branded Sites_ provided, however, that neither party shall sell advertising on the Co-Branded Sites to a competitor (as defined in 1.16 and 1.25) and provided that each party shall submit any proposed advertising for the Co-Branded Sites to the other party for its prior written approval, such approval not to be unreasonably withheld, delayed or conditioned.",Non-Compete,Yes
"During the Term, VerticalNet will not disclose, transfer or otherwise provide the VerticalNet Content and/or the VerticalNet Archived Content to any PaperExchange Competitor.",Non-Compete,Yes
"During the Term, VerticalNet shall not (a) act as an advertising agent or representative for any PaperExchange Competitor and (b) place any advertisements on Pulp and Paper Online from any PaperExchange Competitor.",Non-Compete,Yes
"During the Term, PaperExchange shall not place any advertisements on the PaperExchange Site from any Pulp and Paper Online Competitor.",Non-Compete,Yes
"During the Term and for a period of four years after the termination of this Agreement, VerticalNet shall not, directly or indirectly, by itself, through its Affiliates or through any type of joint venture or similar affiliation with a third party, without prior written approval from PaperExchange, buy, sell or trade (a) paper pulp products through exchanges, auctions, or reverse auctions or any other e-commerce medium, (b) paper (other than finished paper-based products, including, but not limited to, books, stamps and labels) and copy paper (i) through exchanges, auctions or reverse auctions or (ii) in quantities greater than one ton through any e-commerce medium, (c) raw materials used to make paper packaging, including, but not limited to, linerboard, medium, other containerboard grades and corrugated sheet through exchanges, auctions, reverse auctions or any other e-commerce medium, or (d) paper rolls and reels weighing more than 50 pounds used by printers through exchanges, auctions, reverse auctions or any other e-commerce medium_ provided, however, that this Section 5.8.1  [Non-Competition] shall not apply to advertisements, Storefronts or similar features on VerticalNet's Sites.",Non-Compete,Yes
"During the Term, VerticalNet will not, directly or indirectly, design, host, operate, maintain or otherwise participate in a co-branded career center or a co-branded equipment listing Site with a PaperExchange Competitor or license a VerticalNet Link for use or display on any PaperExchange Competitor's Site.",Non-Compete,Yes
"During the Term, PaperExchange will not, directly or indirectly, design, host, operate, maintain or otherwise participate in a co-branded career center or a co-branded equipment listing Site with a Pulp and Paper Online Competitor or license a PaperExchange Link for use or display on any Pulp and Paper Online Competitor's Site.",Non-Compete,Yes
"PaperExchange hereby grants VerticalNet an exclusive license to use, modify, enhance, reproduce, display, perform and transmit the PaperExchange Content, subject to and in accordance with the terms, conditions and provisions of this Agreement.",Exclusivity,Yes,License Grant,Yes
"During the Term, VerticalNet shall have the exclusive right to arrange for the sale of ***** of the third party advertising inventory (which shall consist of a minimum of one advertisement per page on each of the ""Co-Branded Equipment,"" ""Co-Branded Careers,"" ""Resources"" and ""Home Page"" sections or successor, replacement or substitute sections) of the PaperExchange Site and shall be consistent with the amount of advertising on other business to business vertical sites on the PaperExchange Site (the ""Third Party Advertising Allocation"").",Exclusivity,Yes,Minimum Commitment,Yes
"PaperExchange shall retain the right to place advertisements for its own account on the remaining ***** of the Third Party Advertising Allocation_ provided, however, that if any portion of such Third Party Advertising Allocation remains unsold 45 days after it becomes available for advertising, VerticalNet shall have the exclusive right to arrange for third party advertising on such unsold Third Party Advertising Allocation.",Exclusivity,Yes
"Except as otherwise set forth herein, neither party shall transfer, assign or cede any rights or delegate any obligations hereunder, in whole or in part, whether voluntarily or by operation of law, without the prior written consent of the other party, which consent may be withheld at the other party's reasonable business discretion; provided, however, that either party may transfer this Agreement without prior written consent of the other party to an Affiliate or in connection with a merger or sale of all or substantially all of the stock or assets of such party.",Anti-assignment,Yes
VerticalNet will pay PaperExchange ***** of the Career Center Net Revenue.,Revenue/Profit Sharing,Yes
VerticalNet will pay PaperExchange ***** of the Equipment Listings Net Revenue.,Revenue/Profit Sharing,Yes
VerticalNet will pay PaperExchange ***** of the gross sales of the Professional e-Bookstore on Pulp and Paper Online that originated from the PaperExchange Site.,Revenue/Profit Sharing,Yes
"During the Term, VerticalNet shall not share any revenue derived from advertisements hosted on Pulp and Paper Online or any other VerticalNet Site with PaperExchange_ provided, however, that if PaperExchange brings VerticalNet a Qualified Lead * Confidential Treatment Requested: material has been omitted and filed   separately with the Commission                                        11 (as defined below) for a new customer that turns into a sale of advertising on Pulp and Paper. Online or Packaging Online, including, without limitation, the Co-Branded Sites, VerticalNet shall pay to PaperExchange a commission of ***** of the Net Advertising Revenue resulting from such sale of advertising, with the exception that if such advertising is on the Co-branded Career Center, VerticalNet shall pay PaperExchange a commission of ***** of the Net Advertising Revenue resulting from such sale of advertising.",Revenue/Profit Sharing,Yes
"During the Term, VerticalNet shall not share any revenue derived from advertisements hosted on Pulp and Paper Online or any other VerticalNet Site with PaperExchange_ provided, however, that if PaperExchange brings VerticalNet a Qualified Lead (as defined below) for a new customer that turns into a sale of advertising on Pulp and Paper. Online or Packaging Online, including, without limitation, the Co-Branded Sites, VerticalNet shall pay to PaperExchange a commission of ***** of the Net Advertising Revenue resulting from such sale of advertising, with the exception that if such advertising is on the Co-branded Career Center, VerticalNet shall pay PaperExchange a commission of ***** of the Net Advertising Revenue resulting from such sale of advertising.",Revenue/Profit Sharing,Yes
PaperExchange shall pay to VerticalNet a commission of ***** of the Net Advertising Revenue received during the Term for advertisements located on the Third Party Advertising Allocation of the PaperExchange Site.,Revenue/Profit Sharing,Yes
"If PaperExchange sells advertising to a third party on the PaperExchange Site independently from VerticalNet, PaperExchange shall pay to VerticalNet a commission of ***** of the Net Advertising Revenue resulting from such advertising during the Term; provided, however, that if PaperExchange previously rejected advertising by such party when proposed by VerticalNet pursuant to Section 4.1  [Advertisements on the PaperExchange Site], or terminated without cause a prior agreement with such third party that had resulted from such a proposal by VerticalNet, then PaperExchange shall pay ***** of the Net Advertising Revenue resulting from such advertising during the Term to VerticalNet.",Revenue/Profit Sharing,Yes
"After PaperExchange has generated PaperExchange Revenue equal to *****, PaperExchange shall pay an amount equal to ***** of the PaperExchange Revenue to VerticalNet; provided, however, that if, in any given calendar year, VerticalNet receives ***** pursuant to this Section 7.4  [Revenue Sharing], the percentage of PaperExchange Revenue that PaperExchange shall pay to VerticalNet for the remainder of such calendar year shall be reduced to *****; and provided further, however, that if, in any given calendar year, VerticalNet receives * Confidential Treatment Requested: material has been omitted and filed   separately with the Commission.                                        12 ***** in the aggregate pursuant to this Section 7.4  [Revenue Sharing], the percentage of PaperExchange Revenue that PaperExchange shall pay to VerticalNet for the remainder of such calendar year shall be reduced to *****.",Revenue/Profit Sharing,Yes
"After PaperExchange has generated PaperExchange Revenue equal to *****, PaperExchange shall pay an amount equal to ***** of the PaperExchange Revenue to VerticalNet; provided, however, that if, in any given calendar year, VerticalNet receives ***** pursuant to this Section 7.4  [Revenue Sharing], the percentage of PaperExchange Revenue that PaperExchange shall pay to VerticalNet for the remainder of such calendar year shall be reduced to *****; and provided further, however, that if, in any given calendar year, VerticalNet receives ***** in the aggregate pursuant to this Section 7.4  [Revenue Sharing], the percentage of PaperExchange Revenue that PaperExchange shall pay to VerticalNet for the remainder of such calendar year shall be reduced to *****.",Revenue/Profit Sharing,Yes
the Co-Branded URLs shall be owned by the party that offers to pay the highest amount to the other for the ownership of such URLs upon payment of such amount to the other party,IP Ownership Assignment,Yes
"VerticalNet hereby grants to PaperExchange a non-exclusive, non-transferable license to use, reproduce, display and transmit the VerticalNet Content, solely in connection with the development, maintenance and operation of the PaperExchange Site, subject to and in accordance with the terms, conditions and provisions of this Agreement.",License Grant,Yes,Non-Transferable License,Yes
"VerticalNet hereby grants to PaperExchange a non-exclusive, non-transferable, royalty-free, right and license to link to Pulp and Paper Online through a VerticalNet Link.",License Grant,Yes
"PaperExchange hereby grants VerticalNet a non-exclusive, non-transferable, royalty-free, right and license to link to the PaperExchange Site through a PaperExchange Link.",License Grant,Yes
"VerticalNet hereby grants to PaperExchange a non-exclusive, non-transferable, royalty-free, right and license to link to Pulp and Paper Online through a VerticalNet Link",Non-Transferable License,Yes
"PaperExchange hereby grants VerticalNet a non-exclusive, non-transferable, royalty-free, right and license to link to the PaperExchange Site through a PaperExchange Link",Non-Transferable License,Yes
