Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer,Label 4,Label 4-Answer
Outsourcing Agreement,Document Name,Outsourcing Agreement
"Paratek Pharmaceuticals, Inc., ""Customer"", CARBOGEN AMCIS AG, ""Supplier"" and, collectively with Customer, the ""Parties"", and each, a ""Party, CARBOGEN AMCIS AG, ""Customer"", Paratek Pharmaceuticals, Inc.",Parties,"Paratek Pharmaceuticals, Inc. (""Customer""); CARBOGEN AMCIS AG (""Supplier"" and, collectively with Customer, the ""Parties"", and each, a ""Party)"
"December 30, 2016",Agreement Date,12/30/2016,Effective Date,12/30/2016
"This Agreement shall commence on the Effective Date and shall be valid until the [* * *] (the ""Initial Term"").",Expiration Date,(None entered)
"Should the Parties have not agreed to the following agreement by [* * *], this Agreement shall automatically stay in force for a maximum of [* * *] (unless otherwise mutually agreed by the Parties or as otherwise set forth in Section 18.1(a)) or until the Parties have signed the follow-on agreement (the ""Renewal Term"").",Renewal Term,(None entered)
"This Agreement is effective as of the Effective Date and will expire in accordance with Section 2.1, unless, upon the occurrence of any of the following events, this Agreement is earlier terminated in accordance with this Section 18.1: a) Customer delivers written notice of termination to Supplier at least [* * *] prior to the expiration date of the Initial Term, which termination shall be effective as of the expiration date of the Initial Term; b) either Party delivers written notice of termination to the other Party at least [* * *] prior to the expiration date of the Renewal Term, which termination shall be effective as of the expiration date of the Renewal Term;",Notice Period To Terminate Renewal,(None entered)
"This Agreement shall be governed by and construed in accordance with the substantive Laws of the [* * *], excluding any rules of conflicts of laws that would apply the substantive laws of any other jurisdiction.",Governing Law,(None entered)
"Customer shall have the right to terminate any Scope of Work and corresponding Purchase Order for Services at any time on reasonable advance written notice to Supplier (without terminating this Agreement), in which case Customer shall be responsible for: [* * *]",Termination For Convenience,Yes
"During the Term, Supplier will promptly notify Customer in writing if at any time a Change of Control shall occur as to Supplier, such notification to be given no later than fifteen (15) days following such Change of Control. [* * *]",Change of Control,Yes
"The Parties agree that the license grant contained in this Section 11.3 is personal to Supplier only and shall be exercised by Supplier only,",Anti-assignment,Yes
"Supplier shall not assign this Agreement, in whole or in part, to any person without the prior written consent of Customer, except to a Third Party which acquires all, or substantially all, of SupplierÕs business or assets, whether through merger or otherwise.",Anti-assignment,Yes
"Customer shall not assign this Agreement, in whole or in part, to any other person without the prior written consent of Supplier, not to be unreasonably withheld, conditioned or delayed.",Anti-assignment,Yes
"During the Term of this Agreement, either Party may request an increase or decrease of the Fees specified in Exhibit C no more than [* * *] and such change in Fees shall take effect on [* * *] for which such Fee change is requested.",Price Restrictions,Yes
"With respect to any ideas, innovations, Improvements or inventions (whether patentable or non-patentable) developed by Supplier during the Term of this Agreement and [* * *], the Parties agree that, as between Customer and Supplier, Customer shall own all Rights to such Inventions and may obtain patent, copyright, and other proprietary protection respecting such Inventions.",IP Ownership Assignment,Yes
"Supplier agrees to assign (and cause its employees or permitted subcontractors to assign), and does hereby assign, any and all rights, title and interests of Supplier in, to or under any Inventions to Customer.",IP Ownership Assignment,Yes
"During the Term, Customer hereby grants to Supplier a paid-up, royalty-free, non-exclusive license, without the right to sublicense, to CustomerÕs Confidential Information and the Customer Technology reasonably necessary to Manufacture and supply to Customer the Product hereunder, but only for such purposes.",License Grant,Yes,Non-Transferable License,Yes
"only for such purposes. The Parties agree that the license grant contained in this Section 11.3 is personal to Supplier only and shall be exercised by Supplier only,",Non-Transferable License,Yes
"For the avoidance of doubt, any signed Purchase Order which has not been completed at the date of expiry shall continue in effect unless cancelled in accordance with Section 6.4 or Article 18.",Post-termination Services,Yes
"On expiration or the effective date of termination of this Agreement, if earlier: a) both Parties shall be released from all obligations and duties imposed or assumed hereunder, except obligations and liabilities previously accrued and as expressly provided by this Agreement, including, without limitation, those provisions which expressly survive termination or expiration of this Agreement; b) all Rights granted by Customer to Supplier under Section 11.3 shall immediately revert to Customer, provided that Supplier may continue to use any such Rights in order to fulfil its surviving obligations under Section 18.5, and only for such purpose; c) Supplier shall provide to Customer, to the extent they exist, copies of: (i) SupplierÕs Manufacturing batch records and analytical reports relating to the Product; and (ii) any other documents required to be delivered pursuant to this Agreement or otherwise reasonably requested by Customer; d) Unless this Agreement is terminated by Customer pursuant to Section 18.1(d) above, all Purchase Orders and Scopes of Work shall automatically be deemed terminated by Customer and Supplier shall be compensated for final Product already produced or Services already rendered in accordance with this Agreement and, for Products or Services not yet produced or rendered, as the case may be, Supplier shall be entitled to its fees, expenses and costs as set forth in Sections 6.4 and 6.6. Additionally, Customer shall be entitled to request that (i) all Products and/or works in process for which Customer has compensated Supplier and (ii) all Customer Materials be shipped to Customer in accordance with the provisions of Section 7.2(d). If this Agreement is terminated by Customer pursuant to Section 18.1(d) as a result of SupplierÕs breach, then, Customer shall be able to elect whether Purchase Orders or Scopes of Work not yet completed at the date of termination or expiration should continue in force, subject to the terms and conditions herein; and e) Supplier shall promptly cooperate with Customer to transfer and transition supply of the Products to a Third Party supplier. Upon CustomerÕs request, Supplier shall cooperate with Customer in the transfer of technology and know-how necessary to Manufacture Products to such Third Party supplier, including providing Customer and the Third Party supplier with reasonable access to the Facilities and consulting services related to Manufacturing of the Product. Supplier shall conduct such activities at CustomerÕs expense paid in advance.",Post-termination Services,Yes
"On expiration or earlier termination of this Agreement, unless otherwise instructed by Customer, Supplier shall, within [* * *], return to Customer all samples or other supplies of the Product (for which Supplier has been paid) in its possession or control in any form, with the exception of any samples such as retention samples that Supplier may be required to keep according to Applicable Law",Post-termination Services,Yes
"On expiration or the effective date of termination of this Agreement, if earlier: e) Supplier shall promptly cooperate with Customer to transfer and transition supply of the Products to a Third Party supplier. Upon CustomerÕs request, Supplier shall cooperate with Customer in the transfer of technology and know-how necessary to Manufacture Products to such Third Party supplier, including providing Customer and the Third Party supplier with reasonable access to the Facilities and consulting services related to Manufacturing of the Product. Supplier shall conduct such activities at CustomerÕs expense paid in advance.",Post-termination Services,Yes
Customer shall have the right to have a representative present at each Facility to observe the performance of the Manufacturing Process by Supplier during normal business hours with at least [* * *] advance notice.,Audit Rights,Yes
"Supplier shall have the right to reasonably restrict such observation access to prevent undue interference with SupplierÕs business operations or compromise SupplierÕs confidentiality obligations to Third Parties; provided, however, CustomerÕs observation access shall be absolute with regard to the Manufacturing Process for the Product.",Audit Rights,Yes
As such it is SupplierÕs obligation to segregate Third Party documents and materials from CustomerÕs documents and materials and Customer will not be restricted from observing any part of CustomerÕs Manufacturing Process and related documentation.,Audit Rights,Yes
Supplier shall allow monitoring of the Facilities as set forth in Section 3.6 and inspections or audits as provided for in the Quality Agreement.,Audit Rights,Yes
The frequency of such audits as well as the response time with respect to audit findings shall be governed by the Quality Agreement.,Audit Rights,Yes
"For clarity, nothing in this Section 3.1 limits SupplierÕs liability under this Agreement or under law, including liability for negligence, willful misconduct and failure to comply with Product Specifications; [* * *].",Uncapped Liability,Yes
"EXCEPT AS SET FORTH BELOW IN THIS SECTION 13.4(b), IN NO EVENT WILL SUPPLIERÕS LIABILITY, [* * *], BE GREATER THAN, PER CLAIM OR SERIES OF CLAIMS ARISING FROM THE SAME CAUSE OF ACTION, [* * *].",Uncapped Liability,Yes,Cap on Liability,Yes
"EXCEPT AS SET FORTH BELOW IN THIS SECTION 13.4(b), [* * *], AS APPLICABLE, IN NO EVENT SHALL A PARTYÕS LIABILITY, HOWEVER CAUSED AND ON ANY THEORY OF LIABILITY, BE GREATER THAN, PER CLAIM OR SERIES OF CLAIMS ARISING FROM THE SAME CAUSE OF ACTION, [* * *].",Uncapped Liability,Yes,Cap on Liability,Yes
"EXCEPT AS SET FORTH BELOW IN THIS SECTION 13.4(b), WITH RESPECT [* * *], IN NO EVENT SHALL A PARTYÕS LIABILITY BE GREATER THAN, PER CLAIM OR SERIES OF CLAIMS ARISING FROM THE SAME CAUSE OF ACTION, [* * *].",Uncapped Liability,Yes,Cap on Liability,Yes
"[* * *], IN NO EVENT SHALL EITHER PARTY BE LIABLE FOR ANY SPECIAL, CONSEQUENTIAL, PUNITIVE, INCIDENTAL OR INDIRECT DAMAGES, OR LOST PROFITS, HOWEVER CAUSED, ON ANY THEORY OF LIABILITY. THIS LIMITATION WILL APPLY EVEN IF THE OTHER PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE.",Cap on Liability,Yes
"NOTWITHSTANDING ANYTHING TO THE CONTRARY IN THIS SECTION 13.4(b), WITH RESPECT TO [* * *] IN NO EVENT SHALL SUPPLIERÕS LIABILITY, HOWEVER CAUSED AND ON ANY THEORY OF LIABILITY, BE GREATER THAN, PER CLAIM OR SERIES OF CLAIMS ARISING FROM THE SAME CAUSE OF ACTION, [* * *].",Cap on Liability,Yes
"The cost of storage, monitoring (including any on-going analytical analysis), and insurance before shipment shall be borne by [* * *].",Insurance,Yes
Customer and Supplier each represent that they are sufficiently insured against any liability arising under this Agreement.,Insurance,Yes
