Clause,Label 1,Label 1-Answer
CO-BRANDING AGREEMENT,Document Name,CO-BRANDING AGREEMENT
"PC QUOTE, INC., ""PCQ"", AB Wately, Inc., ""ABW"", This agreement shall apply to said ABW and all of its subsidiaries and related companies., ""ABW"", AB Wately, Inc., ""PCQ"", PC QUOTE, INC.",Parties,"PC QUOTE, INC. (""PCQ""); AB Wately, Inc. (""ABW"" and all of its subsidiaries and related companies)"
"Oct. 11, 1996",Agreement Date,10/11/1996
The effective date for purposes of this Agreement is the contract date as specified on the signature page of this Agreement.10-11-96,Effective Date,10/11/1996
"This Agreement shall be interpreted, construed and enforced in all respects in accordance with the laws of the State of Illinois, except with regards to its rules regarding choice of law.",Governing Law,Illinois
This Agreement or any rights or obligations granted hereunder may not be assigned by ABW without the prior written consent of PCQ.,Anti-assignment,Yes
PCQ agrees to allow ABW to co-brand the PCQ SOFTWARE in order to provide a value added service on ABW's World Wide Web site.,License Grant,Yes
This agreement shall apply to said ABW and all of its subsidiaries and related companies.,Affiliate License-Licensee,Yes
"LIABILITY UNDER THIS AGREEMENT FROM ANY AND ALL CAUSES, INCLUDING, BUT NOT LIMITED TO, PROGRAM MALFUNCTION OR OPERATIONAL NEGLIGENCE, SHALL BE LIMITED TO GENERAL MONEY DAMAGES IN AN AMOUNT NOT TO EXCEED THE TOTAL CHARGES PAID BY ABW FOR THE SERVICES DURING THE MOST RECENT TWELVE (12) MONTHS OF THE AGREEMENT.",Cap on Liability,Yes
"SUCH LIMITATION SHALL BE THE EXTENT OF PCQ OR ABW'S LIABILITY REGARDLESS OF THE FORM IN WHICH ANY LEGAL OR EQUITABLE ACTION MAY BE BROUGHT AGAINST PCQ OR ABW, AND THE FOREGOING SHALL CONSTITUTE PCQ'S OR ABW'S SOLE REMEDY.",Cap on Liability,Yes
"IN NO EVENT WILL EITHER PARTY BE RESPONSIBLE FOR LOST PROFITS OR SPECIAL INDIRECT, INCIDENTAL OR CONSEQUENTIAL DAMAGES WHICH ABW OR PCQ INCUR OR EXPERIENCE ON ACCOUNT OF ENTERING INTO OR RELYING ON THIS AGREEMENT, EVEN IF PCQ OR ABW HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",Cap on Liability,Yes
