Clause,Label 1,Label 1-Answer
SOFTWARE DEVELOPMENT AGREEMENT,Document Name,SOFTWARE DEVELOPMENT AGREEMENT
"DOT COM LLC, OBA Seattle Software Developers, Developer, Client, Pelican Delivers Inc., (Developer and Client are individually referred to herein as a Party, and collectively as the Parties, Pelican Delivers Inc., Client, Developer, DOT COM LLC, OBA Seattle Software Developers",Parties,"DOT COM LLC (""Developer""); Pelican Delivers Inc. (""Client"")(""Party"", and collectively as the ""Parties"")"
"December 3rd, 2018 (",Agreement Date,12/03/2018
"December 3rd, 2018",Effective Date,12/03/2018
"Unless otherwise provided herein, this Agreement will commence on the Effective Date and continue through the completion or termination of Developer's services and work product as mutually agreed upon between the Parties (the Project).",Expiration Date,perpetual
This Agreement will be governed by the laws of the State of Washington without regards for its conflict of laws principle.,Governing Law,(None entered)
"The Client and the Designer both agree to never to disparage or speak ill of the other party to anyone and or post negative or disparaging comments Online regarding any of the Designer's products, services, affiliates, subsidiaries, officers, directors, employees or shareholders, and will take reasonable steps to prevent and will not knowingly permit any of their respective employees or agents to, disparage or speak ill of such persons.",Non-Disparagement,Yes
"The Client and Designer both agree not to post on defamatory websites or review websites any negative posts concerning each other, the names of our companies, and our employees.",Non-Disparagement,Yes
Either Party may terminate this Agreement at any time during the term of this Agreement for any reason upon two weeks written notice to the other Party.,Termination For Convenience,Yes
"Unless as provided herein, neither Party may assign, delegate, assign, nor subcontract their obligations and duties hereunder without the prior written consent of the non-assigning Party.",Anti-assignment,Yes
"Except as otherwise detailed in this Agreement, the Parties acknowledge and agree that the Subject Program including without limitation the Deliverables and Documentation (collectively, the Works) are ""work made for hire"" in accordance with the U.S. Copyright Act, 17 U.S.C. ¤ 101 et seq.",IP Ownership Assignment,Yes
"To the extent permissible, Developer hereby assigns and transfers to Client all copyright and other intellectual property ownership in the Works.",IP Ownership Assignment,Yes
"Upon payment in full of all obligations hereunder, Developer unconditionally and irrevocably grants to Client all software, improvements, code and other work produce produced by the Developer during the course of this agreement.",IP Ownership Assignment,Yes
"To assist Developer to complete all Project-related Services and deliverable Deliverables to Client in a complete and timely manner, Client shall provide Developer access and licensed rights to the following as necessary to complete the Project: (a) text, software, graphics, photos, sounds, music, videos, designs, compilations, magnetic translations, digital conversion interactive features and the like (collectively, the Content); (b) any trademarks, service marks, trade dress and logos, whether owned or licensed by Client (collectively, the Marks); and (c) any know-how, methodologies, equipment, or processes used by Client in its operations {collectively, the Procedures); and (d) Client's Confidential Information (as defined below).",License Grant,Yes
"As such, Client hereby grants Developer a royalty-free, worldwide, license to use its Content, Marks, Procedures and Confidential Information in order to complete the Project.",License Grant,Yes
"If elected pursuant to the Agreement, Developer will provide Client Termination Assistance Services at an hourly rate of $[125.00 per hour].",Post-termination Services,Yes
"In the event of a termination or expiration of this Agreement or any SOW for any reason, developer will, as requested by and at additional cost to Client, provide up to three (3) months of Fee billable assistance (collectively, the Termination Assistance Services) in transitioning from Developer to an alternative software service provider including, without limitation, the following: (a) knowledge transfer regarding the operation, use, and support of the subject Program; return of all documentation containing Content, Marks, Procedures a d Confidential Information in a format reasonably specified by Client and assistance with data migration to an alternative solution; and (c) any related additional services as requested by Client.",Post-termination Services,Yes
"Developer shall provide Termination Assistance Services to Client in a manner that does not interfere with, interrupt or degrade the Subject Program.",Post-termination Services,Yes
