Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
ENDORSEMENT AGREEMENT,Document Name,ENDORSEMENT AGREEMENT
"Golfers  Incorporated, ""Company"", Andy North, ""North"", Andy North, ""Company"", Golfers  Incorporated",Parties,"Golfers Incorporated (""Company""); Andy North (""North"")"
21s t day of February 2011,Agreement Date,02/21/2011
"February 21, 2011",Effective Date,02/21/2011
"""Contract Period""Êshall mean that period of time from February 21, 2011 through December 31, 2012.",Expiration Date,12/31/2012
"The Agreement shall be governed by and construed under the laws of the State of Florida in the United States of America,  and venue for any such legal action shall be in the Circuit Court or County Court in Orlando, FL or the U.S. District Court having jurisdiction  over Orlando, FL.",Governing Law,Florida
"During the Term of this Agreement and within the  Contract Territory, North agrees not to enter into an agreement with another company or entity for the purpose of endorsing or promoting  products similar to the Endorsed Products.",Non-Compete,Yes,Exclusivity,Yes
Neither party to this Agreement shall assign the rights and benefits herein without the prior written consent of the other party.,Anti-assignment,Yes
"In addition to payments due North by Company as set forth in paragraphs 7.a. above, Company further agrees to pay North  a one percent (1%) royalty on all Gross Revenue generated from the sale of all Company Products (herein ""Royalties"").",Revenue/Profit Sharing,Yes
"The voice over  appearance shall take place at NorthÕs personal residence or at another mutually agreed upon location in Wisconsin, and shall not  exceed two (2) hours in duration.",Volume Restriction,Yes
"Subject to the terms set forth inÊthis Agreement, North hereby grants to Company the right and privilege  to use NorthÕs Likeness and NorthÕs Endorsement during the Term and within the Contract Territory in all reasonable forms of advertising  including, but not limited to television (including the infomercial format), radio, print advertising, brochures, pamphlets, product packaging,  point-of-purchase materials, CompanyÕs  web-site and a demonstration video (hereinafter referred to as ""Advertising Materials"")  inÊconnection with CompanyÕs advertisement and sale of the Endorsed Product only.",License Grant,Yes
Said books and records shall be maintained for a two (2) year period following the expiration or termination of  this Agreement.,Post-termination Services,Yes
Company shall make said books available to North or NorthÕs representative on reasonable notice during  the Term of this Agreement and the two (2) year period immediately following thereafter.,Post-termination Services,Yes,Audit Rights,Yes
"Company agrees, at its own expense, to obtain and maintain general comprehensive liability insurance, with an insurance  company that has a rating of A++ (per AM Best), insuring North as a ""named insured party"", against any claims, suits, losses and damages  arising out of or caused by CompanyÕs use of NorthÕs Likeness.",Insurance,Yes
"Such insurance policy  shall be maintained with limits of not less than two million dollars ($2,000,000).",Insurance,Yes
A copy of such insurance policy shall be provided to North within thirty (30) days after execution of this Agreement.,Insurance,Yes
