Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
FORM OF FRANCHISE AGREEMENT,Document Name,FORM OF FRANCHISE AGREEMENT
"Pizza Fusion Holding, Inc., the individual or legal entity identified on the cover page, ""Franchisee"", ""we,"" ""us"" and ""our"" refers to Pizza Fusion Holding, Inc., the franchisor, ""You"" and ""your"" refers to the Franchisee., ""we,"" ""us"" and ""our"" refers to Pizza Fusion Holding, Inc., the franchisor, ""Franchisee"", the individual or legal entity identified on the cover page, Pizza Fusion Holding, Inc.",Parties,"Pizza Fusion Holding, Inc. (""we"", ""us"", ""our""); the individual or legal entity identified on the cover page (""Franchisee"", ""You"", ""your"")"
"This Agreement expires ten (10) years from the Agreement Date (the ""Term""), unless it is terminated sooner as provided in other sections of this Agreement.",Expiration Date,(None entered)
"When this Agreement expires, you will have the option to continue the franchise relationship with us for two (2) additional terms of ten (10) years each.",Renewal Term,10 years
"This Agreement and the relationship between the parties is governed by and will be construed exclusively in accordance with the laws of the State of Florida (without regard to, and without applying, Florida conflict-of-law rules).",Governing Law,Florida
"We will make available to you information about new developments, techniques, and improvements in the areas of operations, management, and marketing, to the same extent as we make the information available to other Restaurant franchisees in good standing.",Most Favored Nation,Yes
"If the Transfer is proposed to be made pursuant to a sale, we or our designee may purchase the interest proposed to be Transferred on the same economic terms and conditions offered by the third-party.",Most Favored Nation,Yes,ROFR/ROFO/ROFN,Yes
"Without our prior written approval, you may not engage in any other type of sale, including, but not limited to: selling, distributing, or otherwise providing, any services or products to third parties at wholesale, or for resale or distribution by any third party; and selling, distributing or otherwise providing any products and/or services through catalogs, mail order, toll free numbers for delivery, or electronic means (e.g., the Internet).",Non-Compete,Yes
You agree not to: (a) advertise or market the services of your Franchised Business outside of the Delivery/Catering and Advertising Area; and/or (b) engage in direct solicitation of customers outside of the Delivery/Catering and Advertising Area.,Non-Compete,Yes
"If any of your advertising within the Delivery/Catering and Advertising Area is in media that will or may reach a significant number of persons outside of the Delivery/Catering and Advertising Area, you must notify us in advance and obtain our prior written consent (in addition to the requirements in Section 9.3 [Regional Fund] below).",Non-Compete,Yes
You agree not to engage in any of the sales activities that we have reserved to ourselves in Sections 1.3 [Our Limitations and Our Reserved Rights] above.,Non-Compete,Yes
"You agree that during the term of this Agreement, you will not, without our prior written consent, either directly or indirectly through any other person or entity: Page 33 of 39 Source: PF HOSPITALITY GROUP INC., 10-12G, 9/23/201517.1.1. Own, manage, engage in, be employed by, advise, make loans to, consult for, rent or lease to, or have any other interest in any business that (directly or indirectly) operates, or grants franchises or licenses to operate, a restaurant featuring pizza and related food specialties or that offers products or services substantially similar to those then offered by Restaurants (""Competitive Business""); 17.1.2. Divert or attempt to divert any business or customer, or potential business or customer, to any Competitive Business; or 17.1.3. Induce any person to leave his or her employment with us. 17.1.4. In any manner interfere with, disturb, disrupt, impair, diminish, or otherwise jeopardize our business or that of any of our franchisees",Non-Compete,Yes
"For two (2) years after the expiration or termination of this Agreement or an approved Transfer to a new franchisee, you may not directly or indirectly own, manage, engage in, be employed by, advise, make loans to, consult for, or have any other interest in any Competitive Business that is, or intends to operate, within three (3) mile radius of the Premises of your Franchised Business or within a three (3) mile radius of any Restaurant then-operating or under construction to operate under the System, except as permitted by any Franchise Agreements that remain in effect between you and us. .",Non-Compete,Yes
"You agree that during the term of this Agreement, you will not, without our prior written consent, either directly or indirectly through any other person or entity: 17.1.1. Own, manage, engage in, be employed by, advise, make loans to, consult for, rent or lease to, or have any other interest in any business that (directly or indirectly) operates, or grants franchises or licenses to operate, a restaurant featuring pizza and related food specialties or that offers products or services substantially similar to those then offered by Restaurants (""Competitive Business""); 17.1.2. Divert or attempt to divert any business or customer, or potential business or customer, to any Competitive Business; or 17.1.3. Induce any person to leave his or her employment with us. 17.1.4. In any manner interfere with, disturb, disrupt, impair, diminish, or otherwise jeopardize our business or that of any of our franchisees.",Non-Compete,Yes
"In order to maintain the high standards of quality, taste, and uniformity of these products and protect the proprietary nature of these products, you agree to purchase the Secret Recipe Products only from us, our affiliates or from sources that we designate or approve and license",Exclusivity,Yes
"Without limiting Section 6.3 [Secret Recipe Products] above, we have the right to require that all of the food items, equipment (including but not limited to vehicles used in connection with the Franchised Business), supplies, materials, and other products and services used or offered for sale at your Franchised Business: (a) meet specifications that we establish from time to time; and/or (b) be purchased only from suppliers that we have expressly approved; and/or (c) be purchased only from a single source (which may include us or our affiliates or a buying cooperative that we organize).",Exclusivity,Yes
You may not enter into any relationship with a Major Account customer that we deem to conflict with the customerÕs Major Account arrangement with us.,No-Solicit of Customers,Yes
"Divert or attempt to divert any business or customer, or potential business or customer, to any Competitive Business;",No-Solicit of Customers,Yes
"You agree that during the term of this Agreement, you will not, without our prior written consent, either directly or indirectly through any other person or entity: 17.1.3. Induce any person to leave his or her employment with us.",No-Solicit of Employees,Yes
"You agree that during the term of this Agreement, you will not, without our prior written consent, either directly or indirectly through any other person or entity: Page 33 of 39 Source: PF HOSPITALITY GROUP INC., 10-12G, 9/23/201517.1.1. Own, manage, engage in, be employed by, advise, make loans to, consult for, rent or lease to, or have any other interest in any business that (directly or indirectly) operates, or grants franchises or licenses to operate, a restaurant featuring pizza and related food specialties or that offers products or services substantially similar to those then offered by Restaurants (""Competitive Business""); 17.1.2. Divert or attempt to divert any business or customer, or potential business or customer, to any Competitive Business; or 17.1.3. Induce any person to leave his or her employment with us. 17.1.4. In any manner interfere with, disturb, disrupt, impair, diminish, or otherwise jeopardize our business or that of any of our franchisees.",No-Solicit of Employees,Yes
"We may terminate your right to provide products and services to a Major Account customer at any time by giving you at least 30 daysÕ prior written notice, and you may terminate your right to provide products and services to a Major Account at any time by giving us at least 30 daysÕ prior written notice.",Termination For Convenience,Yes
"We have the right, exercisable within thirty (30) days after receipt of the notice specified in Section 14.2 [No Transfer without Our Prior Written Consent], to send written notice to you that we intend to purchase the interest proposed to be Transferred.",ROFR/ROFO/ROFN,Yes
We may assign our right of first refusal to someone else either before or after we exercise it.,ROFR/ROFO/ROFN,Yes
Any material change in the terms of the offer from a third-party after we have elected not to purchase the sellerÕs interest will constitute a new offer subject to the same right of first refusal as the third partyÕs initial offer.,ROFR/ROFO/ROFN,Yes
"Closing of the Transfer must occur within 60 calendar days of our election (or such longer period as applicable law may require); otherwise, the third-partyÕs offer will be treated as a new offer subject to our right of first refusal.",ROFR/ROFO/ROFN,Yes
"You may not permit the Franchised Business to be operated, managed, directed, or controlled by any other person without our prior written consent.",Change of Control,Yes
"The Owners may not enter into any shareholdersÕ agreement, management agreement, voting trust or other arrangement that gives a third party the power to direct and control your affairs without our prior written consent.",Change of Control,Yes
Neither you nor any of the Owners may make any Transfer or permit any Transfer to occur without obtaining our prior written consent.,Anti-assignment,Yes
"You must pay us a royalty fee (""Royalty"") equal to six percent (6%) of your Gross Revenues.",Revenue/Profit Sharing,Yes
"If by reason of state or other law, we are prohibited from receiving a percentage of certain components of Gross Revenues (including alcoholic-beverage sales), you must pay us an equivalent amount by increasing the Royalty percentage applied to Gross Revenues exclusive of the prohibited components.",Revenue/Profit Sharing,Yes
"During any Period that the Marketing Fund (as defined in Section 9.1 [Pizza Fusion Marketing Fund] below) is in effect, you must make a contribution as described in Section 9.1 [Pizza Fusion Marketing Fund] below equal to three percent (3%) of your Gross Revenues for the preceding Period",Revenue/Profit Sharing,Yes
"Additionally, during any Period that a Regional Fund (as defined in Section 9.3 [Regional Fund] below) for the area in which your Franchised Business is located is in effect, you must make a contribution as described in Section 9.2 [Local Marketing] below in such amounts as we specify in writing up to two percent (2%) of your Gross Revenues for the preceding Period; in addition, you may be required to contribute to a Regional Fund up to an additional two percent (2%) of Gross Revenues of your Franchised Business if the members of that Regional Fund vote to increase the total contribution, as provided in Section 9.3.5 [Regional Fund] below.",Revenue/Profit Sharing,Yes
A majority of the Restaurant owners in the Regional Fund may vote to increase the amount of each Restaurant ownerÕs Regional Fund contribution by up to an additional two percent (2%) of each RestaurantÕs Gross Revenues.,Revenue/Profit Sharing,Yes
"We have the right to decide whether or not to make adjustments to fixed dollar amounts set out in this Agreement and if we decide to invoke that right, we will make changes not more than once each year by sending you written notice of the change.",Price Restrictions,Yes
"Beginning on the Opening Date, during each consecutive three-calendar-month period during the Term, you must spend three percent (3%) or more of your Gross Sales on local marketing of the Franchised Business.",Minimum Commitment,Yes
"You agree to conduct a Grand Opening Advertising Program for the Franchised Business throughout the first four weeks after the Opening Date, spending an amount not less than $12,000.",Minimum Commitment,Yes
"If you wish to test market an item that we have not approved, then, so long as we have given you our prior written approval, you may do so for so long, and on such terms, that we mutually agree upon (a ""Test""), and the item so tested, and all associated formulae, plans, and materials, will become our property.",IP Ownership Assignment,Yes
"The Customer List is, and remains, our exclusive property, you hereby assign to us all rights you now have or hereafter may acquire in the Customer List.",IP Ownership Assignment,Yes
"You agree that all data that you collect from customers and potential customers in connection with the Franchised Business (""Customer Data"") is deemed to be owned exclusively by us, and you also agree to provide the Customer Data to us at any time that we request as you to do so.",IP Ownership Assignment,Yes
"All data pertaining to, derived from, or displayed at the Franchised Business (including without limitation data pertaining to or otherwise about Franchised Business customers) is and shall be our exclusive property, and we hereby grant you a royalty-free non-exclusive license to use that data during the Term of this Agreement.",IP Ownership Assignment,Yes,License Grant,Yes
"We grant you the right, and you accept the obligation, to use the Proprietary Marks and the System to operate one Restaurant (the ""Franchised Business"") at the Premises, in accordance with the terms of this Agreement.",License Grant,Yes
"If, following the Test, we determine that we will approve the tested item, then for so long as we deem that item to be an ""approved item"" under this Agreement, you will have the right to use that item under the terms of this Agreement; and we will have the right to use and market that item as we see fit, including but not limited to use in our own Restaurants as well as that of other licensees and franchisees, without compensation to you.",License Grant,Yes
You have no right to sublicense either the Proprietary Marks or the System to anyone else;,Non-Transferable License,Yes
"Your lease (or rider to a lease) must include provisions that will: (a) Allow us the right to elect to take an assignment of the leasehold interest upon termination or expiration of your rights under this Agreement, and that allow us (or our designee) to operate a ""Pizza Fusion"" restaurant upon the premises for the remaining term of the lease or sublease; (b) Require the lessor to provide us with a copy of any written notice of deficiency under the lease sent to you, at the same time as notice is given to you (as the lessee under the lease), and which grants to us the right (but not obligation) to cure any deficiency by you under the lease within fifteen (15) business days after the expiration of the period in which you had to cure any such default should you fail to do so; Page 7 of 39 Source: PF HOSPITALITY GROUP INC., 10-12G, 9/23/2015(c) Recognize your right to display and use the Proprietary Marks in accordance with the specifications required by the Manual, subject only to the provisions of applicable law; (d) Require that the premises be used solely for the operation of a Franchised Business; and (e) Acknowledge that, if this Agreement is terminated or expires (without you renewing your franchise rights): (i) you must take certain steps to de-identify the location as a Pizza Fusion Restaurant; and (ii) lessor will cooperate with us in enforcing your obligation to de-identity, including allowing us, our employees and/or agents to enter the premises and remove signs, dcor and materials that bear or display our Proprietary Marks, designs, or logos.",Post-termination Services,Yes
"Your lease (or rider to a lease) must include provisions that will: (a) Allow us the right to elect to take an assignment of the leasehold interest upon termination or expiration of your rights under this Agreement, and that allow us (or our designee) to operate a ""Pizza Fusion"" restaurant upon the premises for the remaining term of the lease or sublease; (b) Require the lessor to provide us with a copy of any written notice of deficiency under the lease sent to you, at the same time as notice is given to you (as the lessee under the lease), and which grants to us the right (but not obligation) to cure any deficiency by you under the lease within fifteen (15) business days after the expiration of the period in which you had to cure any such default should you fail to do so; (c) Recognize your right to display and use the Proprietary Marks in accordance with the specifications required by the Manual, subject only to the provisions of applicable law; (d) Require that the premises be used solely for the operation of a Franchised Business; and (e) Acknowledge that, if this Agreement is terminated or expires (without you renewing your franchise rights): (i) you must take certain steps to de-identify the location as a Pizza Fusion Restaurant; and (ii) lessor will cooperate with us in enforcing your obligation to de-identity, including allowing us, our employees and/or agents to enter the premises and remove signs, dcor and materials that bear or display our Proprietary Marks, designs, or logos.",Post-termination Services,Yes
"You agree that, at our option, you will sell to us any or all your assets used to operate the Franchised Business (including equipment, fixtures, furnishings, Delivery Vehicles, supplies, and inventory) that we ask in writing to purchase.",Post-termination Services,Yes
We have the ongoing right to inspect any proposed supplierÕs facilities and to test samples of the proposed products or services.,Audit Rights,Yes
We reserve the right to reinspect the facilities and products of any approved supplier and to revoke approval if we find that the supplier fails to meet any of our then-current criteria.,Audit Rights,Yes
"We have the right, at any time during normal business hours: (i) to conduct inspections of the Franchised Business; (ii) to interview your employees, work crews, and customers; and (iii) to review your business records, including those maintained electronically or off premises.",Audit Rights,Yes
To permit us or our representatives to inspect your operations to assure that you are properly using the Proprietary Marks;,Audit Rights,Yes
You agree to submit financial and operational reports and records and documents to us at the times and in the manner specified in the Manual or other written instructions.,Audit Rights,Yes
"If we request in writing, you agree that your financial institution is authorized to send us a monthly statement of all activity in the designated account (and such other reports of the activity in the operating account as we reasonably request) at the same time as it sends such statements to you.",Audit Rights,Yes
"We have the right, both during and after the Term of this Agreement, to inspect, copy and audit your books and records, your federal, state and local tax returns, and any other forms, reports, information or data that we may reasonably designate.",Audit Rights,Yes
"We may conduct the examination or audit at our offices or those of a third-party, in which case we may require you to send us your records.",Audit Rights,Yes
"Any and all claims and actions arising out of or relating to this Agreement, the relationship between you and us, or your operation of the Restaurant, brought by any party hereto against the other, must be commenced within one (1) year from the occurrence of the facts giving rise to such claim or action, or, it is expressly acknowledged and agreed by all parties, such claim or action will be irrevocably barred.",Cap on Liability,Yes
"If this Agreement is terminated due to your default, you must, upon written demand, pay us a lump-sum payment in an amount calculated as follows: (a) the average of your Royalty fees and Advertising Contributions due for the last 60 months before our delivery of notice of default (or, if lesser, the months you had been operating before our delivery of notice of default), (b) multiplied by the lesser of 60 or the number of months remaining in the term of this Agreement.",Liquidated Damages,Yes
The payments called for in Section 16.4 [Liquidated Damages] above constitute liquidated damages for causing the premature termination of this Agreement and not a penalty.,Liquidated Damages,Yes
"Nevertheless, the parties agree that the lump-sum payment provided under Section 16.4 [Liquidated Damages] above is reasonable in light of the damages for premature termination that may reasonably be expected to occur in such event.",Liquidated Damages,Yes
The amounts contemplated under Section 16.4 [Liquidated Damages] above is not a penalty and is intended by the parties only as a compensatory remedy for past breaches and not as a preventative remedy to deter future breaches.,Liquidated Damages,Yes
"You agree that you will do all of the following things: (a) make sure that you have obtained all necessary zoning permits as well as all required building, utility, health, sign permits and licenses, and any other required permits and licenses_ (b) buy or lease Products and other materials as required under this Agreement (as well as the other specifications that we provide in writing)_ (c) in accordance with Section 4.3.2 [Location Development and Preparation] below, prepare all plans and complete construction, or remodeling, of the Franchised Business, and complete installation of all equipment in compliance with plans and specifications for the Franchised Business that we have approved, as well as all applicable federal, state and local laws, codes and regulations (including, without limitation, the applicable provisions of the ADA, zoning requirements, and permitting requirements), ordinances, building codes and permit requirements_ (d) purchase and install at the Premises all interior and exterior signage, from such suppliers, that we may designate. From time to time, we have the right to require that you purchase and install replacement or additional Signage_ (e) obtain all customary contractorsÕ sworn statements and partial and final waivers of lien for construction, remodeling, decorating and installation services_ (f) obtain and maintain in force during the entire period of construction the insurance required under this Agreement or as otherwise specified in the Manuals_",Insurance,Yes
You agree that you will do all of the following things: (f) obtain and maintain in force during the entire period of construction the insurance required under this Agreement or as otherwise specified in the Manuals_,Insurance,Yes
"If we do so and you choose not to use our recommended construction manager, you must hire a general contractor who is reasonably acceptable to us and who must have the following minimum insurance coverage: (a) commercial general liability in an amount of $2,000,000 combined single limit; (b) comprehensive automobile liability for owned, hired and non-owned motor vehicles in an amount of $1,000,000 combined single limit; (c) workersÕ compensation, occupational diseases and disability benefits in accordance with applicable statutory requirements; (d) employersÕ liability in an amount of $1,000,000; (e) employee fidelity bond of $2,000,000; and (f) umbrella form excess liability insurance in excess of the limits provided by the commercial general liability policy required above with limits of $3,000,000 per occurrence and annual aggregate.",Insurance,Yes
"You must obtain and maintain appropriate insurance coverage for you and for our benefit, including any minimum coverages that we may establish.",Insurance,Yes
"Throughout the entire Term, you must maintain such types of insurance, in such amounts, as we may require.",Insurance,Yes
"Policies that we require must be written by an insurance company reasonably satisfactory to us with an A.M. Best rating of ""A"" or better, and, must name us as an additional insured party.",Insurance,Yes
"At a minimum, such policies must include the following: (a) commercial general liability insurance, completed-operations and independent-contractors coverage in the amount of $1,000,000, per person/per occurrence for bodily injury and property damage combined with a general aggregate of $3,000,000. Page 15 of 39 Source: PF HOSPITALITY GROUP INC., 10-12G, 9/23/2015(b) workersÕ-compensation coverage in the amount of at least $100,000/$500,000/$100,000, unemployment insurance and employerÕs liability insurance, as well as such other insurance as may be required by statute or rule of the state in which the Franchised Business is located; (c) fire, lightning, vandalism, theft, malicious mischief, flood (if in a special flood-hazard area), sprinkler damage, and the perils described in ex-tended-coverage insurance with primary and excess limits of not less than the full-replacement value of the supplies, furniture, fixtures, equipment, machinery, inventory, and plate glass having a deductible of not more than $1,000 and naming us as a loss payee; (d) automobile liability insurance-including coverage of vehicles not owned by you, but used by employees in connection with the Franchised Business, with a combination of primary and excess limits of not less than $1,000,000; (e) commercial blanket bond in the amount of $100,000; and (f) such other insurance, in such amounts, as we reasonably require for our and your protection.",Insurance,Yes
